date,series,value,interpolated
2026-03-28,AVB,0.8248,False
2026-03-28,CPT,0.3788,False
2026-03-28,EQR,0.36,False
2026-03-28,MAA,0.8119,False
2026-04-04,AVB,0.7363,False
2026-04-04,CPT,0.3678,False
2026-04-04,EQR,0.4114,False
2026-04-04,ESS,0.4151,False
2026-04-04,MAA,0.7689,False
2026-04-04,UDR,0.7785,False
2026-04-11,AVB,0.7664,False
2026-04-11,CPT,0.254,False
2026-04-11,EQR,0.4026,False
2026-04-11,ESS,0.406,False
2026-04-11,MAA,0.7792,False
2026-04-11,UDR,0.8541,False
2026-04-18,AVB,0.8416,False
2026-04-18,CPT,0.2481,False
2026-04-18,EQR,0.4131,False
2026-04-18,ESS,0.4509,False
2026-04-18,MAA,0.8023,False
2026-04-18,UDR,0.7783,False
2026-04-25,AVB,0.8542,False
2026-04-25,CPT,0.2556,False
2026-04-25,EQR,0.4226,False
2026-04-25,ESS,0.4316,False
2026-04-25,MAA,0.8131,False
2026-04-25,UDR,0.7818,False
2026-05-02,AVB,0.8201,False
2026-05-02,CPT,0.2333,False
2026-05-02,EQR,0.4261,False
2026-05-02,ESS,0.4585,False
2026-05-02,MAA,0.9179,False
2026-05-02,UDR,0.672,False
2026-05-09,AVB,0.8495,False
2026-05-09,CPT,0.2755,False
2026-05-09,EQR,0.4134,False
2026-05-09,ESS,0.4758,False
2026-05-09,MAA,0.9079,False
2026-05-09,UDR,0.7247,False
2026-05-16,AVB,0.8464,False
2026-05-16,CPT,0.3301,False
2026-05-16,EQR,0.4319,False
2026-05-16,ESS,0.4665,False
2026-05-16,MAA,0.8919,False
2026-05-16,UDR,0.7694,False
2026-05-23,AVB,0.8762,False
2026-05-23,CPT,0.3281,False
2026-05-23,EQR,0.3845,False
2026-05-23,ESS,0.4106,False
2026-05-23,MAA,0.8926,False
2026-05-23,UDR,0.8216,False
2026-05-30,AVB,0.861,False
2026-05-30,CPT,0.3359,False
2026-05-30,EQR,0.4085,False
2026-05-30,ESS,0.4056,False
2026-05-30,MAA,0.8594,False
2026-05-30,UDR,0.7556,False
2026-06-06,AVB,0.8351,False
2026-06-06,CPT,0.3514,False
2026-06-06,EQR,0.433,False
2026-06-06,ESS,0.3867,False
2026-06-06,MAA,0.7518,False
2026-06-06,UDR,0.6822,False
2026-06-13,AVB,0.8646,False
2026-06-13,CPT,0.3229,False
2026-06-13,EQR,0.4516,False
2026-06-13,ESS,0.3729,False
2026-06-13,MAA,0.9295,False
2026-06-13,UDR,0.7961,False
2026-06-20,AVB,0.8393,False
2026-06-20,CPT,0.3398,False
2026-06-20,EQR,0.4293,False
2026-06-20,ESS,0.3976,False
2026-06-20,MAA,0.9414,False
2026-06-20,UDR,0.7758,False
2026-06-27,AVB,0.8518,True
2026-06-27,CPT,0.3275,True
2026-06-27,EQR,0.4197,True
2026-06-27,ESS,0.4052,True
2026-06-27,MAA,0.9345,True
2026-06-27,UDR,0.7794,True
2026-07-04,AVB,0.8643,True
2026-07-04,CPT,0.3151,True
2026-07-04,EQR,0.4102,True
2026-07-04,ESS,0.4128,True
2026-07-04,MAA,0.9276,True
2026-07-04,UDR,0.783,True
2026-07-11,AVB,0.8769,True
2026-07-11,CPT,0.3027,True
2026-07-11,EQR,0.4006,True
2026-07-11,ESS,0.4203,True
2026-07-11,MAA,0.9207,True
2026-07-11,UDR,0.7866,True
2026-07-18,AVB,0.8894,False
2026-07-18,CPT,0.2904,False
2026-07-18,EQR,0.391,False
2026-07-18,ESS,0.4279,False
2026-07-18,MAA,0.9138,False
2026-07-18,UDR,0.7902,False
2026-07-25,AVB,0.8457,True
2026-07-25,CPT,0.4251,True
2026-07-25,EQR,0.3952,True
2026-07-25,ESS,0.4162,True
2026-07-25,MAA,0.9126,True
2026-07-25,UDR,0.7621,True
2026-08-01,AVB,0.802,False
2026-08-01,CPT,0.5599,False
2026-08-01,EQR,0.3993,False
2026-08-01,ESS,0.4044,False
2026-08-01,MAA,0.9115,False
2026-08-01,UDR,0.7341,False
2026-08-08,AVB,0.8839,False
2026-08-08,CPT,0.5366,False
2026-08-08,EQR,0.4121,False
2026-08-08,ESS,0.4293,False
2026-08-08,MAA,0.9329,False
2026-08-08,UDR,0.8108,False
2026-08-15,AVB,0.9049,False
2026-08-15,CPT,0.5276,False
2026-08-15,EQR,0.4085,False
2026-08-15,ESS,0.4382,False
2026-08-15,MAA,0.9244,False
2026-08-15,UDR,0.7706,False
2026-08-22,AVB,0.9001,False
2026-08-22,CPT,0.5218,False
2026-08-22,EQR,0.3893,False
2026-08-22,ESS,0.3639,False
2026-08-22,MAA,0.9134,False
2026-08-22,UDR,0.7867,False
2026-08-29,AVB,0.874,False
2026-08-29,CPT,0.5371,False
2026-08-29,EQR,0.3767,False
2026-08-29,ESS,0.4178,False
2026-08-29,MAA,0.872,False
2026-08-29,UDR,0.7471,False
2026-09-05,AVB,0.8992,False
2026-09-05,CPT,0.5325,False
2026-09-05,EQR,0.3598,False
2026-09-05,ESS,0.4722,False
2026-09-05,MAA,0.8905,False
2026-09-05,UDR,0.8156,False
2026-09-12,AVB,0.9117,False
2026-09-12,CPT,0.5265,False
2026-09-12,EQR,0.0,False
2026-09-12,ESS,0.3916,False
2026-09-12,MAA,0.8455,False
2026-09-12,UDR,0.798,False
