date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-03-28,ESS,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,99.92,False
2026-04-04,CPT,99.68,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,99.75,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,99.25,False
2026-04-11,AMH,99.78,False
2026-04-11,AVB,99.86,False
2026-04-11,CPT,99.11,False
2026-04-11,EQR,99.75,False
2026-04-11,ESS,100.1,False
2026-04-11,INVH,100.47,False
2026-04-11,MAA,99.81,False
2026-04-11,UDR,98.77,False
2026-04-18,AMH,99.45,False
2026-04-18,AVB,99.64,False
2026-04-18,CPT,99.17,False
2026-04-18,EQR,99.68,False
2026-04-18,ESS,100.09,False
2026-04-18,INVH,99.77,False
2026-04-18,MAA,99.61,False
2026-04-18,UDR,98.3,False
2026-04-25,AMH,99.32,False
2026-04-25,AVB,99.68,False
2026-04-25,CPT,98.95,False
2026-04-25,EQR,99.5,False
2026-04-25,ESS,100.14,False
2026-04-25,INVH,99.84,False
2026-04-25,MAA,99.13,False
2026-04-25,UDR,97.85,False
2026-05-02,AMH,99.16,False
2026-05-02,AVB,99.49,False
2026-05-02,CPT,98.67,False
2026-05-02,EQR,99.24,False
2026-05-02,ESS,100.08,False
2026-05-02,INVH,100.05,False
2026-05-02,MAA,98.79,False
2026-05-02,UDR,97.86,False
2026-05-09,AMH,98.95,False
2026-05-09,AVB,99.33,False
2026-05-09,CPT,98.42,False
2026-05-09,EQR,98.78,False
2026-05-09,ESS,100.65,False
2026-05-09,INVH,99.38,False
2026-05-09,MAA,98.6,False
2026-05-09,UDR,97.75,False
2026-05-16,AMH,98.72,False
2026-05-16,AVB,98.85,False
2026-05-16,CPT,98.58,False
2026-05-16,EQR,98.76,False
2026-05-16,ESS,101.06,False
2026-05-16,INVH,99.58,False
2026-05-16,MAA,98.36,False
2026-05-16,UDR,97.69,False
2026-05-23,AMH,98.43,False
2026-05-23,AVB,98.39,False
2026-05-23,CPT,98.86,False
2026-05-23,EQR,98.67,False
2026-05-23,ESS,101.23,False
2026-05-23,INVH,100.04,False
2026-05-23,MAA,97.95,False
2026-05-23,UDR,97.4,False
2026-05-30,AMH,98.31,False
2026-05-30,AVB,98.08,False
2026-05-30,CPT,99.23,False
2026-05-30,EQR,98.37,False
2026-05-30,ESS,101.19,False
2026-05-30,INVH,99.82,True
2026-05-30,MAA,97.72,False
2026-05-30,UDR,97.25,False
2026-06-06,AMH,97.99,False
2026-06-06,AVB,97.86,False
2026-06-06,CPT,98.44,False
2026-06-06,EQR,98.11,False
2026-06-06,ESS,101.27,False
2026-06-06,INVH,99.6,False
2026-06-06,MAA,97.16,False
2026-06-06,UDR,97.21,False
2026-06-13,AMH,97.77,False
2026-06-13,AVB,97.64,False
2026-06-13,CPT,98.01,False
2026-06-13,EQR,97.47,False
2026-06-13,ESS,100.93,False
2026-06-13,INVH,99.46,False
2026-06-13,MAA,96.51,False
2026-06-13,UDR,96.93,False
2026-06-20,AMH,97.472,True
2026-06-20,AVB,97.41,False
2026-06-20,CPT,98.13,False
2026-06-20,EQR,97.47,False
2026-06-20,ESS,100.93,False
2026-06-20,INVH,99.118,True
2026-06-20,MAA,95.92,False
2026-06-20,UDR,96.64,False
2026-06-27,AMH,97.174,True
2026-06-27,AVB,96.835,True
2026-06-27,CPT,98.0675,True
2026-06-27,EQR,97.2975,True
2026-06-27,ESS,100.745,True
2026-06-27,INVH,98.776,True
2026-06-27,MAA,95.595,True
2026-06-27,UDR,96.0925,True
2026-07-04,AMH,96.876,True
2026-07-04,AVB,96.26,True
2026-07-04,CPT,98.005,True
2026-07-04,EQR,97.125,True
2026-07-04,ESS,100.56,True
2026-07-04,INVH,98.434,True
2026-07-04,MAA,95.27,True
2026-07-04,UDR,95.545,True
2026-07-11,AMH,96.578,True
2026-07-11,AVB,95.685,True
2026-07-11,CPT,97.9425,True
2026-07-11,EQR,96.9525,True
2026-07-11,ESS,100.375,True
2026-07-11,INVH,98.092,True
2026-07-11,MAA,94.945,True
2026-07-11,UDR,94.9975,True
2026-07-18,AMH,96.28,False
2026-07-18,AVB,95.11,False
2026-07-18,CPT,97.88,False
2026-07-18,EQR,96.78,False
2026-07-18,ESS,100.19,False
2026-07-18,INVH,97.75,False
2026-07-18,MAA,94.62,False
2026-07-18,UDR,94.45,False
2026-07-25,AMH,96.03,True
2026-07-25,AVB,94.55,True
2026-07-25,CPT,97.84,True
2026-07-25,EQR,96.54,True
2026-07-25,ESS,100.2,True
2026-07-25,INVH,97.33,True
2026-07-25,MAA,94.38,True
2026-07-25,UDR,93.74,True
2026-08-01,AMH,95.78,False
2026-08-01,AVB,93.99,False
2026-08-01,CPT,97.8,False
2026-08-01,EQR,96.3,False
2026-08-01,ESS,100.21,False
2026-08-01,INVH,96.91,True
2026-08-01,MAA,94.14,False
2026-08-01,UDR,93.03,False
2026-08-08,AMH,95.38,False
2026-08-08,AVB,93.54,False
2026-08-08,CPT,97.14,False
2026-08-08,EQR,95.84,False
2026-08-08,ESS,100.13,False
2026-08-08,INVH,96.49,False
2026-08-08,MAA,93.73,False
2026-08-08,UDR,92.3,False
2026-08-15,AMH,95.0,False
2026-08-15,AVB,92.9,False
2026-08-15,CPT,96.3,False
2026-08-15,EQR,95.42,False
2026-08-15,ESS,99.97,False
2026-08-15,INVH,95.91,False
2026-08-15,MAA,92.91,False
2026-08-15,UDR,91.37,False
2026-08-22,AMH,94.58,False
2026-08-22,AVB,92.41,False
2026-08-22,CPT,95.95,False
2026-08-22,EQR,94.83,False
2026-08-22,ESS,99.67,False
2026-08-22,INVH,95.25,False
2026-08-22,MAA,92.37,False
2026-08-22,UDR,90.67,False
2026-08-29,AMH,93.92,False
2026-08-29,AVB,91.71,False
2026-08-29,CPT,93.77,False
2026-08-29,EQR,94.2,False
2026-08-29,ESS,99.14,False
2026-08-29,INVH,93.73,False
2026-08-29,MAA,91.77,False
2026-08-29,UDR,90.12,False
2026-09-05,AMH,93.79,False
2026-09-05,AVB,91.3,False
2026-09-05,CPT,93.57,False
2026-09-05,EQR,93.77,False
2026-09-05,ESS,99.01,False
2026-09-05,INVH,93.72,False
2026-09-05,MAA,91.56,False
2026-09-05,UDR,89.83,False
