date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,101.07,False
2026-04-04,CPT,99.7,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AMH,99.78,False
2026-04-11,AVB,101.05,False
2026-04-11,CPT,99.36,False
2026-04-11,EQR,99.59,False
2026-04-11,ESS,100.3,False
2026-04-11,INVH,100.47,False
2026-04-11,MAA,99.55,False
2026-04-11,UDR,99.36,False
2026-04-18,AMH,99.45,False
2026-04-18,AVB,100.73,False
2026-04-18,CPT,99.41,False
2026-04-18,EQR,99.31,False
2026-04-18,ESS,99.83,False
2026-04-18,INVH,99.77,False
2026-04-18,MAA,99.31,False
2026-04-18,UDR,99.16,False
2026-04-25,AMH,99.33,False
2026-04-25,AVB,100.25,False
2026-04-25,CPT,98.9,False
2026-04-25,EQR,98.88,False
2026-04-25,ESS,99.52,False
2026-04-25,INVH,99.84,False
2026-04-25,MAA,98.8,False
2026-04-25,UDR,99.18,False
2026-05-02,AMH,99.15,False
2026-05-02,AVB,100.1,False
2026-05-02,CPT,98.62,False
2026-05-02,EQR,98.26,False
2026-05-02,ESS,99.12,False
2026-05-02,INVH,100.05,False
2026-05-02,MAA,98.92,False
2026-05-02,UDR,99.43,False
2026-05-09,AMH,98.95,False
2026-05-09,AVB,99.4,False
2026-05-09,CPT,98.26,False
2026-05-09,EQR,97.64,False
2026-05-09,ESS,99.61,False
2026-05-09,INVH,99.38,False
2026-05-09,MAA,98.81,False
2026-05-09,UDR,98.73,False
2026-05-16,AMH,98.72,False
2026-05-16,AVB,98.53,False
2026-05-16,CPT,98.31,False
2026-05-16,EQR,97.18,False
2026-05-16,ESS,99.92,False
2026-05-16,INVH,99.58,False
2026-05-16,MAA,98.97,False
2026-05-16,UDR,98.87,False
2026-05-23,AMH,98.42,False
2026-05-23,AVB,97.92,False
2026-05-23,CPT,98.4,False
2026-05-23,EQR,97.21,False
2026-05-23,ESS,100.2,False
2026-05-23,INVH,100.04,False
2026-05-23,MAA,97.94,False
2026-05-23,UDR,98.42,False
2026-05-30,AMH,98.3,False
2026-05-30,AVB,98.01,False
2026-05-30,CPT,98.94,False
2026-05-30,EQR,96.33,False
2026-05-30,ESS,100.0,False
2026-05-30,INVH,99.82,True
2026-05-30,MAA,97.74,False
2026-05-30,UDR,98.49,False
2026-06-06,AMH,97.97,False
2026-06-06,AVB,97.72,False
2026-06-06,CPT,98.0,False
2026-06-06,EQR,95.62,False
2026-06-06,ESS,100.41,False
2026-06-06,INVH,99.6,False
2026-06-06,MAA,97.34,False
2026-06-06,UDR,98.06,False
2026-06-13,AMH,97.76,False
2026-06-13,AVB,97.51,False
2026-06-13,CPT,97.58,False
2026-06-13,EQR,94.81,False
2026-06-13,ESS,99.88,False
2026-06-13,INVH,99.46,False
2026-06-13,MAA,96.78,False
2026-06-13,UDR,97.41,False
2026-06-20,AMH,97.462,True
2026-06-20,AVB,97.06,False
2026-06-20,CPT,97.63,False
2026-06-20,EQR,94.86,False
2026-06-20,ESS,99.76,False
2026-06-20,INVH,99.118,True
2026-06-20,MAA,95.85,False
2026-06-20,UDR,97.18,False
2026-06-27,AMH,97.164,True
2026-06-27,AVB,96.2925,True
2026-06-27,CPT,97.5775,True
2026-06-27,EQR,94.545,True
2026-06-27,ESS,99.5575,True
2026-06-27,INVH,98.776,True
2026-06-27,MAA,95.4225,True
2026-06-27,UDR,96.46,True
2026-07-04,AMH,96.866,True
2026-07-04,AVB,95.525,True
2026-07-04,CPT,97.525,True
2026-07-04,EQR,94.23,True
2026-07-04,ESS,99.355,True
2026-07-04,INVH,98.434,True
2026-07-04,MAA,94.995,True
2026-07-04,UDR,95.74,True
2026-07-11,AMH,96.568,True
2026-07-11,AVB,94.7575,True
2026-07-11,CPT,97.4725,True
2026-07-11,EQR,93.915,True
2026-07-11,ESS,99.1525,True
2026-07-11,INVH,98.092,True
2026-07-11,MAA,94.5675,True
2026-07-11,UDR,95.02,True
2026-07-18,AMH,96.27,False
2026-07-18,AVB,93.99,False
2026-07-18,CPT,97.42,False
2026-07-18,EQR,93.6,False
2026-07-18,ESS,98.95,False
2026-07-18,INVH,97.75,False
2026-07-18,MAA,94.14,False
2026-07-18,UDR,94.3,False
2026-07-25,AMH,96.015,True
2026-07-25,AVB,93.855,True
2026-07-25,CPT,97.21,True
2026-07-25,EQR,93.275,True
2026-07-25,ESS,99.08,True
2026-07-25,INVH,97.33,True
2026-07-25,MAA,94.035,True
2026-07-25,UDR,93.515,True
2026-08-01,AMH,95.76,False
2026-08-01,AVB,93.72,False
2026-08-01,CPT,97.0,False
2026-08-01,EQR,92.95,False
2026-08-01,ESS,99.21,False
2026-08-01,INVH,96.91,True
2026-08-01,MAA,93.93,False
2026-08-01,UDR,92.73,False
2026-08-08,AMH,95.37,False
2026-08-08,AVB,93.25,False
2026-08-08,CPT,96.26,False
2026-08-08,EQR,92.21,False
2026-08-08,ESS,98.81,False
2026-08-08,INVH,96.49,False
2026-08-08,MAA,93.12,False
2026-08-08,UDR,91.61,False
2026-08-15,AMH,94.99,False
2026-08-15,AVB,92.02,False
2026-08-15,CPT,95.37,False
2026-08-15,EQR,91.77,False
2026-08-15,ESS,98.23,False
2026-08-15,INVH,95.91,False
2026-08-15,MAA,91.85,False
2026-08-15,UDR,90.97,False
2026-08-22,AMH,94.57,False
2026-08-22,AVB,91.47,False
2026-08-22,CPT,95.14,False
2026-08-22,EQR,90.94,False
2026-08-22,ESS,98.29,False
2026-08-22,INVH,95.25,False
2026-08-22,MAA,90.78,False
2026-08-22,UDR,90.14,False
2026-08-29,AMH,93.91,False
2026-08-29,AVB,92.02,False
2026-08-29,CPT,92.89,False
2026-08-29,EQR,90.22,False
2026-08-29,ESS,97.68,False
2026-08-29,INVH,93.73,False
2026-08-29,MAA,90.55,False
2026-08-29,UDR,89.95,False
2026-09-05,AMH,93.61,False
2026-09-05,AVB,90.4,False
2026-09-05,CPT,92.61,False
2026-09-05,EQR,89.74,False
2026-09-05,ESS,96.74,False
2026-09-05,INVH,93.3,False
2026-09-05,MAA,89.72,False
2026-09-05,UDR,88.65,False
