date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,101.07,False
2026-04-04,CPT,99.69,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AMH,99.78,False
2026-04-11,AVB,101.07,False
2026-04-11,CPT,99.3,False
2026-04-11,EQR,99.59,False
2026-04-11,ESS,100.25,False
2026-04-11,INVH,100.52,False
2026-04-11,MAA,99.53,False
2026-04-11,UDR,99.3,False
2026-04-18,AMH,99.5,False
2026-04-18,AVB,100.71,False
2026-04-18,CPT,99.37,False
2026-04-18,EQR,99.33,False
2026-04-18,ESS,99.76,False
2026-04-18,INVH,99.83,False
2026-04-18,MAA,99.25,False
2026-04-18,UDR,99.19,False
2026-04-25,AMH,99.36,False
2026-04-25,AVB,100.25,False
2026-04-25,CPT,98.86,False
2026-04-25,EQR,98.82,False
2026-04-25,ESS,99.34,False
2026-04-25,INVH,99.84,False
2026-04-25,MAA,98.73,False
2026-04-25,UDR,99.22,False
2026-05-02,AMH,99.17,False
2026-05-02,AVB,100.14,False
2026-05-02,CPT,98.6,False
2026-05-02,EQR,98.15,False
2026-05-02,ESS,98.98,False
2026-05-02,INVH,100.2,False
2026-05-02,MAA,98.8,False
2026-05-02,UDR,99.55,False
2026-05-09,AMH,98.97,False
2026-05-09,AVB,99.4,False
2026-05-09,CPT,98.28,False
2026-05-09,EQR,97.57,False
2026-05-09,ESS,99.45,False
2026-05-09,INVH,99.44,False
2026-05-09,MAA,98.61,False
2026-05-09,UDR,98.68,False
2026-05-16,AMH,98.76,False
2026-05-16,AVB,98.45,False
2026-05-16,CPT,98.37,False
2026-05-16,EQR,97.04,False
2026-05-16,ESS,99.75,False
2026-05-16,INVH,99.61,False
2026-05-16,MAA,98.8,False
2026-05-16,UDR,98.8,False
2026-05-23,AMH,98.45,False
2026-05-23,AVB,97.84,False
2026-05-23,CPT,98.45,False
2026-05-23,EQR,97.19,False
2026-05-23,ESS,100.06,False
2026-05-23,INVH,100.01,False
2026-05-23,MAA,97.71,False
2026-05-23,UDR,98.35,False
2026-05-30,AMH,98.33,False
2026-05-30,AVB,97.94,False
2026-05-30,CPT,99.0,False
2026-05-30,EQR,96.18,False
2026-05-30,ESS,99.98,False
2026-05-30,INVH,99.85,True
2026-05-30,MAA,97.49,False
2026-05-30,UDR,98.5,False
2026-06-06,AMH,98.0,False
2026-06-06,AVB,97.71,False
2026-06-06,CPT,98.11,False
2026-06-06,EQR,95.47,False
2026-06-06,ESS,100.38,False
2026-06-06,INVH,99.69,False
2026-06-06,MAA,97.09,False
2026-06-06,UDR,98.15,False
2026-06-13,AMH,97.79,False
2026-06-13,AVB,97.56,False
2026-06-13,CPT,97.67,False
2026-06-13,EQR,94.67,False
2026-06-13,ESS,99.88,False
2026-06-13,INVH,99.6,False
2026-06-13,MAA,96.55,False
2026-06-13,UDR,97.38,False
2026-06-20,AMH,97.496,True
2026-06-20,AVB,97.11,False
2026-06-20,CPT,97.71,False
2026-06-20,EQR,94.74,False
2026-06-20,ESS,99.8,False
2026-06-20,INVH,99.214,True
2026-06-20,MAA,95.69,False
2026-06-20,UDR,97.23,False
2026-06-27,AMH,97.202,True
2026-06-27,AVB,96.3925,True
2026-06-27,CPT,97.6675,True
2026-06-27,EQR,94.46,True
2026-06-27,ESS,99.6225,True
2026-06-27,INVH,98.828,True
2026-06-27,MAA,95.29,True
2026-06-27,UDR,96.5675,True
2026-07-04,AMH,96.908,True
2026-07-04,AVB,95.675,True
2026-07-04,CPT,97.625,True
2026-07-04,EQR,94.18,True
2026-07-04,ESS,99.445,True
2026-07-04,INVH,98.442,True
2026-07-04,MAA,94.89,True
2026-07-04,UDR,95.905,True
2026-07-11,AMH,96.614,True
2026-07-11,AVB,94.9575,True
2026-07-11,CPT,97.5825,True
2026-07-11,EQR,93.9,True
2026-07-11,ESS,99.2675,True
2026-07-11,INVH,98.056,True
2026-07-11,MAA,94.49,True
2026-07-11,UDR,95.2425,True
2026-07-18,AMH,96.32,False
2026-07-18,AVB,94.24,False
2026-07-18,CPT,97.54,False
2026-07-18,EQR,93.62,False
2026-07-18,ESS,99.09,False
2026-07-18,INVH,97.67,False
2026-07-18,MAA,94.09,False
2026-07-18,UDR,94.58,False
2026-07-25,AMH,96.055,True
2026-07-25,AVB,94.115,True
2026-07-25,CPT,97.315,True
2026-07-25,EQR,93.34,True
2026-07-25,ESS,99.27,True
2026-07-25,INVH,97.29,True
2026-07-25,MAA,94.01,True
2026-07-25,UDR,93.725,True
2026-08-01,AMH,95.79,False
2026-08-01,AVB,93.99,False
2026-08-01,CPT,97.09,False
2026-08-01,EQR,93.06,False
2026-08-01,ESS,99.45,False
2026-08-01,INVH,96.91,True
2026-08-01,MAA,93.93,False
2026-08-01,UDR,92.87,False
2026-08-08,AMH,95.42,False
2026-08-08,AVB,93.45,False
2026-08-08,CPT,96.36,False
2026-08-08,EQR,92.38,False
2026-08-08,ESS,99.02,False
2026-08-08,INVH,96.53,False
2026-08-08,MAA,93.03,False
2026-08-08,UDR,91.78,False
2026-08-15,AMH,95.07,False
2026-08-15,AVB,92.19,False
2026-08-15,CPT,95.47,False
2026-08-15,EQR,91.93,False
2026-08-15,ESS,98.46,False
2026-08-15,INVH,95.9,False
2026-08-15,MAA,91.74,False
2026-08-15,UDR,91.19,False
2026-08-22,AMH,94.66,False
2026-08-22,AVB,91.59,False
2026-08-22,CPT,95.29,False
2026-08-22,EQR,91.11,False
2026-08-22,ESS,98.56,False
2026-08-22,INVH,95.29,False
2026-08-22,MAA,90.68,False
2026-08-22,UDR,90.28,False
2026-08-29,AMH,94.04,False
2026-08-29,AVB,92.08,False
2026-08-29,CPT,93.05,False
2026-08-29,EQR,90.37,False
2026-08-29,ESS,97.97,False
2026-08-29,INVH,93.86,False
2026-08-29,MAA,90.41,False
2026-08-29,UDR,90.24,False
2026-09-05,AMH,93.9,False
2026-09-05,AVB,90.95,False
2026-09-05,CPT,92.88,False
2026-09-05,EQR,89.9,False
2026-09-05,ESS,97.85,False
2026-09-05,INVH,93.87,False
2026-09-05,MAA,89.9,False
2026-09-05,UDR,89.44,False
