date,series,value,interpolated
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,CPT,99.85,False
2026-04-04,EQR,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.9,False
2026-04-11,CPT,99.13,False
2026-04-11,EQR,99.44,False
2026-04-11,INVH,101.44,False
2026-04-11,MAA,100.29,False
2026-04-18,AMH,99.9,False
2026-04-18,CPT,98.7,False
2026-04-18,EQR,99.5,False
2026-04-18,INVH,100.44,False
2026-04-18,MAA,100.16,False
2026-04-25,AMH,99.63,False
2026-04-25,CPT,99.02,False
2026-04-25,EQR,99.41,False
2026-04-25,INVH,99.47,False
2026-04-25,MAA,98.51,False
2026-05-02,AMH,99.45,False
2026-05-02,CPT,97.91,False
2026-05-02,EQR,98.38,False
2026-05-02,INVH,101.55,False
2026-05-02,MAA,98.17,False
2026-05-09,AMH,98.96,False
2026-05-09,CPT,97.38,False
2026-05-09,EQR,97.61,False
2026-05-09,INVH,101.21,False
2026-05-09,MAA,98.08,False
2026-05-16,AMH,98.62,False
2026-05-16,CPT,97.57,False
2026-05-16,EQR,97.62,False
2026-05-16,INVH,100.61,False
2026-05-16,MAA,97.76,False
2026-05-23,AMH,98.54,False
2026-05-23,CPT,98.26,False
2026-05-23,EQR,97.5,False
2026-05-23,INVH,101.79,False
2026-05-23,MAA,97.67,False
2026-05-30,AMH,98.34,False
2026-05-30,CPT,99.48,False
2026-05-30,EQR,97.55,False
2026-05-30,INVH,99.625,True
2026-05-30,MAA,97.15,False
2026-06-06,AMH,97.97,False
2026-06-06,CPT,98.18,False
2026-06-06,EQR,97.77,False
2026-06-06,INVH,97.46,False
2026-06-06,MAA,96.51,False
2026-06-13,AMH,97.58,False
2026-06-13,CPT,98.28,False
2026-06-13,EQR,97.04,False
2026-06-13,INVH,99.73,False
2026-06-13,MAA,95.43,False
2026-06-20,AMH,97.246,True
2026-06-20,CPT,99.01,False
2026-06-20,EQR,97.18,False
2026-06-20,INVH,100.09,True
2026-06-20,MAA,95.03,False
2026-06-27,AMH,96.912,True
2026-06-27,CPT,98.91,True
2026-06-27,EQR,97.1175,True
2026-06-27,INVH,100.45,True
2026-06-27,MAA,94.6225,True
2026-07-04,AMH,96.578,True
2026-07-04,CPT,98.81,True
2026-07-04,EQR,97.055,True
2026-07-04,INVH,100.81,True
2026-07-04,MAA,94.215,True
2026-07-11,AMH,96.244,True
2026-07-11,CPT,98.71,True
2026-07-11,EQR,96.9925,True
2026-07-11,INVH,101.17,True
2026-07-11,MAA,93.8075,True
2026-07-18,AMH,95.91,False
2026-07-18,CPT,98.61,False
2026-07-18,EQR,96.93,False
2026-07-18,INVH,101.53,False
2026-07-18,MAA,93.4,False
2026-07-25,AMH,95.54,True
2026-07-25,CPT,98.755,True
2026-07-25,EQR,96.53,True
2026-07-25,INVH,101.04,True
2026-07-25,MAA,93.25,True
2026-08-01,AMH,95.17,False
2026-08-01,CPT,98.9,False
2026-08-01,EQR,96.13,False
2026-08-01,INVH,100.55,True
2026-08-01,MAA,93.1,False
2026-08-08,AMH,95.02,False
2026-08-08,CPT,98.68,False
2026-08-08,EQR,95.84,False
2026-08-08,INVH,100.06,False
2026-08-08,MAA,92.82,False
2026-08-15,AMH,94.57,False
2026-08-15,CPT,97.71,False
2026-08-15,EQR,95.13,False
2026-08-15,INVH,99.36,False
2026-08-15,MAA,91.78,False
2026-08-22,AMH,94.16,False
2026-08-22,CPT,97.43,False
2026-08-22,EQR,94.75,False
2026-08-22,INVH,98.31,False
2026-08-22,MAA,91.75,False
2026-08-29,AMH,93.81,False
2026-08-29,CPT,95.28,False
2026-08-29,EQR,95.0,False
2026-08-29,INVH,96.91,False
2026-08-29,MAA,92.21,False
2026-09-05,AMH,93.13,False
2026-09-05,CPT,94.78,False
2026-09-05,EQR,94.26,False
2026-09-05,INVH,96.51,False
2026-09-05,MAA,91.89,False
