date,series,value,interpolated
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,CPT,99.85,False
2026-04-04,EQR,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.9,False
2026-04-11,CPT,98.79,False
2026-04-11,EQR,99.21,False
2026-04-11,INVH,101.44,False
2026-04-11,MAA,99.77,False
2026-04-18,AMH,99.9,False
2026-04-18,CPT,98.36,False
2026-04-18,EQR,98.65,False
2026-04-18,INVH,100.44,False
2026-04-18,MAA,99.29,False
2026-04-25,AMH,99.63,False
2026-04-25,CPT,98.67,False
2026-04-25,EQR,97.71,False
2026-04-25,INVH,99.47,False
2026-04-25,MAA,98.76,False
2026-05-02,AMH,99.45,False
2026-05-02,CPT,97.39,False
2026-05-02,EQR,95.78,False
2026-05-02,INVH,101.55,False
2026-05-02,MAA,97.72,False
2026-05-09,AMH,98.96,False
2026-05-09,CPT,96.86,False
2026-05-09,EQR,94.41,False
2026-05-09,INVH,101.21,False
2026-05-09,MAA,99.22,False
2026-05-16,AMH,98.62,False
2026-05-16,CPT,97.05,False
2026-05-16,EQR,93.98,False
2026-05-16,INVH,100.61,False
2026-05-16,MAA,99.28,False
2026-05-23,AMH,98.54,False
2026-05-23,CPT,97.41,False
2026-05-23,EQR,93.86,False
2026-05-23,INVH,101.79,False
2026-05-23,MAA,97.49,False
2026-05-30,AMH,98.34,False
2026-05-30,CPT,98.49,False
2026-05-30,EQR,93.8,False
2026-05-30,INVH,99.625,True
2026-05-30,MAA,97.06,False
2026-06-06,AMH,97.97,False
2026-06-06,CPT,97.37,False
2026-06-06,EQR,94.18,False
2026-06-06,INVH,97.46,False
2026-06-06,MAA,97.03,False
2026-06-13,AMH,97.58,False
2026-06-13,CPT,97.48,False
2026-06-13,EQR,93.51,False
2026-06-13,INVH,99.73,False
2026-06-13,MAA,96.57,False
2026-06-20,AMH,97.246,True
2026-06-20,CPT,98.2,False
2026-06-20,EQR,94.21,False
2026-06-20,INVH,100.09,True
2026-06-20,MAA,96.41,False
2026-06-27,AMH,96.912,True
2026-06-27,CPT,98.1425,True
2026-06-27,EQR,94.145,True
2026-06-27,INVH,100.45,True
2026-06-27,MAA,95.4825,True
2026-07-04,AMH,96.578,True
2026-07-04,CPT,98.085,True
2026-07-04,EQR,94.08,True
2026-07-04,INVH,100.81,True
2026-07-04,MAA,94.555,True
2026-07-11,AMH,96.244,True
2026-07-11,CPT,98.0275,True
2026-07-11,EQR,94.015,True
2026-07-11,INVH,101.17,True
2026-07-11,MAA,93.6275,True
2026-07-18,AMH,95.91,False
2026-07-18,CPT,97.97,False
2026-07-18,EQR,93.95,False
2026-07-18,INVH,101.53,False
2026-07-18,MAA,92.7,False
2026-07-25,AMH,95.54,True
2026-07-25,CPT,98.115,True
2026-07-25,EQR,92.975,True
2026-07-25,INVH,101.04,True
2026-07-25,MAA,93.475,True
2026-08-01,AMH,95.17,False
2026-08-01,CPT,98.26,False
2026-08-01,EQR,92.0,False
2026-08-01,INVH,100.55,True
2026-08-01,MAA,94.25,False
2026-08-08,AMH,95.02,False
2026-08-08,CPT,98.04,False
2026-08-08,EQR,90.51,False
2026-08-08,INVH,100.06,False
2026-08-08,MAA,91.63,False
2026-08-15,AMH,94.57,False
2026-08-15,CPT,97.07,False
2026-08-15,EQR,89.56,False
2026-08-15,INVH,99.36,False
2026-08-15,MAA,89.44,False
2026-08-22,AMH,94.16,False
2026-08-22,CPT,96.79,False
2026-08-22,EQR,89.55,False
2026-08-22,INVH,98.31,False
2026-08-22,MAA,89.54,False
2026-08-29,AMH,93.81,False
2026-08-29,CPT,94.41,False
2026-08-29,EQR,89.07,False
2026-08-29,INVH,96.91,False
2026-08-29,MAA,92.34,False
2026-09-05,AMH,93.27,False
2026-09-05,CPT,93.97,False
2026-09-05,EQR,88.76,False
2026-09-05,INVH,96.91,False
2026-09-05,MAA,91.49,False
