date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,102.8,False
2026-04-04,CPT,99.71,False
2026-04-04,EQR,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,99.36,False
2026-04-11,AMH,98.9,False
2026-04-11,AVB,103.51,False
2026-04-11,CPT,97.15,False
2026-04-11,EQR,100.59,False
2026-04-11,INVH,98.28,False
2026-04-11,MAA,98.13,False
2026-04-11,UDR,98.56,False
2026-04-18,AMH,98.49,False
2026-04-18,AVB,103.48,False
2026-04-18,CPT,97.23,False
2026-04-18,EQR,100.94,False
2026-04-18,INVH,98.28,False
2026-04-18,MAA,96.52,False
2026-04-18,UDR,97.88,False
2026-04-25,AMH,98.15,False
2026-04-25,AVB,103.07,False
2026-04-25,CPT,97.64,False
2026-04-25,EQR,100.19,False
2026-04-25,INVH,77.82,False
2026-04-25,MAA,95.54,False
2026-04-25,UDR,97.66,False
2026-05-02,AMH,96.12,False
2026-05-02,AVB,102.54,False
2026-05-02,CPT,97.24,False
2026-05-02,EQR,100.89,False
2026-05-02,INVH,77.92,False
2026-05-02,MAA,94.63,False
2026-05-02,UDR,96.78,False
2026-05-09,AMH,95.85,False
2026-05-09,AVB,101.75,False
2026-05-09,CPT,97.13,False
2026-05-09,EQR,101.66,False
2026-05-09,INVH,77.92,False
2026-05-09,MAA,93.31,False
2026-05-09,UDR,99.29,False
2026-05-16,AMH,95.35,False
2026-05-16,AVB,101.63,False
2026-05-16,CPT,97.74,False
2026-05-16,EQR,103.38,False
2026-05-16,INVH,78.55,False
2026-05-16,MAA,93.35,False
2026-05-16,UDR,97.77,False
2026-05-23,AMH,93.8,False
2026-05-23,AVB,102.81,False
2026-05-23,CPT,97.43,False
2026-05-23,EQR,103.84,False
2026-05-23,INVH,78.55,False
2026-05-23,MAA,93.68,False
2026-05-23,UDR,97.64,False
2026-05-30,AMH,92.64,False
2026-05-30,AVB,103.13,False
2026-05-30,CPT,97.71,False
2026-05-30,EQR,103.84,False
2026-05-30,INVH,74.575,True
2026-05-30,MAA,93.23,False
2026-05-30,UDR,97.4,False
2026-06-06,AMH,89.98,False
2026-06-06,AVB,104.16,False
2026-06-06,CPT,96.89,False
2026-06-06,EQR,102.14,False
2026-06-06,INVH,70.6,False
2026-06-06,MAA,92.77,False
2026-06-06,UDR,97.5,False
2026-06-13,AMH,89.42,False
2026-06-13,AVB,105.27,False
2026-06-13,CPT,96.78,False
2026-06-13,EQR,103.25,False
2026-06-13,INVH,74.02,False
2026-06-13,MAA,92.99,False
2026-06-13,UDR,93.66,False
2026-06-20,AMH,88.442,True
2026-06-20,AVB,106.2,False
2026-06-20,CPT,96.99,False
2026-06-20,EQR,103.93,False
2026-06-20,INVH,76.026,True
2026-06-20,MAA,91.11,False
2026-06-20,UDR,93.22,False
2026-06-27,AMH,87.464,True
2026-06-27,AVB,105.845,True
2026-06-27,CPT,97.4825,True
2026-06-27,EQR,104.9975,True
2026-06-27,INVH,78.032,True
2026-06-27,MAA,91.505,True
2026-06-27,UDR,92.2,True
2026-07-04,AMH,86.486,True
2026-07-04,AVB,105.49,True
2026-07-04,CPT,97.975,True
2026-07-04,EQR,106.065,True
2026-07-04,INVH,80.038,True
2026-07-04,MAA,91.9,True
2026-07-04,UDR,91.18,True
2026-07-11,AMH,85.508,True
2026-07-11,AVB,105.135,True
2026-07-11,CPT,98.4675,True
2026-07-11,EQR,107.1325,True
2026-07-11,INVH,82.044,True
2026-07-11,MAA,92.295,True
2026-07-11,UDR,90.16,True
2026-07-18,AMH,84.53,False
2026-07-18,AVB,104.78,False
2026-07-18,CPT,98.96,False
2026-07-18,EQR,108.2,False
2026-07-18,INVH,84.05,False
2026-07-18,MAA,92.69,False
2026-07-18,UDR,89.14,False
2026-07-25,AMH,84.215,True
2026-07-25,AVB,104.615,True
2026-07-25,CPT,98.645,True
2026-07-25,EQR,106.935,True
2026-07-25,INVH,83.58,True
2026-07-25,MAA,91.7,True
2026-07-25,UDR,89.085,True
2026-08-01,AMH,83.9,False
2026-08-01,AVB,104.45,False
2026-08-01,CPT,98.33,False
2026-08-01,EQR,105.67,False
2026-08-01,INVH,83.11,True
2026-08-01,MAA,90.71,False
2026-08-01,UDR,89.03,False
2026-08-08,AMH,83.34,False
2026-08-08,AVB,104.96,False
2026-08-08,CPT,97.13,False
2026-08-08,EQR,104.46,False
2026-08-08,INVH,82.64,False
2026-08-08,MAA,89.76,False
2026-08-08,UDR,88.8,False
2026-08-15,AMH,83.16,False
2026-08-15,AVB,104.22,False
2026-08-15,CPT,96.4,False
2026-08-15,EQR,104.49,False
2026-08-15,INVH,82.64,False
2026-08-15,MAA,89.48,False
2026-08-15,UDR,87.85,False
2026-08-22,AMH,82.7,False
2026-08-22,AVB,103.98,False
2026-08-22,CPT,95.89,False
2026-08-22,EQR,103.71,False
2026-08-22,INVH,82.64,False
2026-08-22,MAA,89.5,False
2026-08-22,UDR,86.59,False
2026-08-29,AMH,82.05,False
2026-08-29,AVB,102.27,False
2026-08-29,CPT,91.33,False
2026-08-29,EQR,104.17,False
2026-08-29,INVH,79.76,False
2026-08-29,MAA,87.58,False
2026-08-29,UDR,85.08,False
2026-09-05,AMH,81.71,False
2026-09-05,AVB,102.06,False
2026-09-05,CPT,91.35,False
2026-09-05,EQR,104.17,False
2026-09-05,INVH,79.76,False
2026-09-05,MAA,86.99,False
2026-09-05,UDR,84.89,False
