date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,103.16,False
2026-04-04,CPT,99.97,False
2026-04-04,EQR,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AMH,98.9,False
2026-04-11,AVB,110.31,False
2026-04-11,CPT,97.38,False
2026-04-11,EQR,100.63,False
2026-04-11,INVH,98.28,False
2026-04-11,MAA,99.44,False
2026-04-11,UDR,99.55,False
2026-04-18,AMH,98.49,False
2026-04-18,AVB,110.54,False
2026-04-18,CPT,97.46,False
2026-04-18,EQR,101.17,False
2026-04-18,INVH,98.28,False
2026-04-18,MAA,99.61,False
2026-04-18,UDR,102.72,False
2026-04-25,AMH,98.15,False
2026-04-25,AVB,105.77,False
2026-04-25,CPT,97.88,False
2026-04-25,EQR,100.43,False
2026-04-25,INVH,77.82,False
2026-04-25,MAA,100.03,False
2026-04-25,UDR,100.92,False
2026-05-02,AMH,96.12,False
2026-05-02,AVB,100.42,False
2026-05-02,CPT,97.49,False
2026-05-02,EQR,98.83,False
2026-05-02,INVH,77.92,False
2026-05-02,MAA,100.45,False
2026-05-02,UDR,99.4,False
2026-05-09,AMH,95.85,False
2026-05-09,AVB,103.78,False
2026-05-09,CPT,97.37,False
2026-05-09,EQR,99.51,False
2026-05-09,INVH,77.92,False
2026-05-09,MAA,96.7,False
2026-05-09,UDR,102.71,False
2026-05-16,AMH,95.35,False
2026-05-16,AVB,103.75,False
2026-05-16,CPT,97.99,False
2026-05-16,EQR,104.4,False
2026-05-16,INVH,78.55,False
2026-05-16,MAA,96.8,False
2026-05-16,UDR,100.84,False
2026-05-23,AMH,93.8,False
2026-05-23,AVB,104.99,False
2026-05-23,CPT,97.01,False
2026-05-23,EQR,104.16,False
2026-05-23,INVH,78.55,False
2026-05-23,MAA,94.12,False
2026-05-23,UDR,101.42,False
2026-05-30,AMH,92.64,False
2026-05-30,AVB,105.99,False
2026-05-30,CPT,97.3,False
2026-05-30,EQR,104.16,False
2026-05-30,INVH,74.575,True
2026-05-30,MAA,94.04,False
2026-05-30,UDR,100.59,False
2026-06-06,AMH,89.98,False
2026-06-06,AVB,107.86,False
2026-06-06,CPT,96.47,False
2026-06-06,EQR,99.99,False
2026-06-06,INVH,70.6,False
2026-06-06,MAA,95.32,False
2026-06-06,UDR,101.7,False
2026-06-13,AMH,89.42,False
2026-06-13,AVB,110.91,False
2026-06-13,CPT,96.36,False
2026-06-13,EQR,100.63,False
2026-06-13,INVH,74.02,False
2026-06-13,MAA,93.91,False
2026-06-13,UDR,96.46,False
2026-06-20,AMH,88.442,True
2026-06-20,AVB,109.46,False
2026-06-20,CPT,96.57,False
2026-06-20,EQR,101.29,False
2026-06-20,INVH,76.026,True
2026-06-20,MAA,92.02,False
2026-06-20,UDR,96.05,False
2026-06-27,AMH,87.464,True
2026-06-27,AVB,108.7875,True
2026-06-27,CPT,97.075,True
2026-06-27,EQR,101.7275,True
2026-06-27,INVH,78.032,True
2026-06-27,MAA,92.155,True
2026-06-27,UDR,94.4825,True
2026-07-04,AMH,86.486,True
2026-07-04,AVB,108.115,True
2026-07-04,CPT,97.58,True
2026-07-04,EQR,102.165,True
2026-07-04,INVH,80.038,True
2026-07-04,MAA,92.29,True
2026-07-04,UDR,92.915,True
2026-07-11,AMH,85.508,True
2026-07-11,AVB,107.4425,True
2026-07-11,CPT,98.085,True
2026-07-11,EQR,102.6025,True
2026-07-11,INVH,82.044,True
2026-07-11,MAA,92.425,True
2026-07-11,UDR,91.3475,True
2026-07-18,AMH,84.53,False
2026-07-18,AVB,106.77,False
2026-07-18,CPT,98.59,False
2026-07-18,EQR,103.04,False
2026-07-18,INVH,84.05,False
2026-07-18,MAA,92.56,False
2026-07-18,UDR,89.78,False
2026-07-25,AMH,84.215,True
2026-07-25,AVB,107.435,True
2026-07-25,CPT,98.28,True
2026-07-25,EQR,101.835,True
2026-07-25,INVH,83.58,True
2026-07-25,MAA,92.295,True
2026-07-25,UDR,89.74,True
2026-08-01,AMH,83.9,False
2026-08-01,AVB,108.1,False
2026-08-01,CPT,97.97,False
2026-08-01,EQR,100.63,False
2026-08-01,INVH,83.11,True
2026-08-01,MAA,92.03,False
2026-08-01,UDR,89.7,False
2026-08-08,AMH,83.34,False
2026-08-08,AVB,108.09,False
2026-08-08,CPT,96.77,False
2026-08-08,EQR,97.88,False
2026-08-08,INVH,82.64,False
2026-08-08,MAA,92.06,False
2026-08-08,UDR,90.74,False
2026-08-15,AMH,83.16,False
2026-08-15,AVB,107.24,False
2026-08-15,CPT,95.99,False
2026-08-15,EQR,98.29,False
2026-08-15,INVH,82.64,False
2026-08-15,MAA,90.6,False
2026-08-15,UDR,90.2,False
2026-08-22,AMH,82.7,False
2026-08-22,AVB,105.27,False
2026-08-22,CPT,96.13,False
2026-08-22,EQR,96.19,False
2026-08-22,INVH,82.64,False
2026-08-22,MAA,90.14,False
2026-08-22,UDR,87.33,False
2026-08-29,AMH,82.05,False
2026-08-29,AVB,114.14,False
2026-08-29,CPT,91.55,False
2026-08-29,EQR,98.61,False
2026-08-29,INVH,79.76,False
2026-08-29,MAA,87.68,False
2026-08-29,UDR,87.05,False
2026-09-05,AMH,81.71,False
2026-09-05,AVB,105.18,False
2026-09-05,CPT,91.57,False
2026-09-05,EQR,98.61,False
2026-09-05,INVH,79.76,False
2026-09-05,MAA,87.1,False
2026-09-05,UDR,85.88,False
