date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AVB,99.93,False
2026-04-04,EQR,100.0,False
2026-04-04,UDR,99.88,False
2026-04-11,AVB,99.39,False
2026-04-11,EQR,100.68,False
2026-04-11,UDR,99.38,False
2026-04-18,AVB,98.64,False
2026-04-18,EQR,101.27,False
2026-04-18,UDR,99.15,False
2026-04-25,AVB,98.42,False
2026-04-25,EQR,101.31,False
2026-04-25,UDR,99.89,False
2026-05-02,AVB,98.39,False
2026-05-02,EQR,101.32,False
2026-05-02,UDR,100.19,False
2026-05-09,AVB,98.83,False
2026-05-09,EQR,100.84,False
2026-05-09,UDR,100.13,False
2026-05-16,AVB,98.59,False
2026-05-16,EQR,101.46,False
2026-05-16,UDR,99.93,False
2026-05-23,AVB,98.15,False
2026-05-23,EQR,101.67,False
2026-05-23,UDR,99.22,False
2026-05-30,AVB,97.77,False
2026-05-30,EQR,101.04,False
2026-05-30,UDR,98.33,False
2026-06-06,AVB,97.1,False
2026-06-06,EQR,100.27,False
2026-06-06,UDR,97.92,False
2026-06-13,AVB,96.64,False
2026-06-13,EQR,99.63,False
2026-06-13,UDR,96.53,False
2026-06-20,AVB,96.21,False
2026-06-20,EQR,99.57,False
2026-06-20,UDR,96.03,False
2026-06-27,AVB,95.485,True
2026-06-27,EQR,99.1925,True
2026-06-27,UDR,95.905,True
2026-07-04,AVB,94.76,True
2026-07-04,EQR,98.815,True
2026-07-04,UDR,95.78,True
2026-07-11,AVB,94.035,True
2026-07-11,EQR,98.4375,True
2026-07-11,UDR,95.655,True
2026-07-18,AVB,93.31,False
2026-07-18,EQR,98.06,False
2026-07-18,UDR,95.53,False
2026-07-25,AVB,92.765,True
2026-07-25,EQR,97.355,True
2026-07-25,UDR,95.07,True
2026-08-01,AVB,92.22,False
2026-08-01,EQR,96.65,False
2026-08-01,UDR,94.61,False
2026-08-08,AVB,91.68,False
2026-08-08,EQR,95.7,False
2026-08-08,UDR,93.64,False
2026-08-15,AVB,91.19,False
2026-08-15,EQR,95.16,False
2026-08-15,UDR,92.29,False
2026-08-22,AVB,90.85,False
2026-08-22,EQR,94.89,False
2026-08-22,UDR,91.06,False
2026-08-29,AVB,89.92,False
2026-08-29,EQR,94.11,False
2026-08-29,UDR,89.99,False
2026-09-05,AVB,88.84,False
2026-09-05,EQR,93.12,False
2026-09-05,UDR,89.32,False
2026-09-12,AVB,88.47,False
2026-09-12,UDR,88.68,False
