date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,99.46,False
2026-04-04,CPT,99.05,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.82,False
2026-04-11,AVB,98.84,False
2026-04-11,CPT,97.93,False
2026-04-11,INVH,101.75,False
2026-04-11,MAA,100.36,False
2026-04-18,AMH,99.91,False
2026-04-18,AVB,98.95,False
2026-04-18,CPT,98.38,False
2026-04-18,INVH,101.17,False
2026-04-18,MAA,100.98,False
2026-04-25,AMH,99.95,False
2026-04-25,AVB,100.7,False
2026-04-25,CPT,95.33,False
2026-04-25,INVH,104.89,False
2026-04-25,MAA,102.63,False
2026-05-02,AMH,100.06,False
2026-05-02,AVB,99.95,False
2026-05-02,CPT,95.3,False
2026-05-02,INVH,104.18,False
2026-05-02,MAA,103.3,False
2026-05-09,AMH,100.01,False
2026-05-09,AVB,98.57,False
2026-05-09,CPT,95.75,False
2026-05-09,INVH,102.63,False
2026-05-09,MAA,102.9,False
2026-05-16,AMH,100.17,False
2026-05-16,AVB,97.81,False
2026-05-16,CPT,95.75,False
2026-05-16,INVH,104.13,False
2026-05-16,MAA,102.41,False
2026-05-23,AMH,99.99,False
2026-05-23,AVB,99.43,False
2026-05-23,CPT,95.64,False
2026-05-23,INVH,104.31,False
2026-05-23,MAA,101.29,False
2026-05-30,AMH,100.08,False
2026-05-30,AVB,99.3,False
2026-05-30,CPT,95.91,False
2026-05-30,INVH,104.455,True
2026-05-30,MAA,101.56,False
2026-06-06,AMH,100.05,False
2026-06-06,AVB,99.71,False
2026-06-06,CPT,95.13,False
2026-06-06,INVH,104.6,False
2026-06-06,MAA,100.57,False
2026-06-13,AMH,100.17,False
2026-06-13,AVB,100.18,False
2026-06-13,CPT,93.79,False
2026-06-13,INVH,103.42,False
2026-06-13,MAA,101.49,False
2026-06-20,AMH,99.976,True
2026-06-20,AVB,101.23,False
2026-06-20,CPT,93.35,False
2026-06-20,INVH,103.214,True
2026-06-20,MAA,98.44,False
2026-06-27,AMH,99.782,True
2026-06-27,AVB,100.76,True
2026-06-27,CPT,93.5425,True
2026-06-27,INVH,103.008,True
2026-06-27,MAA,98.06,True
2026-07-04,AMH,99.588,True
2026-07-04,AVB,100.29,True
2026-07-04,CPT,93.735,True
2026-07-04,INVH,102.802,True
2026-07-04,MAA,97.68,True
2026-07-11,AMH,99.394,True
2026-07-11,AVB,99.82,True
2026-07-11,CPT,93.9275,True
2026-07-11,INVH,102.596,True
2026-07-11,MAA,97.3,True
2026-07-18,AMH,99.2,False
2026-07-18,AVB,99.35,False
2026-07-18,CPT,94.12,False
2026-07-18,INVH,102.39,False
2026-07-18,MAA,96.92,False
2026-07-25,AMH,98.655,True
2026-07-25,AVB,97.955,True
2026-07-25,CPT,94.16,True
2026-07-25,INVH,102.0233,True
2026-07-25,MAA,96.61,True
2026-08-01,AMH,98.11,False
2026-08-01,AVB,96.56,False
2026-08-01,CPT,94.2,False
2026-08-01,INVH,101.6567,True
2026-08-01,MAA,96.3,False
2026-08-08,AMH,97.79,False
2026-08-08,AVB,96.83,False
2026-08-08,CPT,93.99,False
2026-08-08,INVH,101.29,False
2026-08-08,MAA,94.97,False
2026-08-15,AMH,97.53,False
2026-08-15,AVB,96.57,False
2026-08-15,CPT,93.47,False
2026-08-15,INVH,100.82,False
2026-08-15,MAA,92.43,False
2026-08-22,AMH,97.26,False
2026-08-22,AVB,101.64,False
2026-08-22,CPT,93.23,False
2026-08-22,INVH,100.38,False
2026-08-22,MAA,89.89,False
2026-08-29,AMH,96.76,False
2026-08-29,AVB,96.13,False
2026-08-29,CPT,91.93,False
2026-08-29,INVH,98.79,False
2026-08-29,MAA,90.89,False
2026-09-05,AMH,96.56,False
2026-09-05,AVB,95.84,False
2026-09-05,CPT,91.22,False
2026-09-05,INVH,98.33,False
2026-09-05,MAA,89.06,False
