date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,101.27,False
2026-04-04,CPT,99.89,False
2026-04-04,EQR,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AMH,99.44,False
2026-04-11,AVB,102.29,False
2026-04-11,CPT,100.25,False
2026-04-11,EQR,100.14,False
2026-04-11,INVH,101.91,False
2026-04-11,MAA,98.18,False
2026-04-11,UDR,98.61,False
2026-04-18,AMH,98.93,False
2026-04-18,AVB,100.57,False
2026-04-18,CPT,100.39,False
2026-04-18,EQR,100.25,False
2026-04-18,INVH,102.23,False
2026-04-18,MAA,97.33,False
2026-04-18,UDR,98.95,False
2026-04-25,AMH,98.58,False
2026-04-25,AVB,100.75,False
2026-04-25,CPT,100.02,False
2026-04-25,EQR,98.66,False
2026-04-25,INVH,102.67,False
2026-04-25,MAA,96.36,False
2026-04-25,UDR,98.83,False
2026-05-02,AMH,98.43,False
2026-05-02,AVB,102.62,False
2026-05-02,CPT,100.06,False
2026-05-02,EQR,98.24,False
2026-05-02,INVH,102.47,False
2026-05-02,MAA,96.42,False
2026-05-02,UDR,98.07,False
2026-05-09,AMH,98.16,False
2026-05-09,AVB,102.38,False
2026-05-09,CPT,99.48,False
2026-05-09,EQR,95.96,False
2026-05-09,INVH,101.72,False
2026-05-09,MAA,96.66,False
2026-05-09,UDR,97.69,False
2026-05-16,AMH,97.84,False
2026-05-16,AVB,102.61,False
2026-05-16,CPT,99.63,False
2026-05-16,EQR,96.63,False
2026-05-16,INVH,100.82,False
2026-05-16,MAA,99.38,False
2026-05-16,UDR,100.65,False
2026-05-23,AMH,96.84,False
2026-05-23,AVB,100.69,False
2026-05-23,CPT,100.44,False
2026-05-23,EQR,97.0,False
2026-05-23,INVH,103.75,False
2026-05-23,MAA,97.93,False
2026-05-23,UDR,99.91,False
2026-05-30,AMH,96.64,False
2026-05-30,AVB,101.55,False
2026-05-30,CPT,101.13,False
2026-05-30,EQR,96.47,False
2026-05-30,INVH,101.9,True
2026-05-30,MAA,98.59,False
2026-05-30,UDR,98.35,False
2026-06-06,AMH,96.06,False
2026-06-06,AVB,99.03,False
2026-06-06,CPT,100.02,False
2026-06-06,EQR,96.62,False
2026-06-06,INVH,100.05,False
2026-06-06,MAA,98.68,False
2026-06-06,UDR,99.12,False
2026-06-13,AMH,95.75,False
2026-06-13,AVB,97.22,False
2026-06-13,CPT,99.48,False
2026-06-13,EQR,97.05,False
2026-06-13,INVH,99.57,False
2026-06-13,MAA,97.79,False
2026-06-13,UDR,98.61,False
2026-06-20,AMH,95.302,True
2026-06-20,AVB,96.48,False
2026-06-20,CPT,100.98,False
2026-06-20,EQR,98.78,False
2026-06-20,INVH,99.024,True
2026-06-20,MAA,96.32,False
2026-06-20,UDR,97.54,False
2026-06-27,AMH,94.854,True
2026-06-27,AVB,96.15,True
2026-06-27,CPT,101.02,True
2026-06-27,EQR,98.5125,True
2026-06-27,INVH,98.478,True
2026-06-27,MAA,96.04,True
2026-06-27,UDR,96.65,True
2026-07-04,AMH,94.406,True
2026-07-04,AVB,95.82,True
2026-07-04,CPT,101.06,True
2026-07-04,EQR,98.245,True
2026-07-04,INVH,97.932,True
2026-07-04,MAA,95.76,True
2026-07-04,UDR,95.76,True
2026-07-11,AMH,93.958,True
2026-07-11,AVB,95.49,True
2026-07-11,CPT,101.1,True
2026-07-11,EQR,97.9775,True
2026-07-11,INVH,97.386,True
2026-07-11,MAA,95.48,True
2026-07-11,UDR,94.87,True
2026-07-18,AMH,93.51,False
2026-07-18,AVB,95.16,False
2026-07-18,CPT,101.14,False
2026-07-18,EQR,97.71,False
2026-07-18,INVH,96.84,False
2026-07-18,MAA,95.2,False
2026-07-18,UDR,93.98,False
2026-07-25,AMH,93.24,True
2026-07-25,AVB,96.015,True
2026-07-25,CPT,100.89,True
2026-07-25,EQR,97.745,True
2026-07-25,INVH,96.5667,True
2026-07-25,MAA,95.445,True
2026-07-25,UDR,92.56,True
2026-08-01,AMH,92.97,False
2026-08-01,AVB,96.87,False
2026-08-01,CPT,100.64,False
2026-08-01,EQR,97.78,False
2026-08-01,INVH,96.2933,True
2026-08-01,MAA,95.69,False
2026-08-01,UDR,91.14,False
2026-08-08,AMH,92.22,False
2026-08-08,AVB,96.12,False
2026-08-08,CPT,99.96,False
2026-08-08,EQR,96.87,False
2026-08-08,INVH,96.02,False
2026-08-08,MAA,94.05,False
2026-08-08,UDR,90.65,False
2026-08-15,AMH,91.65,False
2026-08-15,AVB,92.0,False
2026-08-15,CPT,98.9,False
2026-08-15,EQR,97.53,False
2026-08-15,INVH,95.56,False
2026-08-15,MAA,93.53,False
2026-08-15,UDR,88.88,False
2026-08-22,AMH,90.94,False
2026-08-22,AVB,90.06,False
2026-08-22,CPT,99.08,False
2026-08-22,EQR,95.57,False
2026-08-22,INVH,94.92,False
2026-08-22,MAA,93.52,False
2026-08-22,UDR,89.85,False
2026-08-29,AMH,89.54,False
2026-08-29,AVB,91.91,False
2026-08-29,CPT,96.1,False
2026-08-29,EQR,95.44,False
2026-08-29,INVH,93.67,False
2026-08-29,MAA,93.05,False
2026-08-29,UDR,90.04,False
2026-09-05,AMH,89.45,False
2026-09-05,AVB,91.19,False
2026-09-05,CPT,95.96,False
2026-09-05,EQR,95.29,False
2026-09-05,INVH,93.31,False
2026-09-05,MAA,92.75,False
2026-09-05,UDR,87.2,False
