date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,99.93,False
2026-04-04,CPT,100.61,False
2026-04-04,EQR,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,101.9,False
2026-04-11,AMH,100.13,False
2026-04-11,AVB,99.72,False
2026-04-11,CPT,101.32,False
2026-04-11,EQR,99.32,False
2026-04-11,INVH,99.02,False
2026-04-11,MAA,99.63,False
2026-04-11,UDR,101.43,False
2026-04-18,AMH,100.21,False
2026-04-18,AVB,98.5,False
2026-04-18,CPT,100.75,False
2026-04-18,EQR,99.31,False
2026-04-18,INVH,98.62,False
2026-04-18,MAA,99.92,False
2026-04-18,UDR,99.26,False
2026-04-25,AMH,100.36,False
2026-04-25,AVB,98.31,False
2026-04-25,CPT,100.22,False
2026-04-25,EQR,99.08,False
2026-04-25,ESS,100.0,False
2026-04-25,INVH,98.03,False
2026-04-25,MAA,101.32,False
2026-04-25,UDR,99.14,False
2026-05-02,AMH,100.38,False
2026-05-02,AVB,97.6,False
2026-05-02,CPT,100.38,False
2026-05-02,EQR,98.43,False
2026-05-02,ESS,104.0,False
2026-05-02,INVH,96.85,False
2026-05-02,MAA,102.39,False
2026-05-02,UDR,100.4,False
2026-05-09,AMH,100.33,False
2026-05-09,AVB,96.56,False
2026-05-09,CPT,101.18,False
2026-05-09,EQR,98.49,False
2026-05-09,ESS,108.745,True
2026-05-09,INVH,93.57,False
2026-05-09,MAA,101.84,False
2026-05-09,UDR,98.29,False
2026-05-16,AMH,100.32,False
2026-05-16,AVB,96.16,False
2026-05-16,CPT,102.36,False
2026-05-16,EQR,97.94,False
2026-05-16,ESS,113.49,False
2026-05-16,INVH,92.18,False
2026-05-16,MAA,101.47,False
2026-05-16,UDR,97.51,False
2026-05-23,AMH,99.82,False
2026-05-23,AVB,95.65,False
2026-05-23,CPT,102.64,False
2026-05-23,EQR,99.21,False
2026-05-23,ESS,113.34,False
2026-05-23,INVH,102.18,False
2026-05-23,MAA,102.45,False
2026-05-23,UDR,97.01,False
2026-05-30,AMH,99.75,False
2026-05-30,AVB,95.11,False
2026-05-30,CPT,102.54,False
2026-05-30,EQR,98.1,False
2026-05-30,ESS,112.33,False
2026-05-30,INVH,99.44,True
2026-05-30,MAA,103.03,False
2026-05-30,UDR,97.31,False
2026-06-06,AMH,99.59,False
2026-06-06,AVB,94.37,False
2026-06-06,CPT,103.69,False
2026-06-06,EQR,97.75,False
2026-06-06,ESS,112.09,False
2026-06-06,INVH,96.7,False
2026-06-06,MAA,103.46,False
2026-06-06,UDR,105.72,False
2026-06-13,AMH,99.5,False
2026-06-13,AVB,94.48,False
2026-06-13,CPT,102.47,False
2026-06-13,EQR,96.11,False
2026-06-13,ESS,104.28,False
2026-06-13,INVH,98.2,False
2026-06-13,MAA,104.15,False
2026-06-13,UDR,104.99,False
2026-06-20,AMH,99.222,True
2026-06-20,AVB,94.09,False
2026-06-20,CPT,100.92,False
2026-06-20,EQR,96.74,False
2026-06-20,ESS,107.25,False
2026-06-20,INVH,97.696,True
2026-06-20,MAA,103.57,False
2026-06-20,UDR,101.11,False
2026-06-27,AMH,98.944,True
2026-06-27,AVB,93.8,True
2026-06-27,CPT,100.5,True
2026-06-27,EQR,96.015,True
2026-06-27,ESS,108.39,True
2026-06-27,INVH,97.192,True
2026-06-27,MAA,103.675,True
2026-06-27,UDR,99.2525,True
2026-07-04,AMH,98.666,True
2026-07-04,AVB,93.51,True
2026-07-04,CPT,100.08,True
2026-07-04,EQR,95.29,True
2026-07-04,ESS,109.53,True
2026-07-04,INVH,96.688,True
2026-07-04,MAA,103.78,True
2026-07-04,UDR,97.395,True
2026-07-11,AMH,98.388,True
2026-07-11,AVB,93.22,True
2026-07-11,CPT,99.66,True
2026-07-11,EQR,94.565,True
2026-07-11,ESS,110.67,True
2026-07-11,INVH,96.184,True
2026-07-11,MAA,103.885,True
2026-07-11,UDR,95.5375,True
2026-07-18,AMH,98.11,False
2026-07-18,AVB,92.93,False
2026-07-18,CPT,99.24,False
2026-07-18,EQR,93.84,False
2026-07-18,ESS,111.81,False
2026-07-18,INVH,95.68,False
2026-07-18,MAA,103.99,False
2026-07-18,UDR,93.68,False
2026-07-25,AMH,97.795,True
2026-07-25,AVB,92.355,True
2026-07-25,CPT,98.905,True
2026-07-25,EQR,93.26,True
2026-07-25,ESS,111.295,True
2026-07-25,INVH,95.47,True
2026-07-25,MAA,103.205,True
2026-07-25,UDR,91.985,True
2026-08-01,AMH,97.48,False
2026-08-01,AVB,91.78,False
2026-08-01,CPT,98.57,False
2026-08-01,EQR,92.68,False
2026-08-01,ESS,110.78,False
2026-08-01,INVH,95.26,True
2026-08-01,MAA,102.42,False
2026-08-01,UDR,90.29,False
2026-08-08,AMH,97.04,False
2026-08-08,AVB,92.23,False
2026-08-08,CPT,97.97,False
2026-08-08,EQR,92.78,False
2026-08-08,ESS,111.62,False
2026-08-08,INVH,95.05,False
2026-08-08,MAA,101.28,False
2026-08-08,UDR,89.31,False
2026-08-15,AMH,96.53,False
2026-08-15,AVB,91.51,False
2026-08-15,CPT,97.25,False
2026-08-15,EQR,93.01,False
2026-08-15,ESS,111.31,False
2026-08-15,INVH,94.35,False
2026-08-15,MAA,99.16,False
2026-08-15,UDR,88.57,False
2026-08-22,AMH,96.1,False
2026-08-22,AVB,90.56,False
2026-08-22,CPT,96.55,False
2026-08-22,EQR,92.07,False
2026-08-22,ESS,106.99,False
2026-08-22,INVH,93.86,False
2026-08-22,MAA,98.44,False
2026-08-22,UDR,89.37,False
2026-08-29,AMH,95.72,False
2026-08-29,AVB,88.81,False
2026-08-29,CPT,94.07,False
2026-08-29,EQR,90.76,False
2026-08-29,ESS,110.12,False
2026-08-29,INVH,92.56,False
2026-08-29,MAA,99.13,False
2026-08-29,UDR,89.36,False
2026-09-05,AMH,95.58,False
2026-09-05,AVB,87.32,False
2026-09-05,CPT,94.66,False
2026-09-05,EQR,89.24,False
2026-09-05,ESS,109.97,False
2026-09-05,INVH,92.13,False
2026-09-05,MAA,97.48,False
2026-09-05,UDR,88.64,False
2026-09-12,AMH,95.58,False
2026-09-12,AVB,87.39,False
2026-09-12,CPT,93.97,False
2026-09-12,ESS,113.08,False
2026-09-12,INVH,91.73,False
2026-09-12,MAA,97.41,False
2026-09-12,UDR,89.4,False
