date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,ESS,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AVB,99.63,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,99.57,False
2026-04-04,INVH,100.0,False
2026-04-04,UDR,98.76,False
2026-04-11,AVB,99.45,False
2026-04-11,EQR,98.48,False
2026-04-11,ESS,98.53,False
2026-04-11,INVH,103.11,False
2026-04-11,UDR,97.92,False
2026-04-18,AVB,98.95,False
2026-04-18,EQR,98.11,False
2026-04-18,ESS,97.6,False
2026-04-18,INVH,105.83,False
2026-04-18,UDR,97.86,False
2026-04-25,AVB,98.29,False
2026-04-25,EQR,97.99,False
2026-04-25,ESS,97.65,False
2026-04-25,INVH,102.51,False
2026-04-25,UDR,97.48,False
2026-05-02,AVB,97.17,False
2026-05-02,EQR,97.84,False
2026-05-02,ESS,97.33,False
2026-05-02,INVH,105.75,False
2026-05-02,UDR,98.89,False
2026-05-09,AVB,96.72,False
2026-05-09,EQR,97.06,False
2026-05-09,ESS,97.62,False
2026-05-09,INVH,104.44,False
2026-05-09,UDR,99.55,False
2026-05-16,AVB,96.09,False
2026-05-16,EQR,96.94,False
2026-05-16,ESS,97.56,False
2026-05-16,INVH,107.65,False
2026-05-16,UDR,99.41,False
2026-05-23,AVB,95.13,False
2026-05-23,EQR,96.74,False
2026-05-23,ESS,97.54,False
2026-05-23,INVH,105.1,False
2026-05-23,UDR,98.14,False
2026-05-30,AVB,95.65,False
2026-05-30,EQR,96.48,False
2026-05-30,ESS,96.85,False
2026-05-30,INVH,105.63,True
2026-05-30,UDR,97.69,False
2026-06-06,AVB,95.49,False
2026-06-06,EQR,96.13,False
2026-06-06,ESS,96.24,False
2026-06-06,INVH,106.16,False
2026-06-06,UDR,97.1,False
2026-06-13,AVB,95.63,False
2026-06-13,EQR,95.52,False
2026-06-13,ESS,95.96,False
2026-06-13,INVH,106.94,False
2026-06-13,UDR,95.88,False
2026-06-20,AVB,95.81,False
2026-06-20,EQR,95.33,False
2026-06-20,ESS,95.4,False
2026-06-20,INVH,107.118,True
2026-06-20,UDR,94.5,False
2026-06-27,AVB,95.11,True
2026-06-27,EQR,95.06,True
2026-06-27,ESS,94.985,True
2026-06-27,INVH,107.296,True
2026-06-27,UDR,93.98,True
2026-07-04,AVB,94.41,True
2026-07-04,EQR,94.79,True
2026-07-04,ESS,94.57,True
2026-07-04,INVH,107.474,True
2026-07-04,UDR,93.46,True
2026-07-11,AVB,93.71,True
2026-07-11,EQR,94.52,True
2026-07-11,ESS,94.155,True
2026-07-11,INVH,107.652,True
2026-07-11,UDR,92.94,True
2026-07-18,AVB,93.01,False
2026-07-18,EQR,94.25,False
2026-07-18,ESS,93.74,False
2026-07-18,INVH,107.83,False
2026-07-18,UDR,92.42,False
2026-07-25,AVB,92.05,True
2026-07-25,EQR,94.125,True
2026-07-25,ESS,93.925,True
2026-07-25,INVH,107.6733,True
2026-07-25,UDR,91.49,True
2026-08-01,AVB,91.09,False
2026-08-01,EQR,94.0,False
2026-08-01,ESS,94.11,False
2026-08-01,INVH,107.5167,True
2026-08-01,UDR,90.56,False
2026-08-08,AVB,90.81,False
2026-08-08,EQR,93.48,False
2026-08-08,ESS,93.9,False
2026-08-08,INVH,107.36,False
2026-08-08,UDR,91.23,False
2026-08-15,AVB,89.91,False
2026-08-15,EQR,93.55,False
2026-08-15,ESS,93.83,False
2026-08-15,INVH,106.29,False
2026-08-15,UDR,91.51,False
2026-08-22,AVB,89.04,False
2026-08-22,EQR,93.37,False
2026-08-22,ESS,93.98,False
2026-08-22,INVH,106.53,False
2026-08-22,UDR,91.08,False
2026-08-29,AVB,87.28,False
2026-08-29,EQR,93.59,False
2026-08-29,ESS,93.72,False
2026-08-29,INVH,105.37,False
2026-08-29,UDR,90.31,False
2026-09-05,AVB,87.41,False
2026-09-05,EQR,93.55,False
2026-09-05,ESS,92.99,False
2026-09-05,INVH,105.04,False
2026-09-05,UDR,89.88,False
