date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AVB,100.26,False
2026-04-04,EQR,100.0,False
2026-04-04,UDR,99.52,False
2026-04-11,AVB,100.45,False
2026-04-11,EQR,99.69,False
2026-04-11,UDR,99.22,False
2026-04-18,AVB,100.39,False
2026-04-18,EQR,99.85,False
2026-04-18,UDR,98.25,False
2026-04-25,AVB,100.65,False
2026-04-25,EQR,99.26,False
2026-04-25,UDR,98.22,False
2026-05-02,AVB,100.91,False
2026-05-02,EQR,98.66,False
2026-05-02,UDR,97.98,False
2026-05-09,AVB,100.78,False
2026-05-09,EQR,98.75,False
2026-05-09,UDR,98.2,False
2026-05-16,AVB,100.21,False
2026-05-16,EQR,98.27,False
2026-05-16,UDR,98.07,False
2026-05-23,AVB,99.62,False
2026-05-23,EQR,98.83,False
2026-05-23,UDR,97.53,False
2026-05-30,AVB,98.84,False
2026-05-30,EQR,99.03,False
2026-05-30,UDR,97.91,False
2026-06-06,AVB,98.81,False
2026-06-06,EQR,98.28,False
2026-06-06,UDR,98.31,False
2026-06-13,AVB,98.71,False
2026-06-13,EQR,97.99,False
2026-06-13,UDR,98.17,False
2026-06-20,AVB,98.25,False
2026-06-20,EQR,97.65,False
2026-06-20,UDR,98.67,False
2026-06-27,AVB,97.8125,True
2026-06-27,EQR,97.5525,True
2026-06-27,UDR,99.025,True
2026-07-04,AVB,97.375,True
2026-07-04,EQR,97.455,True
2026-07-04,UDR,99.38,True
2026-07-11,AVB,96.9375,True
2026-07-11,EQR,97.3575,True
2026-07-11,UDR,99.735,True
2026-07-18,AVB,96.5,False
2026-07-18,EQR,97.26,False
2026-07-18,UDR,100.09,False
2026-07-25,AVB,95.8,True
2026-07-25,EQR,97.43,True
2026-07-25,UDR,99.46,True
2026-08-01,AVB,95.1,False
2026-08-01,EQR,97.6,False
2026-08-01,UDR,98.83,False
2026-08-08,AVB,94.5,False
2026-08-08,EQR,97.76,False
2026-08-08,UDR,98.37,False
2026-08-15,AVB,94.09,False
2026-08-15,EQR,97.07,False
2026-08-15,UDR,98.33,False
2026-08-22,AVB,93.72,False
2026-08-22,EQR,96.74,False
2026-08-22,UDR,97.69,False
2026-08-29,AVB,93.49,False
2026-08-29,EQR,95.41,False
2026-08-29,UDR,97.32,False
2026-09-05,AVB,93.19,False
2026-09-05,EQR,95.2,False
2026-09-05,UDR,97.34,False
