date,series,value,interpolated
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,CPT,99.76,False
2026-04-04,INVH,100.0,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.76,False
2026-04-11,CPT,99.58,False
2026-04-11,INVH,100.34,False
2026-04-11,MAA,98.96,False
2026-04-18,AMH,99.32,False
2026-04-18,CPT,99.57,False
2026-04-18,INVH,95.5,False
2026-04-18,MAA,99.15,False
2026-04-25,AMH,98.87,False
2026-04-25,CPT,99.04,False
2026-04-25,INVH,95.13,False
2026-04-25,MAA,98.68,False
2026-05-02,AMH,98.53,False
2026-05-02,CPT,98.93,False
2026-05-02,INVH,96.42,False
2026-05-02,MAA,98.45,False
2026-05-09,AMH,98.05,False
2026-05-09,CPT,98.27,False
2026-05-09,INVH,94.61,False
2026-05-09,MAA,98.33,False
2026-05-16,AMH,97.61,False
2026-05-16,CPT,98.28,False
2026-05-16,INVH,92.48,False
2026-05-16,MAA,94.96,False
2026-05-23,AMH,96.84,False
2026-05-23,CPT,98.45,False
2026-05-23,INVH,93.29,False
2026-05-23,MAA,96.41,False
2026-05-30,AMH,96.5,False
2026-05-30,CPT,99.08,False
2026-05-30,INVH,97.71,True
2026-05-30,MAA,96.55,False
2026-06-06,AMH,95.94,False
2026-06-06,CPT,97.81,False
2026-06-06,INVH,102.13,False
2026-06-06,MAA,94.9,False
2026-06-13,AMH,95.61,False
2026-06-13,CPT,97.2,False
2026-06-13,INVH,96.57,False
2026-06-13,MAA,93.01,False
2026-06-20,AMH,95.176,True
2026-06-20,CPT,96.73,False
2026-06-20,INVH,96.044,True
2026-06-20,MAA,90.88,False
2026-06-27,AMH,94.742,True
2026-06-27,CPT,96.6075,True
2026-06-27,INVH,95.518,True
2026-06-27,MAA,90.7075,True
2026-07-04,AMH,94.308,True
2026-07-04,CPT,96.485,True
2026-07-04,INVH,94.992,True
2026-07-04,MAA,90.535,True
2026-07-11,AMH,93.874,True
2026-07-11,CPT,96.3625,True
2026-07-11,INVH,94.466,True
2026-07-11,MAA,90.3625,True
2026-07-18,AMH,93.44,False
2026-07-18,CPT,96.24,False
2026-07-18,INVH,93.94,False
2026-07-18,MAA,90.19,False
2026-07-25,AMH,92.94,True
2026-07-25,CPT,96.25,True
2026-07-25,INVH,93.5867,True
2026-07-25,MAA,91.06,True
2026-08-01,AMH,92.44,False
2026-08-01,CPT,96.26,False
2026-08-01,INVH,93.2333,True
2026-08-01,MAA,91.93,False
2026-08-08,AMH,91.73,False
2026-08-08,CPT,95.32,False
2026-08-08,INVH,92.88,False
2026-08-08,MAA,90.85,False
2026-08-15,AMH,91.2,False
2026-08-15,CPT,95.1,False
2026-08-15,INVH,92.29,False
2026-08-15,MAA,89.92,False
2026-08-22,AMH,90.83,False
2026-08-22,CPT,94.84,False
2026-08-22,INVH,91.44,False
2026-08-22,MAA,89.44,False
2026-08-29,AMH,89.98,False
2026-08-29,CPT,93.14,False
2026-08-29,INVH,89.83,False
2026-08-29,MAA,89.36,False
2026-09-05,AMH,89.81,False
2026-09-05,CPT,93.14,False
2026-09-05,INVH,89.36,False
2026-09-05,MAA,89.12,False
2026-09-12,AMH,89.51,False
2026-09-12,CPT,92.63,False
2026-09-12,INVH,88.88,False
2026-09-12,MAA,89.21,False
