date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,99.85,False
2026-04-04,CPT,99.67,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.61,False
2026-04-11,AVB,99.9,False
2026-04-11,CPT,99.75,False
2026-04-11,MAA,100.44,False
2026-04-18,AMH,99.03,False
2026-04-18,AVB,100.68,False
2026-04-18,CPT,100.17,False
2026-04-18,MAA,100.2,False
2026-04-25,AMH,98.91,False
2026-04-25,AVB,101.82,False
2026-04-25,CPT,100.39,False
2026-04-25,MAA,100.59,False
2026-05-02,AMH,98.81,False
2026-05-02,AVB,101.96,False
2026-05-02,CPT,100.07,False
2026-05-02,MAA,100.68,False
2026-05-09,AMH,98.81,False
2026-05-09,AVB,102.62,False
2026-05-09,CPT,99.99,False
2026-05-09,MAA,100.66,False
2026-05-16,AMH,99.26,False
2026-05-16,AVB,99.78,False
2026-05-16,CPT,100.41,False
2026-05-16,MAA,99.54,False
2026-05-23,AMH,98.98,False
2026-05-23,AVB,98.97,False
2026-05-23,CPT,101.02,False
2026-05-23,MAA,98.5,False
2026-05-30,AMH,98.92,False
2026-05-30,AVB,98.06,False
2026-05-30,CPT,101.02,False
2026-05-30,MAA,96.89,False
2026-06-06,AMH,99.31,False
2026-06-06,AVB,93.87,False
2026-06-06,CPT,100.09,False
2026-06-06,MAA,95.18,False
2026-06-13,AMH,99.27,False
2026-06-13,AVB,94.17,False
2026-06-13,CPT,100.02,False
2026-06-13,MAA,94.33,False
2026-06-20,AMH,99.066,True
2026-06-20,AVB,93.77,False
2026-06-20,CPT,100.27,False
2026-06-20,MAA,94.64,False
2026-06-27,AMH,98.862,True
2026-06-27,AVB,93.2475,True
2026-06-27,CPT,100.5875,True
2026-06-27,MAA,94.8525,True
2026-07-04,AMH,98.658,True
2026-07-04,AVB,92.725,True
2026-07-04,CPT,100.905,True
2026-07-04,MAA,95.065,True
2026-07-11,AMH,98.454,True
2026-07-11,AVB,92.2025,True
2026-07-11,CPT,101.2225,True
2026-07-11,MAA,95.2775,True
2026-07-18,AMH,98.25,False
2026-07-18,AVB,91.68,False
2026-07-18,CPT,101.54,False
2026-07-18,MAA,95.49,False
2026-07-25,AMH,98.02,True
2026-07-25,AVB,91.45,True
2026-07-25,CPT,101.33,True
2026-07-25,MAA,94.885,True
2026-08-01,AMH,97.79,False
2026-08-01,AVB,91.22,False
2026-08-01,CPT,101.12,False
2026-08-01,MAA,94.28,False
2026-08-08,AMH,97.55,False
2026-08-08,AVB,91.26,False
2026-08-08,CPT,100.41,False
2026-08-08,MAA,93.94,False
2026-08-15,AMH,97.22,False
2026-08-15,AVB,92.0,False
2026-08-15,CPT,99.66,False
2026-08-15,MAA,93.79,False
2026-08-22,AMH,96.67,False
2026-08-22,AVB,91.45,False
2026-08-22,CPT,99.23,False
2026-08-22,MAA,92.85,False
2026-08-29,AMH,96.24,False
2026-08-29,AVB,90.4,False
2026-08-29,CPT,96.94,False
2026-08-29,MAA,92.22,False
2026-09-05,AMH,95.58,False
2026-09-05,AVB,90.4,False
2026-09-05,CPT,96.42,False
2026-09-05,MAA,91.91,False
