date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,99.5,False
2026-04-04,CPT,99.67,False
2026-04-04,MAA,100.0,False
2026-04-11,AMH,99.61,False
2026-04-11,AVB,109.27,False
2026-04-11,CPT,99.76,False
2026-04-11,MAA,99.56,False
2026-04-18,AMH,99.03,False
2026-04-18,AVB,112.29,False
2026-04-18,CPT,100.22,False
2026-04-18,MAA,100.25,False
2026-04-25,AMH,98.91,False
2026-04-25,AVB,112.03,False
2026-04-25,CPT,100.47,False
2026-04-25,MAA,99.94,False
2026-05-02,AMH,98.81,False
2026-05-02,AVB,101.5,False
2026-05-02,CPT,100.04,False
2026-05-02,MAA,99.88,False
2026-05-09,AMH,98.81,False
2026-05-09,AVB,102.79,False
2026-05-09,CPT,99.96,False
2026-05-09,MAA,100.48,False
2026-05-16,AMH,99.26,False
2026-05-16,AVB,109.63,False
2026-05-16,CPT,100.42,False
2026-05-16,MAA,98.56,False
2026-05-23,AMH,98.98,False
2026-05-23,AVB,109.27,False
2026-05-23,CPT,100.91,False
2026-05-23,MAA,98.69,False
2026-05-30,AMH,98.92,False
2026-05-30,AVB,108.0,False
2026-05-30,CPT,100.91,False
2026-05-30,MAA,95.96,False
2026-06-06,AMH,99.31,False
2026-06-06,AVB,103.78,False
2026-06-06,CPT,99.9,False
2026-06-06,MAA,96.64,False
2026-06-13,AMH,99.27,False
2026-06-13,AVB,104.32,False
2026-06-13,CPT,99.84,False
2026-06-13,MAA,94.78,False
2026-06-20,AMH,99.066,True
2026-06-20,AVB,103.52,False
2026-06-20,CPT,100.1,False
2026-06-20,MAA,95.36,False
2026-06-27,AMH,98.862,True
2026-06-27,AVB,102.165,True
2026-06-27,CPT,100.38,True
2026-06-27,MAA,94.65,True
2026-07-04,AMH,98.658,True
2026-07-04,AVB,100.81,True
2026-07-04,CPT,100.66,True
2026-07-04,MAA,93.94,True
2026-07-11,AMH,98.454,True
2026-07-11,AVB,99.455,True
2026-07-11,CPT,100.94,True
2026-07-11,MAA,93.23,True
2026-07-18,AMH,98.25,False
2026-07-18,AVB,98.1,False
2026-07-18,CPT,101.22,False
2026-07-18,MAA,92.52,False
2026-07-25,AMH,98.02,True
2026-07-25,AVB,98.43,True
2026-07-25,CPT,100.655,True
2026-07-25,MAA,91.685,True
2026-08-01,AMH,97.79,False
2026-08-01,AVB,98.76,False
2026-08-01,CPT,100.09,False
2026-08-01,MAA,90.85,False
2026-08-08,AMH,97.55,False
2026-08-08,AVB,96.65,False
2026-08-08,CPT,99.34,False
2026-08-08,MAA,92.76,False
2026-08-15,AMH,97.22,False
2026-08-15,AVB,97.35,False
2026-08-15,CPT,98.58,False
2026-08-15,MAA,89.36,False
2026-08-22,AMH,96.67,False
2026-08-22,AVB,97.97,False
2026-08-22,CPT,98.11,False
2026-08-22,MAA,89.45,False
2026-08-29,AMH,96.24,False
2026-08-29,AVB,99.25,False
2026-08-29,CPT,95.79,False
2026-08-29,MAA,89.95,False
2026-09-05,AMH,95.56,False
2026-09-05,AVB,97.4,False
2026-09-05,CPT,95.0,False
2026-09-05,MAA,89.69,False
