date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,ESS,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,98.61,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,100.11,False
2026-04-04,INVH,100.0,False
2026-04-04,UDR,99.52,False
2026-04-11,AMH,99.75,False
2026-04-11,AVB,98.64,False
2026-04-11,EQR,100.78,False
2026-04-11,ESS,101.04,False
2026-04-11,INVH,101.64,False
2026-04-11,UDR,98.85,False
2026-04-18,AMH,98.85,False
2026-04-18,AVB,98.9,False
2026-04-18,EQR,100.49,False
2026-04-18,ESS,100.75,False
2026-04-18,INVH,99.31,False
2026-04-18,UDR,100.27,False
2026-04-25,AMH,99.17,False
2026-04-25,AVB,99.15,False
2026-04-25,EQR,100.75,False
2026-04-25,ESS,100.11,False
2026-04-25,INVH,99.03,False
2026-04-25,UDR,98.81,False
2026-05-02,AMH,99.12,False
2026-05-02,AVB,98.94,False
2026-05-02,EQR,100.48,False
2026-05-02,ESS,100.43,False
2026-05-02,INVH,95.92,False
2026-05-02,UDR,98.92,False
2026-05-09,AMH,99.23,False
2026-05-09,AVB,98.74,False
2026-05-09,EQR,99.76,False
2026-05-09,ESS,100.83,False
2026-05-09,INVH,98.73,False
2026-05-09,UDR,98.7,False
2026-05-16,AMH,99.27,False
2026-05-16,AVB,98.21,False
2026-05-16,EQR,98.99,False
2026-05-16,ESS,100.9,False
2026-05-16,INVH,102.38,False
2026-05-16,UDR,98.86,False
2026-05-23,AMH,99.68,False
2026-05-23,AVB,97.32,False
2026-05-23,EQR,98.31,False
2026-05-23,ESS,101.08,False
2026-05-23,INVH,98.34,False
2026-05-23,UDR,98.36,False
2026-05-30,AMH,99.78,False
2026-05-30,AVB,97.95,False
2026-05-30,EQR,97.87,False
2026-05-30,ESS,101.08,False
2026-05-30,INVH,99.34,True
2026-05-30,UDR,98.64,False
2026-06-06,AMH,98.88,False
2026-06-06,AVB,97.98,False
2026-06-06,EQR,97.39,False
2026-06-06,ESS,100.94,False
2026-06-06,INVH,100.34,False
2026-06-06,UDR,98.58,False
2026-06-13,AMH,98.69,False
2026-06-13,AVB,97.46,False
2026-06-13,EQR,96.54,False
2026-06-13,ESS,100.06,False
2026-06-13,INVH,101.55,False
2026-06-13,UDR,98.74,False
2026-06-20,AMH,98.62,True
2026-06-20,AVB,97.2,False
2026-06-20,EQR,96.73,False
2026-06-20,ESS,100.29,False
2026-06-20,INVH,102.17,True
2026-06-20,UDR,97.23,False
2026-06-27,AMH,98.55,True
2026-06-27,AVB,96.28,True
2026-06-27,EQR,96.635,True
2026-06-27,ESS,100.1225,True
2026-06-27,INVH,102.79,True
2026-06-27,UDR,96.59,True
2026-07-04,AMH,98.48,True
2026-07-04,AVB,95.36,True
2026-07-04,EQR,96.54,True
2026-07-04,ESS,99.955,True
2026-07-04,INVH,103.41,True
2026-07-04,UDR,95.95,True
2026-07-11,AMH,98.41,True
2026-07-11,AVB,94.44,True
2026-07-11,EQR,96.445,True
2026-07-11,ESS,99.7875,True
2026-07-11,INVH,104.03,True
2026-07-11,UDR,95.31,True
2026-07-18,AMH,98.34,False
2026-07-18,AVB,93.52,False
2026-07-18,EQR,96.35,False
2026-07-18,ESS,99.62,False
2026-07-18,INVH,104.65,False
2026-07-18,UDR,94.67,False
2026-07-25,AMH,97.99,True
2026-07-25,AVB,92.775,True
2026-07-25,EQR,95.975,True
2026-07-25,ESS,98.985,True
2026-07-25,INVH,104.5433,True
2026-07-25,UDR,93.48,True
2026-08-01,AMH,97.64,False
2026-08-01,AVB,92.03,False
2026-08-01,EQR,95.6,False
2026-08-01,ESS,98.35,False
2026-08-01,INVH,104.4367,True
2026-08-01,UDR,92.29,False
2026-08-08,AMH,97.22,False
2026-08-08,AVB,91.06,False
2026-08-08,EQR,94.96,False
2026-08-08,ESS,98.19,False
2026-08-08,INVH,104.33,False
2026-08-08,UDR,90.02,False
2026-08-15,AMH,97.0,False
2026-08-15,AVB,90.45,False
2026-08-15,EQR,94.53,False
2026-08-15,ESS,98.09,False
2026-08-15,INVH,103.86,False
2026-08-15,UDR,88.59,False
2026-08-22,AMH,96.76,False
2026-08-22,AVB,90.74,False
2026-08-22,EQR,93.64,False
2026-08-22,ESS,97.05,False
2026-08-22,INVH,103.44,False
2026-08-22,UDR,87.89,False
2026-08-29,AMH,96.22,False
2026-08-29,AVB,89.54,False
2026-08-29,EQR,93.06,False
2026-08-29,ESS,95.67,False
2026-08-29,INVH,102.15,False
2026-08-29,UDR,85.79,False
2026-09-05,AMH,96.22,False
2026-09-05,AVB,89.02,False
2026-09-05,EQR,92.73,False
2026-09-05,ESS,95.37,False
2026-09-05,INVH,102.29,False
2026-09-05,UDR,85.04,False
