date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-04-04,AMH,100.0,False
2026-04-04,AVB,98.72,False
2026-04-04,EQR,100.0,False
2026-04-04,ESS,100.0,False
2026-04-04,INVH,100.0,False
2026-04-04,UDR,100.0,False
2026-04-11,AMH,99.75,False
2026-04-11,AVB,98.26,False
2026-04-11,EQR,100.0,False
2026-04-11,ESS,101.25,False
2026-04-11,INVH,101.64,False
2026-04-11,UDR,99.3,False
2026-04-18,AMH,98.85,False
2026-04-18,AVB,98.19,False
2026-04-18,EQR,99.32,False
2026-04-18,ESS,99.94,False
2026-04-18,INVH,99.31,False
2026-04-18,UDR,100.89,False
2026-04-25,AMH,99.17,False
2026-04-25,AVB,98.08,False
2026-04-25,EQR,99.67,False
2026-04-25,ESS,99.05,False
2026-04-25,INVH,99.03,False
2026-04-25,UDR,100.63,False
2026-05-02,AMH,99.12,False
2026-05-02,AVB,99.9,False
2026-05-02,EQR,98.87,False
2026-05-02,ESS,98.98,False
2026-05-02,INVH,95.92,False
2026-05-02,UDR,101.37,False
2026-05-09,AMH,99.23,False
2026-05-09,AVB,96.47,False
2026-05-09,EQR,97.48,False
2026-05-09,ESS,99.4,False
2026-05-09,INVH,98.73,False
2026-05-09,UDR,100.56,False
2026-05-16,AMH,99.27,False
2026-05-16,AVB,93.8,False
2026-05-16,EQR,96.04,False
2026-05-16,ESS,99.57,False
2026-05-16,INVH,102.38,False
2026-05-16,UDR,100.3,False
2026-05-23,AMH,99.68,False
2026-05-23,AVB,92.3,False
2026-05-23,EQR,94.69,False
2026-05-23,ESS,99.66,False
2026-05-23,INVH,98.34,False
2026-05-23,UDR,98.93,False
2026-05-30,AMH,99.78,False
2026-05-30,AVB,96.44,False
2026-05-30,EQR,93.87,False
2026-05-30,ESS,99.68,False
2026-05-30,INVH,99.34,True
2026-05-30,UDR,100.15,False
2026-06-06,AMH,98.88,False
2026-06-06,AVB,93.92,False
2026-06-06,EQR,93.53,False
2026-06-06,ESS,99.82,False
2026-06-06,INVH,100.34,False
2026-06-06,UDR,99.35,False
2026-06-13,AMH,98.69,False
2026-06-13,AVB,93.39,False
2026-06-13,EQR,92.36,False
2026-06-13,ESS,99.08,False
2026-06-13,INVH,101.55,False
2026-06-13,UDR,98.71,False
2026-06-20,AMH,98.62,True
2026-06-20,AVB,95.7,False
2026-06-20,EQR,93.19,False
2026-06-20,ESS,99.47,False
2026-06-20,INVH,102.17,True
2026-06-20,UDR,96.93,False
2026-06-27,AMH,98.55,True
2026-06-27,AVB,94.34,True
2026-06-27,EQR,92.965,True
2026-06-27,ESS,99.1675,True
2026-06-27,INVH,102.79,True
2026-06-27,UDR,95.96,True
2026-07-04,AMH,98.48,True
2026-07-04,AVB,92.98,True
2026-07-04,EQR,92.74,True
2026-07-04,ESS,98.865,True
2026-07-04,INVH,103.41,True
2026-07-04,UDR,94.99,True
2026-07-11,AMH,98.41,True
2026-07-11,AVB,91.62,True
2026-07-11,EQR,92.515,True
2026-07-11,ESS,98.5625,True
2026-07-11,INVH,104.03,True
2026-07-11,UDR,94.02,True
2026-07-18,AMH,98.34,False
2026-07-18,AVB,90.26,False
2026-07-18,EQR,92.29,False
2026-07-18,ESS,98.26,False
2026-07-18,INVH,104.65,False
2026-07-18,UDR,93.05,False
2026-07-25,AMH,97.99,True
2026-07-25,AVB,89.49,True
2026-07-25,EQR,91.98,True
2026-07-25,ESS,97.515,True
2026-07-25,INVH,104.5433,True
2026-07-25,UDR,91.895,True
2026-08-01,AMH,97.64,False
2026-08-01,AVB,88.72,False
2026-08-01,EQR,91.67,False
2026-08-01,ESS,96.77,False
2026-08-01,INVH,104.4367,True
2026-08-01,UDR,90.74,False
2026-08-08,AMH,97.22,False
2026-08-08,AVB,87.95,False
2026-08-08,EQR,90.15,False
2026-08-08,ESS,96.22,False
2026-08-08,INVH,104.33,False
2026-08-08,UDR,84.68,False
2026-08-15,AMH,97.0,False
2026-08-15,AVB,87.53,False
2026-08-15,EQR,88.95,False
2026-08-15,ESS,95.27,False
2026-08-15,INVH,103.86,False
2026-08-15,UDR,86.81,False
2026-08-22,AMH,96.76,False
2026-08-22,AVB,87.35,False
2026-08-22,EQR,87.4,False
2026-08-22,ESS,94.54,False
2026-08-22,INVH,103.44,False
2026-08-22,UDR,86.61,False
2026-08-29,AMH,96.22,False
2026-08-29,AVB,88.12,False
2026-08-29,EQR,86.11,False
2026-08-29,ESS,91.68,False
2026-08-29,INVH,102.15,False
2026-08-29,UDR,83.34,False
2026-09-05,AMH,96.22,False
2026-09-05,AVB,87.39,False
2026-09-05,EQR,85.01,False
2026-09-05,ESS,91.52,False
2026-09-05,INVH,102.29,False
2026-09-05,UDR,81.27,False
