date,series,value,interpolated
2026-03-28,AVB,100.0,False
2026-03-28,CPT,100.0,False
2026-03-28,UDR,100.0,False
2026-04-04,AVB,100.21,False
2026-04-04,CPT,98.95,False
2026-04-04,EQR,100.0,False
2026-04-04,MAA,100.0,False
2026-04-04,UDR,99.72,False
2026-04-11,AVB,100.59,False
2026-04-11,CPT,97.22,False
2026-04-11,EQR,99.91,False
2026-04-11,MAA,102.97,False
2026-04-11,UDR,99.41,False
2026-04-18,AVB,100.04,False
2026-04-18,CPT,97.47,False
2026-04-18,EQR,99.59,False
2026-04-18,MAA,101.34,False
2026-04-18,UDR,98.38,False
2026-04-25,AVB,99.73,False
2026-04-25,CPT,98.14,False
2026-04-25,EQR,99.23,False
2026-04-25,MAA,100.59,False
2026-04-25,UDR,98.24,False
2026-05-02,AVB,99.41,False
2026-05-02,CPT,98.71,False
2026-05-02,EQR,98.81,False
2026-05-02,MAA,98.8,False
2026-05-02,UDR,98.91,False
2026-05-09,AVB,98.87,False
2026-05-09,CPT,98.88,False
2026-05-09,EQR,98.21,False
2026-05-09,MAA,97.96,False
2026-05-09,UDR,98.69,False
2026-05-16,AVB,98.4,False
2026-05-16,CPT,99.1,False
2026-05-16,EQR,98.33,False
2026-05-16,MAA,98.0,False
2026-05-16,UDR,98.97,False
2026-05-23,AVB,97.75,False
2026-05-23,CPT,97.24,False
2026-05-23,EQR,97.83,False
2026-05-23,MAA,96.73,False
2026-05-23,UDR,98.3,False
2026-05-30,AVB,97.32,False
2026-05-30,CPT,97.81,False
2026-05-30,EQR,97.24,False
2026-05-30,MAA,96.23,False
2026-05-30,UDR,98.06,False
2026-06-06,AVB,97.3,False
2026-06-06,CPT,97.82,False
2026-06-06,EQR,97.45,False
2026-06-06,MAA,96.78,False
2026-06-06,UDR,97.71,False
2026-06-13,AVB,97.66,False
2026-06-13,CPT,97.03,False
2026-06-13,EQR,96.56,False
2026-06-13,MAA,96.13,False
2026-06-13,UDR,97.17,False
2026-06-20,AVB,96.98,False
2026-06-20,CPT,94.84,False
2026-06-20,EQR,96.73,False
2026-06-20,MAA,95.48,False
2026-06-20,UDR,97.19,False
2026-06-27,AVB,96.315,True
2026-06-27,CPT,95.3925,True
2026-06-27,EQR,96.7925,True
2026-06-27,MAA,95.4975,True
2026-06-27,UDR,96.1075,True
2026-07-04,AVB,95.65,True
2026-07-04,CPT,95.945,True
2026-07-04,EQR,96.855,True
2026-07-04,MAA,95.515,True
2026-07-04,UDR,95.025,True
2026-07-11,AVB,94.985,True
2026-07-11,CPT,96.4975,True
2026-07-11,EQR,96.9175,True
2026-07-11,MAA,95.5325,True
2026-07-11,UDR,93.9425,True
2026-07-18,AVB,94.32,False
2026-07-18,CPT,97.05,False
2026-07-18,EQR,96.98,False
2026-07-18,MAA,95.55,False
2026-07-18,UDR,92.86,False
2026-07-25,AVB,94.1,True
2026-07-25,CPT,97.0,True
2026-07-25,EQR,96.68,True
2026-07-25,MAA,95.205,True
2026-07-25,UDR,92.075,True
2026-08-01,AVB,93.88,False
2026-08-01,CPT,96.95,False
2026-08-01,EQR,96.38,False
2026-08-01,MAA,94.86,False
2026-08-01,UDR,91.29,False
2026-08-08,AVB,93.13,False
2026-08-08,CPT,96.81,False
2026-08-08,EQR,95.79,False
2026-08-08,MAA,94.74,False
2026-08-08,UDR,90.74,False
2026-08-15,AVB,91.61,False
2026-08-15,CPT,96.01,False
2026-08-15,EQR,95.84,False
2026-08-15,MAA,93.02,False
2026-08-15,UDR,89.48,False
2026-08-22,AVB,90.7,False
2026-08-22,CPT,95.47,False
2026-08-22,EQR,95.08,False
2026-08-22,MAA,91.91,False
2026-08-22,UDR,88.82,False
2026-08-29,AVB,89.14,False
2026-08-29,CPT,94.03,False
2026-08-29,EQR,94.52,False
2026-08-29,MAA,92.94,False
2026-08-29,UDR,88.72,False
2026-09-05,AVB,89.64,False
2026-09-05,CPT,93.57,False
2026-09-05,EQR,94.15,False
2026-09-05,MAA,93.01,False
2026-09-05,UDR,88.65,False
