date,series,value,interpolated
2026-04-04,Other,100.0,False
2026-04-04,Atlanta,100.0,False
2026-04-04,Charlotte,100.0,False
2026-04-04,Phoenix,100.0,False
2026-04-04,Nashville,100.0,False
2026-04-04,Jacksonville,100.0,False
2026-04-04,Tampa,100.0,False
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Las Vegas,100.0,False
2026-04-04,Salt Lake City,100.0,False
2026-04-04,Houston,100.0,False
2026-04-04,Orlando,100.0,False
2026-04-04,Raleigh/Durham,100.0,False
2026-04-04,Denver,100.0,False
2026-04-04,Seattle,100.0,False
2026-04-04,Charleston,100.0,False
2026-04-04,San Antonio,100.0,False
2026-04-04,Chicago,100.0,False
2026-04-04,Greenville,100.0,False
2026-04-04,Austin,100.0,False
2026-04-04,Memphis,100.0,False
2026-04-04,Portland,100.0,False
2026-04-04,Miami/Fort Lauderdale,100.0,False
2026-04-11,Other,99.88,False
2026-04-11,Atlanta,99.9,False
2026-04-11,Charlotte,99.83,False
2026-04-11,Phoenix,99.76,False
2026-04-11,Nashville,99.89,False
2026-04-11,Jacksonville,99.92,False
2026-04-11,Tampa,99.62,False
2026-04-11,Dallas/Fort Worth,99.44,False
2026-04-11,Las Vegas,100.03,False
2026-04-11,Salt Lake City,100.08,False
2026-04-11,Houston,99.09,False
2026-04-11,Orlando,99.76,False
2026-04-11,Raleigh/Durham,99.61,False
2026-04-11,Denver,100.13,False
2026-04-11,Seattle,99.75,False
2026-04-11,Charleston,100.23,False
2026-04-11,San Antonio,99.28,False
2026-04-11,Chicago,99.96,False
2026-04-11,Greenville,99.88,False
2026-04-11,Austin,98.9,False
2026-04-11,Memphis,99.2,False
2026-04-11,Portland,99.58,False
2026-04-11,Miami/Fort Lauderdale,97.04,False
2026-04-18,Other,99.7,False
2026-04-18,Atlanta,99.9,False
2026-04-18,Charlotte,99.93,False
2026-04-18,Phoenix,99.32,False
2026-04-18,Nashville,99.82,False
2026-04-18,Jacksonville,99.64,False
2026-04-18,Tampa,99.06,False
2026-04-18,Dallas/Fort Worth,99.02,False
2026-04-18,Las Vegas,99.5,False
2026-04-18,Salt Lake City,99.24,False
2026-04-18,Houston,98.71,False
2026-04-18,Orlando,99.51,False
2026-04-18,Raleigh/Durham,99.03,False
2026-04-18,Denver,100.21,False
2026-04-18,Seattle,98.85,False
2026-04-18,Charleston,100.29,False
2026-04-18,San Antonio,98.63,False
2026-04-18,Chicago,100.06,False
2026-04-18,Greenville,99.87,False
2026-04-18,Austin,98.49,False
2026-04-18,Memphis,98.54,False
2026-04-18,Portland,98.72,False
2026-04-18,Miami/Fort Lauderdale,97.05,False
2026-04-25,Other,99.79,False
2026-04-25,Atlanta,99.63,False
2026-04-25,Charlotte,99.97,False
2026-04-25,Phoenix,98.87,False
2026-04-25,Nashville,99.69,False
2026-04-25,Jacksonville,99.45,False
2026-04-25,Tampa,98.95,False
2026-04-25,Dallas/Fort Worth,98.57,False
2026-04-25,Las Vegas,99.16,False
2026-04-25,Salt Lake City,99.37,False
2026-04-25,Houston,98.32,False
2026-04-25,Orlando,99.3,False
2026-04-25,Raleigh/Durham,98.91,False
2026-04-25,Denver,100.36,False
2026-04-25,Seattle,99.17,False
2026-04-25,Charleston,100.31,False
2026-04-25,San Antonio,98.7,False
2026-04-25,Chicago,100.25,False
2026-04-25,Greenville,99.51,False
2026-04-25,Austin,98.15,False
2026-04-25,Memphis,98.5,False
2026-04-25,Portland,97.94,False
2026-04-25,Miami/Fort Lauderdale,97.42,False
2026-05-02,Other,99.83,False
2026-05-02,Atlanta,99.45,False
2026-05-02,Charlotte,100.08,False
2026-05-02,Phoenix,98.53,False
2026-05-02,Nashville,99.56,False
2026-05-02,Jacksonville,99.43,False
2026-05-02,Tampa,98.24,False
2026-05-02,Dallas/Fort Worth,98.33,False
2026-05-02,Las Vegas,98.86,False
2026-05-02,Salt Lake City,99.41,False
2026-05-02,Houston,97.68,False
2026-05-02,Orlando,99.2,False
2026-05-02,Raleigh/Durham,98.81,False
2026-05-02,Denver,100.38,False
2026-05-02,Seattle,99.12,False
2026-05-02,Charleston,100.32,False
2026-05-02,San Antonio,97.7,False
2026-05-02,Chicago,100.1,False
2026-05-02,Greenville,99.78,False
2026-05-02,Austin,96.12,False
2026-05-02,Memphis,98.18,False
2026-05-02,Portland,98.24,False
2026-05-02,Miami/Fort Lauderdale,98.87,False
2026-05-09,Other,99.86,False
2026-05-09,Atlanta,98.96,False
2026-05-09,Charlotte,100.03,False
2026-05-09,Phoenix,98.05,False
2026-05-09,Nashville,99.43,False
2026-05-09,Jacksonville,99.49,False
2026-05-09,Tampa,98.06,False
2026-05-09,Dallas/Fort Worth,98.06,False
2026-05-09,Las Vegas,98.68,False
