date,series,value,interpolated
2026-03-28,New York,100.0,False
2026-03-28,Los Angeles,100.0,False
2026-03-28,"Washington, DC",100.0,False
2026-03-28,Boston,100.0,False
2026-03-28,Charlotte,100.0,False
2026-03-28,Baltimore,100.0,False
2026-03-28,Seattle,100.0,False
2026-03-28,Denver,100.0,False
2026-03-28,San Jose,100.0,False
2026-03-28,San Francisco-East Bay,100.0,False
2026-03-28,Orange County,100.0,False
2026-03-28,Dallas/Fort Worth,100.0,False
2026-03-28,Austin,100.0,False
2026-03-28,Miami/Fort Lauderdale,100.0,False
2026-03-28,Raleigh/Durham,100.0,False
2026-03-28,San Francisco,100.0,False
2026-03-28,San Diego,100.0,False
2026-04-04,New York,100.26,False
2026-04-04,Los Angeles,99.63,False
2026-04-04,"Washington, DC",100.21,False
2026-04-04,Boston,99.93,False
2026-04-04,Charlotte,99.83,False
2026-04-04,Baltimore,99.72,False
2026-04-04,Seattle,98.61,False
2026-04-04,Denver,99.93,False
2026-04-04,San Jose,99.7,False
2026-04-04,San Francisco-East Bay,99.69,False
2026-04-04,Orange County,99.67,False
2026-04-04,Dallas/Fort Worth,99.65,False
2026-04-04,Austin,102.8,False
2026-04-04,Miami/Fort Lauderdale,99.9,False
2026-04-04,Raleigh/Durham,99.85,False
2026-04-04,San Francisco,99.64,False
2026-04-04,San Diego,99.68,False
2026-04-11,New York,100.45,False
2026-04-11,Los Angeles,99.45,False
2026-04-11,"Washington, DC",100.59,False
2026-04-11,Boston,99.39,False
2026-04-11,Charlotte,99.2,False
2026-04-11,Baltimore,99.46,False
2026-04-11,Seattle,98.64,False
2026-04-11,Denver,99.72,False
2026-04-11,San Jose,100.44,False
2026-04-11,San Francisco-East Bay,99.79,False
2026-04-11,Orange County,99.01,False
2026-04-11,Dallas/Fort Worth,99.51,False
2026-04-11,Austin,103.51,False
2026-04-11,Miami/Fort Lauderdale,100.11,False
2026-04-11,Raleigh/Durham,99.9,False
2026-04-11,San Francisco,99.46,False
2026-04-11,San Diego,99.98,False
2026-04-18,New York,100.39,False
2026-04-18,Los Angeles,98.95,False
2026-04-18,"Washington, DC",100.04,False
2026-04-18,Boston,98.64,False
2026-04-18,Charlotte,99.12,False
2026-04-18,Baltimore,99.7,False
2026-04-18,Seattle,98.9,False
2026-04-18,Denver,98.5,False
2026-04-18,San Jose,99.84,False
2026-04-18,San Francisco-East Bay,99.4,False
2026-04-18,Orange County,97.95,False
2026-04-18,Dallas/Fort Worth,101.09,False
2026-04-18,Austin,103.48,False
2026-04-18,Miami/Fort Lauderdale,99.78,False
2026-04-18,Raleigh/Durham,100.68,False
2026-04-18,San Francisco,99.53,False
2026-04-18,San Diego,100.57,False
2026-04-25,New York,100.65,False
2026-04-25,Los Angeles,98.29,False
2026-04-25,"Washington, DC",99.73,False
2026-04-25,Boston,98.42,False
2026-04-25,Charlotte,100.68,False
2026-04-25,Baltimore,99.86,False
2026-04-25,Seattle,99.15,False
2026-04-25,Denver,98.31,False
2026-04-25,San Jose,99.88,False
2026-04-25,San Francisco-East Bay,100.21,False
2026-04-25,Orange County,98.14,False
2026-04-25,Dallas/Fort Worth,101.26,False
2026-04-25,Austin,103.07,False
2026-04-25,Miami/Fort Lauderdale,99.41,False
2026-04-25,Raleigh/Durham,101.82,False
2026-04-25,San Francisco,98.84,False
2026-04-25,San Diego,100.35,False
2026-05-02,New York,100.91,False
2026-05-02,Los Angeles,97.17,False
2026-05-02,"Washington, DC",99.41,False
2026-05-02,Boston,98.39,False
2026-05-02,Charlotte,99.38,False
2026-05-02,Baltimore,99.88,False
2026-05-02,Seattle,98.94,False
2026-05-02,Denver,97.6,False
2026-05-02,San Jose,100.4,False
2026-05-02,San Francisco-East Bay,98.85,False
2026-05-02,Orange County,97.77,False
2026-05-02,Dallas/Fort Worth,101.45,False
2026-05-02,Austin,102.54,False
2026-05-02,Miami/Fort Lauderdale,100.06,False
2026-05-02,Raleigh/Durham,101.96,False
2026-05-02,San Francisco,98.58,False
2026-05-02,San Diego,99.44,False
2026-05-09,New York,100.78,False
2026-05-09,Los Angeles,96.72,False
2026-05-09,"Washington, DC",98.87,False
2026-05-09,Boston,98.83,False
2026-05-09,Charlotte,97.83,False
2026-05-09,Baltimore,100.18,False
2026-05-09,Seattle,98.74,False
2026-05-09,Denver,96.56,False
2026-05-09,San Jose,101.1,False
2026-05-09,San Francisco-East Bay,99.33,False
2026-05-09,Orange County,98.59,False
2026-05-09,Dallas/Fort Worth,101.21,False
2026-05-09,Austin,101.75,False
2026-05-09,Miami/Fort Lauderdale,99.93,False
2026-05-09,Raleigh/Durham,102.62,False
2026-05-09,San Francisco,98.52,False
2026-05-09,San Diego,99.97,False
2026-05-16,New York,100.21,False
2026-05-16,Los Angeles,96.09,False
2026-05-16,"Washington, DC",98.4,False
2026-05-16,Boston,98.59,False
2026-05-16,Charlotte,96.79,False
2026-05-16,Baltimore,99.33,False
2026-05-16,Seattle,98.21,False
2026-05-16,Denver,96.16,False
2026-05-16,San Jose,101.07,False
2026-05-16,San Francisco-East Bay,98.66,False
2026-05-16,Orange County,99.05,False
2026-05-16,Dallas/Fort Worth,100.5,False
2026-05-16,Austin,101.63,False
2026-05-16,Miami/Fort Lauderdale,99.46,False
2026-05-16,Raleigh/Durham,99.78,False
2026-05-16,San Francisco,98.59,False
2026-05-16,San Diego,98.83,False
2026-05-23,New York,99.62,False
2026-05-23,Los Angeles,95.13,False
2026-05-23,"Washington, DC",97.75,False
2026-05-23,Boston,98.15,False
2026-05-23,Charlotte,98.08,False
2026-05-23,Baltimore,97.67,False
2026-05-23,Seattle,97.32,False
2026-05-23,Denver,95.65,False
2026-05-23,San Jose,101.95,False
2026-05-23,San Francisco-East Bay,98.62,False
2026-05-23,Orange County,98.74,False
2026-05-23,Dallas/Fort Worth,100.24,False
2026-05-23,Austin,102.81,False
2026-05-23,Miami/Fort Lauderdale,98.79,False
2026-05-23,Raleigh/Durham,98.97,False
2026-05-23,San Francisco,98.66,False
2026-05-23,San Diego,97.82,False
2026-05-30,New York,98.84,False
2026-05-30,Los Angeles,95.65,False
2026-05-30,"Washington, DC",97.32,False
2026-05-30,Boston,97.77,False
2026-05-30,Charlotte,98.49,False
2026-05-30,Baltimore,97.98,False
2026-05-30,Seattle,97.95,False
2026-05-30,Denver,95.11,False
2026-05-30,San Jose,101.7,False
2026-05-30,San Francisco-East Bay,97.27,False
2026-05-30,Orange County,98.77,False
2026-05-30,Dallas/Fort Worth,100.4,False
2026-05-30,Austin,103.13,False
2026-05-30,Miami/Fort Lauderdale,98.51,False
2026-05-30,Raleigh/Durham,98.06,False
2026-05-30,San Francisco,99.57,False
2026-05-30,San Diego,97.68,False
2026-06-06,New York,98.81,False
2026-06-06,Los Angeles,95.49,False
2026-06-06,"Washington, DC",97.3,False
2026-06-06,Boston,97.1,False
2026-06-06,Charlotte,98.72,False
2026-06-06,Baltimore,97.77,False
2026-06-06,Seattle,97.98,False
2026-06-06,Denver,94.37,False
