date,series,value,interpolated
2026-03-28,New York,100.0,False
2026-03-28,Los Angeles,100.0,False
2026-03-28,"Washington, DC",100.0,False
2026-03-28,Boston,100.0,False
2026-03-28,Charlotte,100.0,False
2026-03-28,Baltimore,100.0,False
2026-03-28,Seattle,100.0,False
2026-03-28,Denver,100.0,False
2026-03-28,San Jose,100.0,False
2026-03-28,San Francisco-East Bay,100.0,False
2026-03-28,Orange County,100.0,False
2026-03-28,Dallas/Fort Worth,100.0,False
2026-03-28,Austin,100.0,False
2026-03-28,Miami/Fort Lauderdale,100.0,False
2026-03-28,Raleigh/Durham,100.0,False
2026-03-28,San Francisco,100.0,False
2026-03-28,San Diego,100.0,False
2026-04-04,New York,101.82,False
2026-04-04,Los Angeles,99.04,False
2026-04-04,"Washington, DC",102.24,False
2026-04-04,Boston,102.43,False
2026-04-04,Charlotte,99.46,False
2026-04-04,Baltimore,100.34,False
2026-04-04,Seattle,98.72,False
2026-04-04,Denver,103.15,False
2026-04-04,San Jose,99.94,False
2026-04-04,San Francisco-East Bay,100.37,False
2026-04-04,Orange County,99.67,False
2026-04-04,Dallas/Fort Worth,101.27,False
2026-04-04,Austin,103.16,False
2026-04-04,Miami/Fort Lauderdale,103.74,False
2026-04-04,Raleigh/Durham,99.5,False
2026-04-04,San Francisco,100.47,False
2026-04-04,San Diego,99.43,False
2026-04-11,New York,101.34,False
2026-04-11,Los Angeles,98.92,False
2026-04-11,"Washington, DC",102.8,False
2026-04-11,Boston,102.62,False
2026-04-11,Charlotte,98.84,False
2026-04-11,Baltimore,99.8,False
2026-04-11,Seattle,98.26,False
2026-04-11,Denver,105.23,False
2026-04-11,San Jose,99.04,False
2026-04-11,San Francisco-East Bay,101.05,False
2026-04-11,Orange County,100.4,False
2026-04-11,Dallas/Fort Worth,102.29,False
2026-04-11,Austin,110.31,False
2026-04-11,Miami/Fort Lauderdale,100.94,False
2026-04-11,Raleigh/Durham,109.27,False
2026-04-11,San Francisco,100.29,False
2026-04-11,San Diego,101.67,False
2026-04-18,New York,101.94,False
2026-04-18,Los Angeles,98.59,False
2026-04-18,"Washington, DC",100.75,False
2026-04-18,Boston,101.96,False
2026-04-18,Charlotte,98.95,False
2026-04-18,Baltimore,99.07,False
2026-04-18,Seattle,98.19,False
2026-04-18,Denver,104.18,False
2026-04-18,San Jose,98.55,False
2026-04-18,San Francisco-East Bay,100.34,False
2026-04-18,Orange County,98.91,False
2026-04-18,Dallas/Fort Worth,100.57,False
2026-04-18,Austin,110.54,False
2026-04-18,Miami/Fort Lauderdale,100.78,False
2026-04-18,Raleigh/Durham,112.29,False
2026-04-18,San Francisco,100.36,False
2026-04-18,San Diego,100.62,False
2026-04-25,New York,101.38,False
2026-04-25,Los Angeles,97.89,False
2026-04-25,"Washington, DC",100.07,False
2026-04-25,Boston,101.21,False
2026-04-25,Charlotte,100.7,False
2026-04-25,Baltimore,99.82,False
2026-04-25,Seattle,98.08,False
2026-04-25,Denver,99.28,False
2026-04-25,San Jose,98.18,False
2026-04-25,San Francisco-East Bay,100.79,False
2026-04-25,Orange County,99.06,False
2026-04-25,Dallas/Fort Worth,100.75,False
2026-04-25,Austin,105.77,False
2026-04-25,Miami/Fort Lauderdale,101.15,False
2026-04-25,Raleigh/Durham,112.03,False
2026-04-25,San Francisco,99.2,False
2026-04-25,San Diego,99.77,False
2026-05-02,New York,101.74,False
2026-05-02,Los Angeles,97.01,False
2026-05-02,"Washington, DC",98.95,False
2026-05-02,Boston,102.69,False
2026-05-02,Charlotte,99.95,False
2026-05-02,Baltimore,98.99,False
2026-05-02,Seattle,99.9,False
2026-05-02,Denver,97.01,False
2026-05-02,San Jose,99.63,False
2026-05-02,San Francisco-East Bay,98.92,False
2026-05-02,Orange County,98.63,False
2026-05-02,Dallas/Fort Worth,102.62,False
2026-05-02,Austin,100.42,False
2026-05-02,Miami/Fort Lauderdale,101.62,False
2026-05-02,Raleigh/Durham,101.5,False
2026-05-02,San Francisco,98.93,False
2026-05-02,San Diego,99.41,False
2026-05-09,New York,101.13,False
2026-05-09,Los Angeles,95.76,False
2026-05-09,"Washington, DC",98.31,False
2026-05-09,Boston,99.89,False
2026-05-09,Charlotte,98.57,False
2026-05-09,Baltimore,99.65,False
2026-05-09,Seattle,96.47,False
2026-05-09,Denver,97.54,False
2026-05-09,San Jose,101.38,False
2026-05-09,San Francisco-East Bay,100.53,False
2026-05-09,Orange County,99.54,False
2026-05-09,Dallas/Fort Worth,102.38,False
2026-05-09,Austin,103.78,False
2026-05-09,Miami/Fort Lauderdale,100.24,False
2026-05-09,Raleigh/Durham,102.79,False
2026-05-09,San Francisco,98.73,False
2026-05-09,San Diego,100.03,False
2026-05-16,New York,99.62,False
2026-05-16,Los Angeles,94.39,False
2026-05-16,"Washington, DC",97.83,False
2026-05-16,Boston,99.97,False
2026-05-16,Charlotte,97.81,False
2026-05-16,Baltimore,98.46,False
2026-05-16,Seattle,93.8,False
2026-05-16,Denver,99.02,False
2026-05-16,San Jose,98.61,False
2026-05-16,San Francisco-East Bay,97.92,False
2026-05-16,Orange County,99.95,False
2026-05-16,Dallas/Fort Worth,102.61,False
2026-05-16,Austin,103.75,False
2026-05-16,Miami/Fort Lauderdale,99.48,False
2026-05-16,Raleigh/Durham,109.63,False
2026-05-16,San Francisco,98.85,False
2026-05-16,San Diego,99.28,False
2026-05-23,New York,98.85,False
2026-05-23,Los Angeles,92.99,False
2026-05-23,"Washington, DC",97.12,False
2026-05-23,Boston,99.25,False
2026-05-23,Charlotte,99.43,False
2026-05-23,Baltimore,96.82,False
2026-05-23,Seattle,92.3,False
2026-05-23,Denver,98.54,False
2026-05-23,San Jose,99.72,False
2026-05-23,San Francisco-East Bay,99.31,False
2026-05-23,Orange County,99.59,False
2026-05-23,Dallas/Fort Worth,100.69,False
2026-05-23,Austin,104.99,False
2026-05-23,Miami/Fort Lauderdale,100.08,False
2026-05-23,Raleigh/Durham,109.27,False
2026-05-23,San Francisco,99.3,False
2026-05-23,San Diego,97.12,False
2026-05-30,New York,98.83,False
2026-05-30,Los Angeles,94.34,False
2026-05-30,"Washington, DC",97.26,False
2026-05-30,Boston,97.73,False
2026-05-30,Charlotte,99.3,False
2026-05-30,Baltimore,96.51,False
2026-05-30,Seattle,96.44,False
2026-05-30,Denver,97.68,False
2026-05-30,San Jose,101.76,False
2026-05-30,San Francisco-East Bay,96.96,False
2026-05-30,Orange County,98.45,False
2026-05-30,Dallas/Fort Worth,101.55,False
2026-05-30,Austin,105.99,False
2026-05-30,Miami/Fort Lauderdale,99.44,False
2026-05-30,Raleigh/Durham,108.0,False
2026-05-30,San Francisco,100.22,False
2026-05-30,San Diego,97.6,False
2026-06-06,New York,98.44,False
2026-06-06,Los Angeles,94.24,False
2026-06-06,"Washington, DC",97.04,False
2026-06-06,Boston,97.76,False
2026-06-06,Charlotte,99.71,False
2026-06-06,Baltimore,98.54,False
2026-06-06,Seattle,93.92,False
2026-06-06,Denver,97.6,False
