date,series,value,interpolated
2026-03-28,Houston,100.0,False
2026-03-28,Charlotte,100.0,False
2026-03-28,Dallas/Fort Worth,100.0,False
2026-03-28,Raleigh/Durham,100.0,False
2026-03-28,Phoenix,100.0,False
2026-03-28,Atlanta,100.0,False
2026-03-28,Austin,100.0,False
2026-03-28,Orlando,100.0,False
2026-03-28,Tampa,100.0,False
2026-03-28,Denver,100.0,False
2026-03-28,"Washington, DC",100.0,False
2026-03-28,Miami/Fort Lauderdale,100.0,False
2026-03-28,Nashville,100.0,False
2026-04-04,Houston,99.25,False
2026-04-04,Charlotte,99.05,False
2026-04-04,Dallas/Fort Worth,99.89,False
2026-04-04,Raleigh/Durham,99.67,False
2026-04-04,Phoenix,99.76,False
2026-04-04,Atlanta,99.85,False
2026-04-04,Austin,99.71,False
2026-04-04,Orlando,100.05,False
2026-04-04,Tampa,99.95,False
2026-04-04,Denver,100.61,False
2026-04-04,"Washington, DC",98.95,False
2026-04-04,Miami/Fort Lauderdale,99.94,False
2026-04-04,Nashville,100.11,False
2026-04-11,Houston,98.55,False
2026-04-11,Charlotte,97.93,False
2026-04-11,Dallas/Fort Worth,100.25,False
2026-04-11,Raleigh/Durham,99.75,False
2026-04-11,Phoenix,99.58,False
2026-04-11,Atlanta,99.13,False
2026-04-11,Austin,97.15,False
2026-04-11,Orlando,99.69,False
2026-04-11,Tampa,99.33,False
2026-04-11,Denver,101.32,False
2026-04-11,"Washington, DC",97.22,False
2026-04-11,Miami/Fort Lauderdale,99.39,False
2026-04-11,Nashville,99.93,False
2026-04-18,Houston,99.17,False
2026-04-18,Charlotte,98.38,False
2026-04-18,Dallas/Fort Worth,100.4,False
2026-04-18,Raleigh/Durham,100.17,False
2026-04-18,Phoenix,99.57,False
2026-04-18,Atlanta,98.7,False
2026-04-18,Austin,97.23,False
2026-04-18,Orlando,99.8,False
2026-04-18,Tampa,98.96,False
2026-04-18,Denver,100.75,False
2026-04-18,"Washington, DC",97.47,False
2026-04-18,Miami/Fort Lauderdale,98.83,False
2026-04-18,Nashville,99.39,False
2026-04-25,Houston,98.67,False
2026-04-25,Charlotte,98.99,False
2026-04-25,Dallas/Fort Worth,100.05,False
2026-04-25,Raleigh/Durham,100.39,False
2026-04-25,Phoenix,99.04,False
2026-04-25,Atlanta,99.02,False
2026-04-25,Austin,97.64,False
2026-04-25,Orlando,98.93,False
2026-04-25,Tampa,98.45,False
2026-04-25,Denver,100.22,False
2026-04-25,"Washington, DC",98.14,False
2026-04-25,Miami/Fort Lauderdale,98.32,False
2026-04-25,Nashville,98.99,False
2026-05-02,Houston,98.35,False
2026-05-02,Charlotte,98.94,False
2026-05-02,Dallas/Fort Worth,99.54,False
