date,series,value,interpolated
2026-04-04,"Washington, DC",100.0,False
2026-04-04,Los Angeles,100.0,False
2026-04-04,Atlanta,100.0,False
2026-04-04,Seattle,100.0,False
2026-04-04,Boston,100.0,False
2026-04-04,San Francisco,100.0,False
2026-04-04,New York,100.0,False
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Denver,100.0,False
2026-04-04,Orange County,100.0,False
2026-04-04,San Diego,100.0,False
2026-04-04,Inland Empire,100.0,False
2026-04-04,Austin,100.0,False
2026-04-11,"Washington, DC",99.91,False
2026-04-11,Los Angeles,98.48,False
2026-04-11,Atlanta,99.44,False
2026-04-11,Seattle,100.8,False
2026-04-11,Boston,100.68,False
2026-04-11,San Francisco,99.99,False
2026-04-11,New York,99.69,False
2026-04-11,Dallas/Fort Worth,100.18,False
2026-04-11,Denver,99.31,False
2026-04-11,Orange County,100.11,False
2026-04-11,San Diego,100.27,False
2026-04-11,Inland Empire,99.14,False
2026-04-11,Austin,100.59,False
2026-04-18,"Washington, DC",99.59,False
2026-04-18,Los Angeles,98.11,False
2026-04-18,Atlanta,99.5,False
2026-04-18,Seattle,100.5,False
2026-04-18,Boston,101.27,False
2026-04-18,San Francisco,100.56,False
2026-04-18,New York,99.85,False
2026-04-18,Dallas/Fort Worth,99.89,False
2026-04-18,Denver,99.3,False
2026-04-18,Orange County,99.59,False
2026-04-18,San Diego,100.31,False
2026-04-18,Inland Empire,99.01,False
2026-04-18,Austin,100.94,False
2026-04-25,"Washington, DC",99.23,False
2026-04-25,Los Angeles,97.99,False
2026-04-25,Atlanta,99.41,False
2026-04-25,Seattle,100.76,False
2026-04-25,Boston,101.31,False
2026-04-25,San Francisco,100.51,False
2026-04-25,New York,99.26,False
2026-04-25,Dallas/Fort Worth,99.41,False
2026-04-25,Denver,99.1,False
2026-04-25,Orange County,99.25,False
2026-04-25,San Diego,100.77,False
2026-04-25,Inland Empire,99.97,False
2026-04-25,Austin,100.19,False
2026-05-02,"Washington, DC",98.81,False
2026-05-02,Los Angeles,97.84,False
2026-05-02,Atlanta,98.38,False
2026-05-02,Seattle,100.49,False
2026-05-02,Boston,101.32,False
2026-05-02,San Francisco,100.59,False
2026-05-02,New York,98.66,False
2026-05-02,Dallas/Fort Worth,99.13,False
2026-05-02,Denver,98.43,False
2026-05-02,Orange County,99.36,False
2026-05-02,San Diego,100.68,False
2026-05-02,Inland Empire,100.21,False
2026-05-02,Austin,100.89,False
2026-05-09,"Washington, DC",98.21,False
2026-05-09,Los Angeles,97.06,False
2026-05-09,Atlanta,97.61,False
2026-05-09,Seattle,99.76,False
2026-05-09,Boston,100.84,False
2026-05-09,San Francisco,100.48,False
2026-05-09,New York,98.75,False
2026-05-09,Dallas/Fort Worth,96.75,False
2026-05-09,Denver,98.49,False
2026-05-09,Orange County,100.2,False
2026-05-09,San Diego,100.36,False
2026-05-09,Inland Empire,99.83,False
2026-05-09,Austin,101.66,False
2026-05-16,"Washington, DC",98.33,False
2026-05-16,Los Angeles,96.94,False
2026-05-16,Atlanta,97.62,False
2026-05-16,Seattle,99.0,False
2026-05-16,Boston,101.46,False
2026-05-16,San Francisco,100.21,False
2026-05-16,New York,98.27,False
2026-05-16,Dallas/Fort Worth,97.37,False
2026-05-16,Denver,97.94,False
2026-05-16,Orange County,100.98,False
2026-05-16,San Diego,100.75,False
2026-05-16,Inland Empire,99.72,False
2026-05-16,Austin,103.38,False
2026-05-23,"Washington, DC",97.83,False
2026-05-23,Los Angeles,96.74,False
2026-05-23,Atlanta,97.5,False
2026-05-23,Seattle,98.32,False
2026-05-23,Boston,101.67,False
2026-05-23,San Francisco,99.53,False
2026-05-23,New York,98.83,False
2026-05-23,Dallas/Fort Worth,97.87,False
2026-05-23,Denver,99.23,False
2026-05-23,Orange County,101.15,False
2026-05-23,San Diego,100.64,False
2026-05-23,Inland Empire,99.94,False
2026-05-23,Austin,103.84,False
2026-05-30,"Washington, DC",97.24,False
2026-05-30,Los Angeles,96.48,False
2026-05-30,Atlanta,97.55,False
2026-05-30,Seattle,97.87,False
2026-05-30,Boston,101.04,False
2026-05-30,San Francisco,99.79,False
2026-05-30,New York,99.03,False
2026-05-30,Dallas/Fort Worth,97.36,False
2026-05-30,Denver,98.1,False
2026-05-30,Orange County,101.15,False
2026-05-30,San Diego,100.78,False
2026-05-30,Inland Empire,100.83,False
2026-05-30,Austin,103.84,False
2026-06-06,"Washington, DC",97.45,False
2026-06-06,Los Angeles,96.13,False
2026-06-06,Atlanta,97.77,False
2026-06-06,Seattle,97.4,False
2026-06-06,Boston,100.27,False
2026-06-06,San Francisco,100.03,False
2026-06-06,New York,98.28,False
2026-06-06,Dallas/Fort Worth,97.86,False
2026-06-06,Denver,97.76,False
2026-06-06,Orange County,101.09,False
2026-06-06,San Diego,100.56,False
2026-06-06,Inland Empire,99.48,False
2026-06-06,Austin,102.14,False
2026-06-13,"Washington, DC",96.56,False
2026-06-13,Los Angeles,95.52,False
2026-06-13,Atlanta,97.04,False
2026-06-13,Seattle,96.54,False
2026-06-13,Boston,99.65,False
2026-06-13,San Francisco,99.7,False
2026-06-13,New York,97.99,False
2026-06-13,Dallas/Fort Worth,97.44,False
2026-06-13,Denver,96.11,False
2026-06-13,Orange County,100.58,False
2026-06-13,San Diego,100.43,False
2026-06-13,Inland Empire,99.03,False
2026-06-13,Austin,103.25,False
2026-06-20,"Washington, DC",96.73,False
2026-06-20,Los Angeles,95.33,False
2026-06-20,Atlanta,97.18,False
2026-06-20,Seattle,96.75,False
2026-06-20,Boston,99.57,False
2026-06-20,San Francisco,99.87,False
2026-06-20,New York,97.65,False
2026-06-20,Dallas/Fort Worth,98.3,False
2026-06-20,Denver,96.74,False
2026-06-20,Orange County,100.32,False
2026-06-20,San Diego,99.96,False
