date,series,value,interpolated
2026-04-04,"Washington, DC",100.0,False
2026-04-04,Los Angeles,100.0,False
2026-04-04,Atlanta,100.0,False
2026-04-04,Seattle,100.0,False
2026-04-04,Boston,100.0,False
2026-04-04,San Francisco,100.0,False
2026-04-04,New York,100.0,False
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Denver,100.0,False
2026-04-04,Orange County,100.0,False
2026-04-04,San Diego,100.0,False
2026-04-04,Inland Empire,100.0,False
2026-04-04,Austin,100.0,False
2026-04-11,"Washington, DC",99.89,False
2026-04-11,Los Angeles,97.65,False
2026-04-11,Atlanta,99.21,False
2026-04-11,Seattle,100.02,False
2026-04-11,Boston,101.62,False
2026-04-11,San Francisco,99.97,False
2026-04-11,New York,99.67,False
2026-04-11,Dallas/Fort Worth,100.13,False
2026-04-11,Denver,99.17,False
2026-04-11,Orange County,100.09,False
2026-04-11,San Diego,100.25,False
2026-04-11,Inland Empire,97.98,False
2026-04-11,Austin,100.63,False
2026-04-18,"Washington, DC",99.42,False
2026-04-18,Los Angeles,96.86,False
2026-04-18,Atlanta,98.65,False
2026-04-18,Seattle,99.32,False
2026-04-18,Boston,102.35,False
2026-04-18,San Francisco,100.51,False
2026-04-18,New York,99.82,False
2026-04-18,Dallas/Fort Worth,100.34,False
2026-04-18,Denver,96.91,False
2026-04-18,Orange County,100.04,False
2026-04-18,San Diego,100.29,False
2026-04-18,Inland Empire,97.51,False
2026-04-18,Austin,101.17,False
2026-04-25,"Washington, DC",99.16,False
2026-04-25,Los Angeles,95.13,False
2026-04-25,Atlanta,97.72,False
2026-04-25,Seattle,99.66,False
2026-04-25,Boston,102.41,False
2026-04-25,San Francisco,100.52,False
2026-04-25,New York,99.26,False
2026-04-25,Dallas/Fort Worth,98.62,False
2026-04-25,Denver,96.61,False
2026-04-25,Orange County,99.67,False
2026-04-25,San Diego,100.75,False
2026-04-25,Inland Empire,98.98,False
2026-04-25,Austin,100.43,False
2026-05-02,"Washington, DC",98.73,False
2026-05-02,Los Angeles,94.02,False
2026-05-02,Atlanta,95.78,False
2026-05-02,Seattle,98.89,False
2026-05-02,Boston,101.81,False
2026-05-02,San Francisco,100.53,False
2026-05-02,New York,98.61,False
2026-05-02,Dallas/Fort Worth,98.29,False
2026-05-02,Denver,95.5,False
2026-05-02,Orange County,99.88,False
2026-05-02,San Diego,100.33,False
2026-05-02,Inland Empire,99.02,False
2026-05-02,Austin,98.83,False
2026-05-09,"Washington, DC",98.64,False
2026-05-09,Los Angeles,92.62,False
2026-05-09,Atlanta,94.41,False
2026-05-09,Seattle,97.51,False
2026-05-09,Boston,101.34,False
2026-05-09,San Francisco,100.38,False
2026-05-09,New York,98.71,False
2026-05-09,Dallas/Fort Worth,96.03,False
2026-05-09,Denver,95.37,False
2026-05-09,Orange County,100.24,False
2026-05-09,San Diego,99.98,False
2026-05-09,Inland Empire,98.82,False
2026-05-09,Austin,99.51,False
2026-05-16,"Washington, DC",97.78,False
2026-05-16,Los Angeles,91.61,False
2026-05-16,Atlanta,93.98,False
2026-05-16,Seattle,96.06,False
2026-05-16,Boston,101.29,False
2026-05-16,San Francisco,100.12,False
2026-05-16,New York,98.19,False
2026-05-16,Dallas/Fort Worth,96.66,False
2026-05-16,Denver,95.26,False
2026-05-16,Orange County,101.47,False
2026-05-16,San Diego,99.84,False
2026-05-16,Inland Empire,98.97,False
2026-05-16,Austin,104.4,False
2026-05-23,"Washington, DC",95.73,False
2026-05-23,Los Angeles,95.13,False
2026-05-23,Atlanta,93.86,False
2026-05-23,Seattle,94.68,False
2026-05-23,Boston,101.51,False
2026-05-23,San Francisco,99.33,False
2026-05-23,New York,98.77,False
2026-05-23,Dallas/Fort Worth,97.06,False
2026-05-23,Denver,96.62,False
2026-05-23,Orange County,101.64,False
2026-05-23,San Diego,99.83,False
2026-05-23,Inland Empire,99.51,False
2026-05-23,Austin,104.16,False
2026-05-30,"Washington, DC",94.22,False
2026-05-30,Los Angeles,92.06,False
2026-05-30,Atlanta,93.81,False
2026-05-30,Seattle,93.87,False
2026-05-30,Boston,100.88,False
2026-05-30,San Francisco,99.75,False
2026-05-30,New York,98.95,False
2026-05-30,Dallas/Fort Worth,96.52,False
2026-05-30,Denver,95.18,False
2026-05-30,Orange County,101.64,False
2026-05-30,San Diego,99.45,False
2026-05-30,Inland Empire,100.19,False
2026-05-30,Austin,104.16,False
2026-06-06,"Washington, DC",93.93,False
2026-06-06,Los Angeles,89.99,False
2026-06-06,Atlanta,94.19,False
2026-06-06,Seattle,93.53,False
2026-06-06,Boston,100.23,False
2026-06-06,San Francisco,100.01,False
2026-06-06,New York,98.2,False
2026-06-06,Dallas/Fort Worth,96.67,False
2026-06-06,Denver,93.85,False
2026-06-06,Orange County,101.57,False
2026-06-06,San Diego,98.79,False
2026-06-06,Inland Empire,98.19,False
2026-06-06,Austin,99.99,False
2026-06-13,"Washington, DC",92.83,False
2026-06-13,Los Angeles,88.76,False
2026-06-13,Atlanta,93.51,False
2026-06-13,Seattle,92.36,False
2026-06-13,Boston,99.52,False
2026-06-13,San Francisco,99.73,False
2026-06-13,New York,97.89,False
2026-06-13,Dallas/Fort Worth,97.12,False
2026-06-13,Denver,92.38,False
2026-06-13,Orange County,100.92,False
2026-06-13,San Diego,98.32,False
2026-06-13,Inland Empire,97.68,False
2026-06-13,Austin,100.63,False
2026-06-20,"Washington, DC",92.64,False
2026-06-20,Los Angeles,88.49,False
2026-06-20,Atlanta,94.21,False
2026-06-20,Seattle,93.21,False
2026-06-20,Boston,99.74,False
2026-06-20,San Francisco,99.88,False
2026-06-20,New York,97.55,False
2026-06-20,Dallas/Fort Worth,98.81,False
2026-06-20,Denver,92.93,False
2026-06-20,Orange County,100.66,False
2026-06-20,San Diego,97.74,False
