date,series,value,interpolated
2026-03-28,Seattle,100.0,False
2026-03-28,Los Angeles,100.0,False
2026-03-28,San Jose,100.0,False
2026-03-28,San Francisco-East Bay,100.0,False
2026-03-28,Orange County,100.0,False
2026-03-28,San Diego,100.0,False
2026-03-28,San Francisco,100.0,False
2026-03-28,Santa Barbara,100.0,False
2026-03-28,Salinas/Monterey,100.0,False
2026-03-28,Other,100.0,False
2026-04-04,Seattle,100.11,False
2026-04-04,Los Angeles,99.57,False
2026-04-04,San Jose,99.39,False
2026-04-04,San Francisco-East Bay,99.6,False
2026-04-04,Orange County,99.99,False
2026-04-04,San Diego,99.9,False
2026-04-04,San Francisco,100.53,False
2026-04-04,Santa Barbara,100.51,False
2026-04-04,Salinas/Monterey,100.0,False
2026-04-04,Other,100.5,False
2026-04-11,Seattle,101.04,False
2026-04-11,Los Angeles,98.53,False
2026-04-11,San Jose,100.01,False
2026-04-11,San Francisco-East Bay,100.55,False
2026-04-11,Orange County,101.01,False
2026-04-11,San Diego,100.2,False
2026-04-11,San Francisco,100.66,False
2026-04-11,Santa Barbara,99.77,False
2026-04-11,Salinas/Monterey,102.76,False
2026-04-11,Other,99.34,False
2026-04-18,Seattle,100.75,False
2026-04-18,Los Angeles,97.6,False
2026-04-18,San Jose,100.68,False
2026-04-18,San Francisco-East Bay,101.25,False
2026-04-18,Orange County,100.78,False
2026-04-18,San Diego,100.88,False
2026-04-18,San Francisco,101.32,False
2026-04-18,Santa Barbara,99.81,False
2026-04-18,Salinas/Monterey,102.75,False
2026-04-18,Other,96.65,False
2026-04-25,Seattle,100.11,False
2026-04-25,Los Angeles,97.65,False
2026-04-25,San Jose,100.76,False
2026-04-25,San Francisco-East Bay,101.84,False
2026-04-25,Orange County,100.13,False
2026-04-25,San Diego,100.87,False
2026-04-25,San Francisco,101.07,False
2026-04-25,Santa Barbara,100.22,False
2026-04-25,Denver,100.0,False
2026-04-25,Salinas/Monterey,103.92,False
2026-04-25,Other,95.1,False
2026-05-02,Seattle,100.43,False
2026-05-02,Los Angeles,97.33,False
2026-05-02,San Jose,101.12,False
