date,series,value,interpolated
2026-04-04,Seattle,100.0,False
2026-04-04,Los Angeles,100.0,False
2026-04-04,San Jose,100.0,False
2026-04-04,San Francisco-East Bay,100.0,False
2026-04-04,Orange County,100.0,False
2026-04-04,San Diego,100.0,False
2026-04-04,San Francisco,100.0,False
2026-04-04,Santa Barbara,100.0,False
2026-04-04,Salinas/Monterey,100.0,False
2026-04-04,Other,100.0,False
2026-04-11,Seattle,101.25,False
2026-04-11,Los Angeles,98.69,False
2026-04-11,San Jose,100.67,False
2026-04-11,San Francisco-East Bay,100.9,False
2026-04-11,Orange County,100.69,False
2026-04-11,San Diego,99.84,False
2026-04-11,San Francisco,100.14,False
2026-04-11,Santa Barbara,99.11,False
2026-04-11,Salinas/Monterey,103.06,False
2026-04-11,Other,98.85,False
2026-04-18,Seattle,99.94,False
2026-04-18,Los Angeles,97.55,False
2026-04-18,San Jose,101.4,False
2026-04-18,San Francisco-East Bay,100.75,False
2026-04-18,Orange County,99.63,False
2026-04-18,San Diego,99.77,False
2026-04-18,San Francisco,100.78,False
2026-04-18,Santa Barbara,102.74,False
2026-04-18,Salinas/Monterey,104.8,False
2026-04-18,Other,91.14,False
2026-04-25,Seattle,99.05,False
2026-04-25,Los Angeles,97.03,False
2026-04-25,San Jose,101.35,False
2026-04-25,San Francisco-East Bay,100.97,False
2026-04-25,Orange County,98.45,False
2026-04-25,San Diego,99.41,False
2026-04-25,San Francisco,100.54,False
2026-04-25,Santa Barbara,102.06,False
2026-04-25,Denver,100.0,False
2026-04-25,Salinas/Monterey,106.4,False
2026-04-25,Other,88.45,False
2026-05-02,Seattle,98.98,False
2026-05-02,Los Angeles,96.53,False
2026-05-02,San Jose,101.1,False
2026-05-02,San Francisco-East Bay,100.67,False
2026-05-02,Orange County,98.27,False
2026-05-02,San Diego,97.92,False
2026-05-02,San Francisco,100.29,False
2026-05-02,Santa Barbara,101.41,False
2026-05-02,Denver,104.0,False
2026-05-02,Salinas/Monterey,106.99,False
2026-05-02,Other,89.88,False
2026-05-09,Seattle,99.4,False
2026-05-09,Los Angeles,96.67,False
2026-05-09,San Jose,101.47,False
2026-05-09,San Francisco-East Bay,102.41,False
2026-05-09,Orange County,97.24,False
2026-05-09,San Diego,99.11,False
2026-05-09,San Francisco,100.35,False
2026-05-09,Santa Barbara,102.97,False
2026-05-09,Denver,108.745,True
2026-05-09,Salinas/Monterey,122.57,False
2026-05-09,Other,87.47,False
2026-05-16,Seattle,99.57,False
2026-05-16,Los Angeles,96.07,False
2026-05-16,San Jose,103.33,False
2026-05-16,San Francisco-East Bay,103.59,False
2026-05-16,Orange County,96.61,False
2026-05-16,San Diego,98.71,False
2026-05-16,San Francisco,100.62,False
2026-05-16,Santa Barbara,103.96,False
2026-05-16,Denver,113.49,False
2026-05-16,Salinas/Monterey,127.09,False
2026-05-16,Other,82.22,False
2026-05-23,Seattle,99.66,False
2026-05-23,Los Angeles,94.88,False
2026-05-23,San Jose,105.1,False
2026-05-23,San Francisco-East Bay,104.99,False
2026-05-23,Orange County,96.48,False
2026-05-23,San Diego,98.13,False
2026-05-23,San Francisco,100.96,False
2026-05-23,Santa Barbara,102.29,False
2026-05-23,Denver,113.34,False
2026-05-23,Salinas/Monterey,126.82,False
2026-05-23,Other,94.38,False
