date,series,value,interpolated
2026-04-04,Tampa,100.0,False
2026-04-04,Atlanta,100.0,False
2026-04-04,Phoenix,100.0,False
2026-04-04,Charlotte,100.0,False
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Orlando,100.0,False
2026-04-04,Miami/Fort Lauderdale,100.0,False
2026-04-04,Denver,100.0,False
2026-04-04,Los Angeles,100.0,False
2026-04-04,Las Vegas,100.0,False
2026-04-04,Seattle,100.0,False
2026-04-04,Houston,100.0,False
2026-04-04,Jacksonville,100.0,False
2026-04-04,Nashville,100.0,False
2026-04-04,Minneapolis,100.0,False
2026-04-04,Chicago,100.0,False
2026-04-04,San Antonio,100.0,False
2026-04-04,Salt Lake City,100.0,False
2026-04-04,Austin,100.0,False
2026-04-11,Tampa,99.49,False
2026-04-11,Atlanta,101.44,False
2026-04-11,Phoenix,100.34,False
2026-04-11,Charlotte,101.75,False
2026-04-11,Dallas/Fort Worth,101.91,False
2026-04-11,Orlando,100.28,False
2026-04-11,Miami/Fort Lauderdale,101.68,False
2026-04-11,Denver,99.02,False
2026-04-11,Los Angeles,103.11,False
2026-04-11,Las Vegas,100.2,False
2026-04-11,Seattle,101.64,False
2026-04-11,Houston,98.62,False
2026-04-11,Jacksonville,99.44,False
2026-04-11,Nashville,99.19,False
2026-04-11,Minneapolis,97.62,False
2026-04-11,Chicago,98.32,False
2026-04-11,San Antonio,101.4,False
2026-04-11,Salt Lake City,100.16,False
2026-04-11,Austin,98.28,False
2026-04-18,Tampa,99.06,False
2026-04-18,Atlanta,100.44,False
2026-04-18,Phoenix,95.5,False
2026-04-18,Charlotte,101.17,False
2026-04-18,Dallas/Fort Worth,102.23,False
2026-04-18,Orlando,101.42,False
2026-04-18,Miami/Fort Lauderdale,102.75,False
2026-04-18,Denver,98.62,False
2026-04-18,Los Angeles,105.83,False
2026-04-18,Las Vegas,98.45,False
2026-04-18,Seattle,99.31,False
2026-04-18,Houston,99.39,False
2026-04-18,Jacksonville,97.73,False
2026-04-18,Nashville,93.97,False
2026-04-18,Minneapolis,97.08,False
2026-04-18,Chicago,106.07,False
2026-04-18,San Antonio,101.02,False
2026-04-18,Salt Lake City,101.85,False
2026-04-18,Austin,98.28,False
2026-04-25,Tampa,99.79,False
2026-04-25,Atlanta,99.47,False
2026-04-25,Phoenix,95.13,False
2026-04-25,Charlotte,104.89,False
2026-04-25,Dallas/Fort Worth,102.67,False
2026-04-25,Orlando,100.37,False
2026-04-25,Miami/Fort Lauderdale,102.99,False
2026-04-25,Denver,98.03,False
2026-04-25,Los Angeles,102.51,False
2026-04-25,Las Vegas,98.59,False
2026-04-25,Seattle,99.03,False
2026-04-25,Houston,99.58,False
2026-04-25,Jacksonville,93.95,False
2026-04-25,Nashville,95.4,False
2026-04-25,Minneapolis,95.22,False
2026-04-25,Chicago,104.62,False
2026-04-25,San Antonio,105.4,False
2026-04-25,Salt Lake City,103.04,False
2026-04-25,Austin,77.82,False
2026-05-02,Tampa,99.4,False
2026-05-02,Atlanta,101.55,False
2026-05-02,Phoenix,96.42,False
2026-05-02,Charlotte,104.18,False
2026-05-02,Dallas/Fort Worth,102.47,False
2026-05-02,Orlando,101.0,False
2026-05-02,Miami/Fort Lauderdale,104.56,False
2026-05-02,Denver,96.85,False
2026-05-02,Los Angeles,105.75,False
2026-05-02,Las Vegas,97.49,False
2026-05-02,Seattle,95.92,False
2026-05-02,Houston,100.22,False
2026-05-02,Jacksonville,93.64,False
2026-05-02,Nashville,99.46,False
2026-05-02,Minneapolis,97.28,False
2026-05-02,Chicago,98.43,False
2026-05-02,San Antonio,105.56,False
2026-05-02,Salt Lake City,103.8,False
2026-05-02,Austin,77.92,False
2026-05-09,Tampa,100.06,False
2026-05-09,Atlanta,101.21,False
2026-05-09,Phoenix,94.61,False
2026-05-09,Charlotte,102.63,False
2026-05-09,Dallas/Fort Worth,101.72,False
2026-05-09,Orlando,100.3,False
2026-05-09,Miami/Fort Lauderdale,101.62,False
2026-05-09,Denver,93.57,False
2026-05-09,Los Angeles,104.44,False
2026-05-09,Las Vegas,98.84,False
2026-05-09,Seattle,98.73,False
2026-05-09,Houston,97.25,False
2026-05-09,Jacksonville,93.24,False
2026-05-09,Nashville,98.75,False
2026-05-09,Minneapolis,97.38,False
2026-05-09,Chicago,95.69,False
2026-05-09,San Antonio,105.45,False
2026-05-09,Salt Lake City,103.85,False
2026-05-09,Austin,77.92,False
2026-05-16,Tampa,101.55,False
2026-05-16,Atlanta,100.61,False
2026-05-16,Phoenix,92.48,False
2026-05-16,Charlotte,104.13,False
2026-05-16,Dallas/Fort Worth,100.82,False
2026-05-16,Orlando,101.05,False
2026-05-16,Miami/Fort Lauderdale,100.49,False
2026-05-16,Denver,92.18,False
2026-05-16,Los Angeles,107.65,False
2026-05-16,Las Vegas,97.21,False
2026-05-16,Seattle,102.38,False
2026-05-16,Houston,101.2,False
2026-05-16,Jacksonville,93.74,False
2026-05-16,Nashville,98.63,False
2026-05-16,Minneapolis,105.52,False
2026-05-16,Chicago,93.23,False
2026-05-16,San Antonio,103.9,False
