date,series,value,interpolated
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Atlanta,100.0,False
2026-04-04,Austin,100.0,False
2026-04-04,Charlotte,100.0,False
2026-04-04,Orlando,100.0,False
2026-04-04,Raleigh/Durham,100.0,False
2026-04-04,Tampa,100.0,False
2026-04-04,Nashville,100.0,False
2026-04-04,Houston,100.0,False
2026-04-04,Jacksonville,100.0,False
2026-04-04,"Washington, DC",100.0,False
2026-04-04,Phoenix,100.0,False
2026-04-04,Charleston,100.0,False
2026-04-04,Memphis,100.0,False
2026-04-04,Greenville,100.0,False
2026-04-04,Savannah,100.0,False
2026-04-04,Denver,100.0,False
2026-04-04,Kansas City,100.0,False
2026-04-04,Huntsville,100.0,False
2026-04-04,Lexington,100.0,False
2026-04-04,Las Vegas,100.0,False
2026-04-04,Birmingham,100.0,False
2026-04-04,Chattanooga,100.0,False
2026-04-04,Hampton Roads,100.0,False
2026-04-04,Gainesville,100.0,False
2026-04-04,Tallahassee,100.0,False
2026-04-04,Miami/Fort Lauderdale,100.0,False
2026-04-04,Gulf Shores,100.0,False
2026-04-04,Louisville,100.0,False
2026-04-04,Panama City Beach,100.0,False
2026-04-11,Dallas/Fort Worth,99.3,False
2026-04-11,Atlanta,100.29,False
2026-04-11,Austin,98.13,False
2026-04-11,Charlotte,99.47,False
2026-04-11,Orlando,101.8,False
2026-04-11,Raleigh/Durham,100.44,False
2026-04-11,Tampa,97.5,False
2026-04-11,Nashville,99.7,False
2026-04-11,Houston,100.75,False
2026-04-11,Jacksonville,100.54,False
2026-04-11,"Washington, DC",102.97,False
2026-04-11,Phoenix,98.96,False
2026-04-11,Charleston,99.88,False
2026-04-11,Memphis,97.74,False
2026-04-11,Greenville,100.09,False
2026-04-11,Savannah,98.37,False
2026-04-11,Denver,99.63,False
2026-04-11,Kansas City,105.1,False
2026-04-11,Huntsville,99.15,False
2026-04-11,Lexington,98.3,False
2026-04-11,Las Vegas,99.3,False
2026-04-11,Birmingham,99.17,False
2026-04-11,Chattanooga,99.44,False
2026-04-11,Hampton Roads,101.0,False
2026-04-11,Gainesville,102.34,False
2026-04-11,Tallahassee,100.83,False
2026-04-11,Miami/Fort Lauderdale,97.43,False
2026-04-11,Gulf Shores,104.53,False
2026-04-11,Louisville,99.04,False
2026-04-11,Panama City Beach,94.91,False
2026-04-18,Dallas/Fort Worth,99.13,False
2026-04-18,Atlanta,100.16,False
2026-04-18,Austin,96.52,False
2026-04-18,Charlotte,99.77,False
2026-04-18,Orlando,101.75,False
2026-04-18,Raleigh/Durham,100.2,False
2026-04-18,Tampa,97.65,False
