date,series,value,interpolated
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Atlanta,100.0,False
2026-04-04,Austin,100.0,False
2026-04-04,Charlotte,100.0,False
2026-04-04,Orlando,100.0,False
2026-04-04,Raleigh/Durham,100.0,False
2026-04-04,Tampa,100.0,False
2026-04-04,Nashville,100.0,False
2026-04-04,Houston,100.0,False
2026-04-04,Jacksonville,100.0,False
2026-04-04,"Washington, DC",100.0,False
2026-04-04,Phoenix,100.0,False
2026-04-04,Charleston,100.0,False
2026-04-04,Memphis,100.0,False
2026-04-04,Greenville,100.0,False
2026-04-04,Savannah,100.0,False
2026-04-04,Denver,100.0,False
2026-04-04,Kansas City,100.0,False
2026-04-04,Huntsville,100.0,False
2026-04-04,Lexington,100.0,False
2026-04-04,Las Vegas,100.0,False
2026-04-04,Birmingham,100.0,False
2026-04-04,Chattanooga,100.0,False
2026-04-04,Hampton Roads,100.0,False
2026-04-04,Gainesville,100.0,False
2026-04-04,Tallahassee,100.0,False
2026-04-04,Miami/Fort Lauderdale,100.0,False
2026-04-04,Gulf Shores,100.0,False
2026-04-04,Louisville,100.0,False
2026-04-04,Panama City Beach,100.0,False
2026-04-11,Dallas/Fort Worth,98.18,False
2026-04-11,Atlanta,99.77,False
2026-04-11,Austin,99.44,False
2026-04-11,Charlotte,100.36,False
2026-04-11,Orlando,103.08,False
2026-04-11,Raleigh/Durham,99.56,False
2026-04-11,Tampa,97.72,False
2026-04-11,Nashville,94.63,False
2026-04-11,Houston,102.45,False
2026-04-11,Jacksonville,103.56,False
2026-04-11,"Washington, DC",105.29,False
2026-04-11,Phoenix,98.33,False
2026-04-11,Charleston,99.46,False
2026-04-11,Memphis,95.88,False
2026-04-11,Greenville,101.08,False
2026-04-11,Savannah,98.5,False
2026-04-11,Denver,97.79,False
2026-04-11,Kansas City,101.22,False
2026-04-11,Huntsville,102.54,False
2026-04-11,Lexington,97.01,False
2026-04-11,Las Vegas,99.3,False
2026-04-11,Birmingham,99.2,False
2026-04-11,Chattanooga,99.18,False
2026-04-11,Hampton Roads,93.08,False
2026-04-11,Gainesville,99.26,False
2026-04-11,Tallahassee,100.48,False
2026-04-11,Miami/Fort Lauderdale,100.45,False
2026-04-11,Gulf Shores,114.65,False
2026-04-11,Louisville,99.04,False
2026-04-11,Panama City Beach,102.22,False
2026-04-18,Dallas/Fort Worth,97.35,False
2026-04-18,Atlanta,99.29,False
2026-04-18,Austin,99.61,False
2026-04-18,Charlotte,100.98,False
2026-04-18,Orlando,101.31,False
2026-04-18,Raleigh/Durham,100.25,False
2026-04-18,Tampa,98.28,False
