date,series,value,interpolated
2026-03-28,"Washington, DC",100.0,False
2026-03-28,Dallas/Fort Worth,100.0,False
2026-03-28,Inland Empire,100.0,False
2026-03-28,Boston,100.0,False
2026-03-28,Orange County,100.0,False
2026-03-28,San Francisco-East Bay,100.0,False
2026-03-28,Tampa,100.0,False
2026-03-28,Orlando,100.0,False
2026-03-28,New York,100.0,False
2026-03-28,Seattle,100.0,False
2026-03-28,Philadelphia,100.0,False
2026-03-28,Austin,100.0,False
2026-03-28,Baltimore,100.0,False
2026-03-28,Nashville,100.0,False
2026-03-28,Salinas/Monterey,100.0,False
2026-03-28,Los Angeles,100.0,False
2026-03-28,Portland,100.0,False
2026-03-28,Miami/Fort Lauderdale,100.0,False
2026-03-28,San Diego,100.0,False
2026-03-28,Denver,100.0,False
2026-04-04,"Washington, DC",99.67,False
2026-04-04,Dallas/Fort Worth,98.91,False
2026-04-04,Inland Empire,100.32,False
2026-04-04,Boston,99.73,False
2026-04-04,Orange County,99.64,False
2026-04-04,San Francisco-East Bay,99.78,False
2026-04-04,Tampa,97.25,False
2026-04-04,Orlando,98.57,False
2026-04-04,New York,99.52,False
2026-04-04,Seattle,99.52,False
2026-04-04,Philadelphia,99.5,False
2026-04-04,Austin,99.36,False
2026-04-04,Baltimore,99.75,False
2026-04-04,Nashville,99.89,False
2026-04-04,Salinas/Monterey,97.54,False
2026-04-04,Los Angeles,98.76,False
2026-04-04,Portland,98.28,False
2026-04-04,Miami/Fort Lauderdale,97.81,False
2026-04-04,San Diego,97.86,False
2026-04-04,Denver,101.9,False
2026-04-11,"Washington, DC",99.45,False
2026-04-11,Dallas/Fort Worth,97.67,False
2026-04-11,Inland Empire,99.97,False
2026-04-11,Boston,99.32,False
2026-04-11,Orange County,99.85,False
2026-04-11,San Francisco-East Bay,100.28,False
2026-04-11,Tampa,95.57,False
2026-04-11,Orlando,97.58,False
2026-04-11,New York,99.22,False
2026-04-11,Seattle,98.85,False
2026-04-11,Philadelphia,99.04,False
2026-04-11,Austin,98.56,False
2026-04-11,Baltimore,99.9,False
2026-04-11,Nashville,99.25,False
2026-04-11,Salinas/Monterey,96.38,False
2026-04-11,Los Angeles,97.92,False
2026-04-11,Portland,96.45,False
2026-04-11,Miami/Fort Lauderdale,95.51,False
2026-04-11,San Diego,94.95,False
2026-04-11,Denver,101.43,False
2026-04-18,"Washington, DC",98.38,False
2026-04-18,Dallas/Fort Worth,96.74,False
2026-04-18,Inland Empire,100.48,False
2026-04-18,Boston,99.09,False
2026-04-18,Orange County,99.05,False
2026-04-18,San Francisco-East Bay,100.5,False
2026-04-18,Tampa,94.92,False
2026-04-18,Orlando,96.77,False
2026-04-18,New York,98.25,False
2026-04-18,Seattle,100.27,False
2026-04-18,Philadelphia,100.0,False
2026-04-18,Austin,97.88,False
2026-04-18,Baltimore,99.39,False
2026-04-18,Nashville,98.36,False
2026-04-18,Salinas/Monterey,95.4,False
2026-04-18,Los Angeles,97.86,False
2026-04-18,Portland,95.45,False
2026-04-18,Miami/Fort Lauderdale,96.2,False
2026-04-18,San Diego,93.27,False
2026-04-18,Denver,99.26,False
2026-04-25,"Washington, DC",98.24,False
2026-04-25,Dallas/Fort Worth,96.52,False
2026-04-25,Inland Empire,98.83,False
2026-04-25,Boston,99.76,False
2026-04-25,Orange County,97.88,False
2026-04-25,San Francisco-East Bay,99.96,False
2026-04-25,Tampa,94.26,False
2026-04-25,Orlando,96.17,False
2026-04-25,New York,98.22,False
2026-04-25,Seattle,98.81,False
