date,series,value,interpolated
2026-04-04,"Washington, DC",100.0,False
2026-04-04,Dallas/Fort Worth,100.0,False
2026-04-04,Inland Empire,100.0,False
2026-04-04,Boston,100.0,False
2026-04-04,Orange County,100.0,False
2026-04-04,San Francisco-East Bay,100.0,False
2026-04-04,Tampa,100.0,False
2026-04-04,Orlando,100.0,False
2026-04-04,New York,100.0,False
2026-04-04,Seattle,100.0,False
2026-04-04,Philadelphia,100.0,False
2026-04-04,Austin,100.0,False
2026-04-04,Baltimore,100.0,False
2026-04-04,Nashville,100.0,False
2026-04-04,Salinas/Monterey,100.0,False
2026-04-04,Los Angeles,100.0,False
2026-04-04,Portland,100.0,False
2026-04-04,Miami/Fort Lauderdale,100.0,False
2026-04-04,San Diego,100.0,False
2026-04-04,Denver,100.0,False
2026-04-11,"Washington, DC",99.93,False
2026-04-11,Dallas/Fort Worth,98.61,False
2026-04-11,Inland Empire,99.65,False
2026-04-11,Boston,98.61,False
2026-04-11,Orange County,99.32,False
2026-04-11,San Francisco-East Bay,100.05,False
2026-04-11,Tampa,96.99,False
2026-04-11,Orlando,98.51,False
2026-04-11,New York,99.1,False
2026-04-11,Seattle,99.3,False
2026-04-11,Philadelphia,99.26,False
2026-04-11,Austin,99.55,False
2026-04-11,Baltimore,98.84,False
2026-04-11,Nashville,99.3,False
2026-04-11,Salinas/Monterey,98.81,False
2026-04-11,Los Angeles,105.42,False
2026-04-11,Portland,95.86,False
2026-04-11,Miami/Fort Lauderdale,101.71,False
2026-04-11,San Diego,97.04,False
2026-04-11,Denver,99.52,False
2026-04-18,"Washington, DC",98.72,False
2026-04-18,Dallas/Fort Worth,98.95,False
2026-04-18,Inland Empire,100.81,False
2026-04-18,Boston,96.51,False
2026-04-18,Orange County,98.32,False
2026-04-18,San Francisco-East Bay,102.67,False
2026-04-18,Tampa,97.71,False
2026-04-18,Orlando,98.0,False
2026-04-18,New York,98.12,False
2026-04-18,Seattle,100.89,False
2026-04-18,Philadelphia,103.32,False
2026-04-18,Austin,102.72,False
2026-04-18,Baltimore,100.54,False
2026-04-18,Nashville,99.85,False
2026-04-18,Salinas/Monterey,97.81,False
2026-04-18,Los Angeles,102.54,False
2026-04-18,Portland,94.0,False
2026-04-18,Miami/Fort Lauderdale,98.3,False
2026-04-18,San Diego,90.84,False
2026-04-18,Denver,94.33,False
2026-04-25,"Washington, DC",98.35,False
2026-04-25,Dallas/Fort Worth,98.83,False
2026-04-25,Inland Empire,99.15,False
2026-04-25,Boston,101.13,False
2026-04-25,Orange County,96.88,False
2026-04-25,San Francisco-East Bay,102.11,False
2026-04-25,Tampa,98.24,False
2026-04-25,Orlando,98.29,False
2026-04-25,New York,99.09,False
2026-04-25,Seattle,100.63,False
2026-04-25,Philadelphia,101.67,False
2026-04-25,Austin,100.92,False
2026-04-25,Baltimore,99.01,False
2026-04-25,Nashville,98.3,False
2026-04-25,Salinas/Monterey,97.7,False
2026-04-25,Los Angeles,102.14,False
2026-04-25,Portland,96.78,False
2026-04-25,Miami/Fort Lauderdale,97.97,False
2026-04-25,San Diego,89.8,False
2026-04-25,Denver,94.21,False
2026-05-02,"Washington, DC",100.71,False
2026-05-02,Dallas/Fort Worth,98.07,False
2026-05-02,Inland Empire,98.36,False
2026-05-02,Boston,100.44,False
2026-05-02,Orange County,97.75,False
2026-05-02,San Francisco-East Bay,102.0,False
2026-05-02,Tampa,98.34,False
2026-05-02,Orlando,95.8,False
2026-05-02,New York,98.26,False
2026-05-02,Seattle,101.37,False
2026-05-02,Philadelphia,103.45,False
