date,series,value,interpolated
2026-03-28,AVB,2624.4129,False
2026-03-28,CPT,1828.1978,False
2026-04-04,AMH,2391.847,False
2026-04-04,AVB,2652.5687,False
2026-04-04,CPT,1822.7125,False
2026-04-04,EQR,2627.6072,False
2026-04-04,ESS,2765.992,False
2026-04-04,INVH,1931.4425,False
2026-04-04,MAA,1585.4648,False
2026-04-04,UDR,2326.9705,False
2026-04-11,AMH,2386.6086,False
2026-04-11,AVB,2661.9646,False
2026-04-11,CPT,1820.6177,False
2026-04-11,EQR,2616.9358,False
2026-04-11,ESS,2774.3017,False
2026-04-11,INVH,1940.426,False
2026-04-11,MAA,1577.823,False
2026-04-11,UDR,2332.7417,False
2026-04-18,AMH,2381.3652,False
2026-04-18,AVB,2648.1744,False
2026-04-18,CPT,1837.2536,False
2026-04-18,EQR,2621.3634,False
2026-04-18,ESS,2768.7505,False
2026-04-18,INVH,1926.7445,False
2026-04-18,MAA,1582.613,False
2026-04-18,UDR,2339.0645,False
2026-04-25,AMH,2393.0825,False
2026-04-25,AVB,2672.7317,False
2026-04-25,CPT,1843.2392,False
2026-04-25,EQR,2610.3317,False
2026-04-25,ESS,2763.7271,False
2026-04-25,INVH,1933.667,False
2026-04-25,MAA,1597.9328,False
2026-04-25,UDR,2362.8029,False
2026-05-02,AMH,2399.5693,False
2026-05-02,AVB,2679.6548,False
2026-05-02,CPT,1860.4644,False
2026-05-02,EQR,2605.8401,False
2026-05-02,ESS,2741.2398,False
2026-05-02,INVH,1936.3702,False
2026-05-02,MAA,1598.1362,False
2026-05-02,UDR,2365.761,False
2026-05-09,AMH,2406.631,False
2026-05-09,AVB,2686.087,False
2026-05-09,CPT,1847.6692,False
2026-05-09,EQR,2629.4816,False
2026-05-09,ESS,2742.6208,False
2026-05-09,INVH,1929.8463,False
2026-05-09,MAA,1604.6383,False
2026-05-09,UDR,2365.0303,False
2026-05-16,AMH,2408.2241,False
2026-05-16,AVB,2693.0063,False
2026-05-16,CPT,1862.8758,False
2026-05-16,EQR,2644.5217,False
2026-05-16,ESS,2775.4477,False
2026-05-16,INVH,1939.5342,False
2026-05-16,MAA,1608.2095,False
2026-05-16,UDR,2381.0654,False
2026-05-23,AMH,2405.4453,False
2026-05-23,AVB,2679.6863,False
2026-05-23,CPT,1860.2286,False
2026-05-23,EQR,2647.1596,False
2026-05-23,ESS,2818.5196,False
2026-05-23,INVH,1954.5846,False
2026-05-23,MAA,1595.4858,False
2026-05-23,UDR,2390.9085,False
2026-05-30,AMH,2406.4989,False
2026-05-30,AVB,2704.0122,False
2026-05-30,CPT,1870.2953,False
2026-05-30,EQR,2647.8417,False
2026-05-30,ESS,2827.8279,False
2026-05-30,INVH,1950.5275,True
2026-05-30,MAA,1604.2351,False
2026-05-30,UDR,2422.5924,False
2026-06-06,AMH,2404.5472,False
2026-06-06,AVB,2684.9408,False
2026-06-06,CPT,1863.3651,False
2026-06-06,EQR,2621.9064,False
2026-06-06,ESS,2807.4805,False
2026-06-06,INVH,1946.4705,False
2026-06-06,MAA,1604.7319,False
2026-06-06,UDR,2423.5196,False
2026-06-13,AMH,2406.6293,False
2026-06-13,AVB,2724.4571,False
2026-06-13,CPT,1862.6342,False
2026-06-13,EQR,2665.4786,False
2026-06-13,ESS,2836.2795,False
2026-06-13,INVH,1963.937,False
2026-06-13,MAA,1602.7763,False
2026-06-13,UDR,2426.7718,False
2026-06-20,AMH,2403.9799,True
2026-06-20,AVB,2726.8882,False
2026-06-20,CPT,1862.4486,False
2026-06-20,EQR,2693.1863,False
2026-06-20,ESS,2841.9674,False
2026-06-20,INVH,1958.0149,True
2026-06-20,MAA,1602.1842,False
2026-06-20,UDR,2442.8654,False
2026-06-27,AMH,2401.3305,True
2026-06-27,AVB,2700.523,True
2026-06-27,CPT,1866.9011,True
2026-06-27,EQR,2684.8045,True
2026-06-27,ESS,2833.9427,True
2026-06-27,INVH,1952.0927,True
2026-06-27,MAA,1600.5354,True
2026-06-27,UDR,2432.668,True
2026-07-04,AMH,2398.6812,True
2026-07-04,AVB,2674.1578,True
2026-07-04,CPT,1871.3536,True
2026-07-04,EQR,2676.4226,True
2026-07-04,ESS,2825.9181,True
2026-07-04,INVH,1946.1706,True
2026-07-04,MAA,1598.8866,True
2026-07-04,UDR,2422.4706,True
2026-07-11,AMH,2396.0318,True
2026-07-11,AVB,2647.7926,True
2026-07-11,CPT,1875.8061,True
2026-07-11,EQR,2668.0408,True
2026-07-11,ESS,2817.8935,True
2026-07-11,INVH,1940.2485,True
2026-07-11,MAA,1597.2379,True
2026-07-11,UDR,2412.2733,True
2026-07-18,AMH,2393.3824,False
2026-07-18,AVB,2621.4274,False
