scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-04-05,AMH,"Albuquerque, NM","2281 Solara Loop NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12393,3,2.5,2366,2340.0,2026-02-12,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Rio Rancho,35.278335,-106.683254,,,NM12393
2026-04-05,AMH,"Albuquerque, NM","6719 Piedra Quemada Road NW, Albuquerque, NM, 87114","Albuquerque, NM",AMH-NM12163,3,2.0,1700,2250.0,2026-04-03,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Albuquerque,35.190067,-106.729965,,,NM12163
2026-04-05,AMH,"Albuquerque, NM","3337 Cochiti Street NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12177,4,2.5,2650,2455.0,2025-08-11,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Rio Rancho,35.313438,-106.708481,,,NM12177
2026-04-05,AMH,"Albuquerque, NM","2044 Coba Road SE, Rio Rancho, NM, 87124","Albuquerque, NM",AMH-NM12387,4,3.0,2659,2520.0,2026-02-17,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Rio Rancho,35.237948,-106.695256,,,NM12387
2026-04-05,AMH,"Albuquerque, NM","6201 Capriccio Road NW, Albuquerque, NM, 87114","Albuquerque, NM",AMH-NM12238,3,2.0,1769,2265.0,2026-06-01,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Albuquerque,35.209043,-106.698958,,,NM12238
2026-04-05,AMH,"Albuquerque, NM","4910 Dolores Hidalgo Drive SE, Rio Rancho, NM, 87124","Albuquerque, NM",AMH-NM12043,3,2.0,1506,2245.0,2026-04-10,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Rio Rancho,35.24181,-106.642829,,,NM12043
2026-04-05,AMH,"Albuquerque, NM","6920 Brindisi Place NW, Albuquerque, NM, 87114","Albuquerque, NM",AMH-NM12232,3,2.5,1500,2285.0,2026-05-18,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Albuquerque,35.201493,-106.733086,,,NM12232
2026-04-05,AMH,"Albuquerque, NM","8419 Casa Morena Court NW, Albuquerque, NM, 87120","Albuquerque, NM",AMH-NM12229,3,2.0,1225,2010.0,2026-05-16,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Albuquerque,35.098862,-106.739494,,,NM12229
2026-04-05,AMH,"Albuquerque, NM","4981 Butte Place, Albuquerque, NM, 87120","Albuquerque, NM",AMH-NM12182,3,2.0,1255,2005.0,2026-05-10,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Albuquerque,35.141853,-106.717704,,,NM12182
2026-04-05,AMH,"Albuquerque, NM","709 Loma Pinon Loop, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12120,3,3.0,1893,2215.0,2026-04-25,12 months,True,soft,"Special security deposit offer: Pay just 50% of your base rent as your security deposit (taxes and fees not included), valid for new applicants who sign a 12-month lease by April 30, 2026",,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-05,2026-04-05,NM,Rio Rancho,35.284099,-106.717497,,,NM12120
