scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-07-19,AMH,"Albuquerque, NM","3456 Morgan Meadows Drive NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12141,3,2.0,1214,1895.0,2026-06-20,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-05-09,2026-07-19,NM,Rio Rancho,35.315697,-106.727097,,,NM12141
2026-07-19,AMH,"Albuquerque, NM","3812 Havasu Falls Street NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12044,3,2.0,1237,1990.0,2026-07-09,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-05-24,2026-07-19,NM,Rio Rancho,35.320649,-106.713182,,,NM12044
2026-07-19,AMH,"Albuquerque, NM","7623 Banyon Avenue NW, Albuquerque, NM, 87114","Albuquerque, NM",AMH-NM12124,4,2.0,1600,2270.0,2026-06-11,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-26,2026-07-19,NM,Albuquerque,35.195026,-106.743462,,,NM12124
2026-07-19,AMH,"Albuquerque, NM","5205 Caprock Drive NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12368,4,3.0,1872,2340.0,2026-06-16,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-06-14,2026-07-19,NM,Rio Rancho,35.347087,-106.603701,,,NM12368
2026-07-19,AMH,"Albuquerque, NM","1740 Sierra Norte Loop NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12407,3,2.0,1694,2320.0,2026-06-16,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-06-09,2026-07-19,NM,Rio Rancho,35.276244,-106.701597,,,NM12407
2026-07-19,AMH,"Albuquerque, NM","1215 San Luis Street, Bernalillo, NM, 87004","Albuquerque, NM",AMH-NM12168,3,2.0,1455,2030.0,2026-07-06,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-05-17,2026-07-19,NM,Bernalillo,35.310399,-106.577933,,,NM12168
2026-07-19,AMH,"Albuquerque, NM","3798 Cattle Drive NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12074,4,2.0,1680,2170.0,2026-05-29,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-05-03,2026-07-19,NM,Rio Rancho,35.287669,-106.660742,,,NM12074
2026-07-19,AMH,"Albuquerque, NM","5726 Quay Drive NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12017,3,2.0,1998,2270.0,2026-06-11,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-04-13,2026-07-19,NM,Rio Rancho,35.355219,-106.616769,,,NM12017
2026-07-19,AMH,"Albuquerque, NM","7044 Glenn Hills Drive, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12181,3,2.0,1200,2095.0,2026-09-14,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-07-19,2026-07-19,NM,Rio Rancho,35.337281,-106.59201,,,NM12181
2026-07-19,AMH,"Albuquerque, NM","6301 Vaughn Drive NE, Rio Rancho, NM, 87144","Albuquerque, NM",AMH-NM12169,3,2.0,1458,2145.0,2026-07-25,12 months,False,,,,,,,,https://www.amh.com/query?criteria=Albuquerque%2C+NM,2026-07-19,2026-07-19,NM,Rio Rancho,35.350728,-106.606841,,,NM12169
