scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-417sqft-AVB-CA802-001-230,0,1.0,417,2025.0,2026-06-24,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,1735.71,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-03,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-594sqft-AVB-CA802-001-253,0,1.0,594,2280.0,2026-06-24,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,1954.29,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-04-12,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-416sqft-AVB-CA802-001-236,0,1.0,416,2115.0,2026-07-09,13,True,hard,Advertised rates include 2 months off!,months_free,2.0,15.38,15.38,1789.62,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-04-12,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-417sqft-AVB-CA802-001-237,0,1.0,417,2115.0,2026-07-12,13,True,hard,Advertised rates include 2 months off!,months_free,2.0,15.38,15.38,1789.62,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-13,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-417sqft-AVB-CA802-001-221,0,1.0,417,2165.0,2026-07-11,13,True,hard,Advertised rates include 2 months off!,months_free,2.0,15.38,15.38,1831.92,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-17,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-0br-524sqft-AVB-CA802-001-454,0,1.0,524,2310.0,2026-06-30,13,True,hard,Advertised rates include 2 months off!,months_free,2.0,15.38,15.38,1954.62,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-04-19,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,4,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-627sqft-AVB-CA802-001-330,1,1.0,627,2815.0,2026-06-24,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2412.86,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-16,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-625sqft-AVB-CA802-001-381,1,1.0,625,2900.0,2026-06-24,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2485.71,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-09,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-691sqft-AVB-CA802-001-284,1,1.0,691,2660.0,2026-06-30,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2305.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-23,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-551sqft-AVB-CA802-001-635,1,1.0,551,2670.0,2026-07-19,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2314.0,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-03,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-624sqft-AVB-CA802-001-672,1,1.0,624,2695.0,2026-08-06,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2335.67,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-13,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-627sqft-AVB-CA802-001-370,1,1.0,627,2745.0,2026-08-09,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2379.0,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-22,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-612sqft-AVB-CA802-001-521,1,1.0,612,2755.0,2026-06-23,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2361.43,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-04-12,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-646sqft-AVB-CA802-001-509,1,1.0,646,2770.0,2026-07-13,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2400.67,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-13,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-633sqft-AVB-CA802-001-623,1,1.0,633,2795.0,2026-08-07,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2422.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-08,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-619sqft-AVB-CA802-001-371,1,1.0,619,2880.0,2026-08-21,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2468.57,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-08,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-2br-1019sqft-AVB-CA802-001-411,2,2.0,1019,3495.0,2026-06-24,12,True,hard,Advertised rates include 2 months off!,months_free,2.0,16.67,16.67,2912.5,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-03,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,4,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-2br-1022sqft-AVB-CA802-001-538,2,2.0,1022,3580.0,2026-06-24,12,True,hard,Advertised rates include 2 months off!,months_free,2.0,16.67,16.67,2983.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-04-26,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-06-22,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-2br-1143sqft-AVB-CA802-001-364,2,2.0,1143,3595.0,2026-06-24,12,True,hard,Advertised rates include 2 months off!,months_free,2.0,16.67,16.67,2995.83,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-05-16,2026-06-22,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
