scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-627sqft-AVB-CA802-001-530,1,1.0,627,2475.0,2026-08-26,13,True,hard,Advertised rates include 2 months off!,months_free,2.0,15.38,15.38,2094.23,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-07-19,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-623sqft-AVB-CA802-001-214,1,1.0,623,2515.0,2026-08-20,13,True,hard,Advertised rates include 2 months off!,months_free,2.0,15.38,15.38,2128.08,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-07-19,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-627sqft-AVB-CA802-001-370,1,1.0,627,2415.0,2026-08-18,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2093.0,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-22,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,3,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-699sqft-AVB-CA802-001-682,1,1.0,699,2420.0,2026-08-31,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2074.29,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-08-02,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-629sqft-AVB-CA802-001-242,1,1.0,629,2420.0,2026-09-10,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2074.29,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-08-08,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-684sqft-AVB-CA802-001-586,1,1.0,684,2440.0,2026-08-27,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2114.67,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-04-12,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,5,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-658sqft-AVB-CA802-001-420,1,1.0,658,2445.0,2026-09-22,14,True,hard,Advertised rates include 2 months off!,months_free,2.0,14.29,14.29,2095.71,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-07-19,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,4,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-631sqft-AVB-CA802-001-294,1,1.0,631,2450.0,2026-08-29,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2123.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-08-15,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,2,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-626sqft-AVB-CA802-001-629,1,1.0,626,2450.0,2026-10-08,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2123.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-08-08,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
2026-08-15,AVB,AVA Arts District,"1540 E. Industrial Street, Los Angeles, CA, 90021",Los Angeles,AVB-ava-arts-district-1br-633sqft-AVB-CA802-001-623,1,1.0,633,2465.0,2026-08-16,15,True,hard,Advertised rates include 2 months off!,months_free,2.0,13.33,13.33,2136.33,https://www.avaloncommunities.com/california/los-angeles-apartments/ava-arts-district,2026-06-08,2026-08-15,CA,Los Angeles,34.0357752,-118.238244,,6,AVB-CA802
