scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-1511,1,1,662,1069.0,2026-06-24,15,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.65,,1051.33,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-03-31,2026-06-22,TX,Houston,,,Samoa,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-1111,1,1,662,1069.0,2026-06-24,15,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.65,,1051.33,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-06-08,2026-06-22,TX,Houston,,,Samoa,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-1115,1,1,662,1069.0,2026-06-24,15,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.65,,1051.33,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-30,2026-06-22,TX,Houston,,,Samoa,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-518,1,1,662,1069.0,2026-06-24,15,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.65,,1051.33,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-03-31,2026-06-22,TX,Houston,,,Samoa,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-1118,1,1,662,1069.0,2026-06-24,15,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.65,,1051.33,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-09,2026-06-22,TX,Houston,,,Samoa,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1125,1,1,705,1129.0,2026-06-24,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.68,,1110.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-30,2026-06-22,TX,Houston,,,Acadia,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-921,1,1,705,1129.0,2026-06-24,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.68,,1110.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-30,2026-06-22,TX,Houston,,,Acadia,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1525,1,1,705,1129.0,2026-06-24,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.68,,1110.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-16,2026-06-22,TX,Houston,,,Acadia,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1428,1,1,705,1129.0,2026-06-24,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.68,,1110.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-04-04,2026-06-22,TX,Houston,,,Acadia,,2518788
2026-06-22,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1121,1,1,705,1129.0,2026-06-24,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.68,,1110.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-16,2026-06-22,TX,Houston,,,Acadia,,2518788
