scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-921,1,1,705,1069.0,2026-07-20,12,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,2.07,,1046.92,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-30,2026-07-19,TX,Houston,,,Acadia,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1121,1,1,705,1069.0,2026-07-20,12,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,2.07,,1046.92,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-16,2026-07-19,TX,Houston,,,Acadia,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1125,1,1,705,1069.0,2026-07-20,12,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,2.07,,1046.92,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-30,2026-07-19,TX,Houston,,,Acadia,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1428,1,1,705,1069.0,2026-07-20,12,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,2.07,,1046.92,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-04-04,2026-07-19,TX,Houston,,,Acadia,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-705sqft-1525,1,1,705,1069.0,2026-07-20,12,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,2.07,,1046.92,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-16,2026-07-19,TX,Houston,,,Acadia,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-1111,1,1,662,1069.0,2026-08-07,13,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.91,,1048.62,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-06-08,2026-07-19,TX,Houston,,,Samoa,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-662sqft-1518,1,1,662,1069.0,2026-08-07,13,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.91,,1048.62,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-07-19,2026-07-19,TX,Houston,,,Samoa,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-777sqft-916,1,1,777,1089.0,2026-07-20,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.74,,1070.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-07-19,2026-07-19,TX,Houston,,,Everglade,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-777sqft-1113,1,1,777,1089.0,2026-07-20,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.74,,1070.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-07-19,2026-07-19,TX,Houston,,,Everglade,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-777sqft-1517,1,1,777,1089.0,2026-07-20,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.74,,1070.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-05-09,2026-07-19,TX,Houston,,,Everglade,,2518788
2026-07-19,CPT,Camden Woodson Park,"14633 Woodson Park Dr Houston, TX 77044",Houston,CPT-camden-woodson-park-1br-777sqft-516,1,1,777,1089.0,2026-07-20,14,True,hard,Apply now to receive up to $265 OFF!,dollar_off,265.0,1.74,,1070.07,https://www.camdenliving.com/apartments/houston-tx/camden-woodson-park/available-apartments,2026-03-31,2026-07-19,TX,Houston,,,Everglade,,2518788
