scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-0br-635sqft-004G,0,1.0,635,4105.0,2026-06-06,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,Studio G,Floor 4,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-0br-635sqft-015G,0,1.0,635,4107.0,2026-05-28,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-26,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,Studio G,Floor 15,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-0br-647sqft-012E,0,1.0,647,4189.0,2026-05-03,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,Studio E,Floor 12,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-0br-647sqft-015E,0,1.0,647,4210.0,2026-05-12,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,Studio E,Floor 15,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-1br-592sqft-015C,1,1.0,592,4768.0,2026-05-03,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,1 Bedroom C,Floor 15,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-1br-592sqft-008C,1,1.0,592,4849.0,2026-06-02,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,1 Bedroom C,Floor 8,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-1br-592sqft-011C,1,1.0,592,4870.0,2026-05-08,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,1 Bedroom C,Floor 11,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-1br-592sqft-013C,1,1.0,592,4894.0,2026-05-23,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,1 Bedroom C,Floor 13,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-1br-669sqft-014I,1,1.0,669,5050.0,2026-05-09,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-05-03,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,1 Bedroom I,Floor 14,2501
2026-05-03,EQR,71 Broadway Apartments,"71 Broadway, Manhattan, NY 10006",New York,EQR-71-broadway-apartments-1br-795sqft-002K,1,1.0,795,5225.0,2026-05-03,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/financial-district/71-broadway-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.7074253537472,-74.0119528770447,1 Bedroom 2K,Floor 2,2501
2026-05-03,EQR,Parc East Apartments,"240 East 27th Street, Manhattan, NY 10016",New York,EQR-parc-east-apartments-1br-574sqft-15E,1,1.0,574,4806.0,2026-06-26,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/gramercy-park-murray-hill/parc-east-apartments,2026-04-26,2026-05-03,NY,Manhattan,40.740588,-73.979595,E,Floor 15,2763
2026-05-03,EQR,Parc East Apartments,"240 East 27th Street, Manhattan, NY 10016",New York,EQR-parc-east-apartments-1br-795sqft-11A,1,1.0,795,4923.0,2026-05-03,12,False,,,,,,,,https://www.equityapartments.com/new-york-city/gramercy-park-murray-hill/parc-east-apartments,2026-04-04,2026-05-03,NY,Manhattan,40.740588,-73.979595,A,Floor 11,2763
