scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-05-25,ESS,Alpine Village,,Alpine,ESS-alpine-village-2br-672sqft-plan-2a,2,1.0,672,1847.0,2026-06-26,,True,hard,"Save Up to $1,300 Off Rent!*",dollar_off,1300.0,5.87,,1738.67,https://www.essexapartmenthomes.com/apartments/alpine/alpine-village/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Plan 2A,,
2026-05-25,ESS,Alpine Village,,Alpine,ESS-alpine-village-2br-817sqft-plan-2b,2,1.0,817,1949.0,2026-05-25,,True,hard,"Save Up to $1,300 Off Rent!*",dollar_off,1300.0,5.56,,1840.67,https://www.essexapartmenthomes.com/apartments/alpine/alpine-village/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Plan 2B,,
2026-05-25,ESS,Alpine Village,,Alpine,ESS-alpine-village-2br-920sqft-plan-2c,2,2.0,920,2357.0,2026-05-29,,True,hard,"Save Up to $1,300 Off Rent!*",dollar_off,1300.0,4.6,,2248.67,https://www.essexapartmenthomes.com/apartments/alpine/alpine-village/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Plan 2C,,
2026-05-25,ESS,Park Viridian,,Orange County,ESS-park-viridian-0br-593sqft-central-park,0,1.0,593,2289.0,2026-06-30,,True,hard,"Save Up to $2,700 Off Rent!*",dollar_off,2700.0,9.83,,2064.0,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Central Park,,
2026-05-25,ESS,Park Viridian,,Orange County,ESS-park-viridian-0br-586sqft-hyde-park,0,1.0,586,2307.0,2026-07-23,,True,hard,"Save Up to $2,700 Off Rent!*",dollar_off,2700.0,9.75,,2082.0,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-05-24,2026-05-25,,,,,Hyde Park,,
2026-05-25,ESS,Park Viridian,,Orange County,ESS-park-viridian-1br-674sqft-lincoln-park,1,1.0,674,2337.0,2026-05-25,,True,hard,"Save Up to $2,700 Off Rent!*",dollar_off,2700.0,9.63,,2112.0,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Lincoln Park,,
2026-05-25,ESS,Park Viridian,,Orange County,ESS-park-viridian-1br-760sqft-grant-park,1,1.0,760,2467.0,2026-06-29,,True,hard,"Save Up to $2,700 Off Rent!*",dollar_off,2700.0,9.12,,2242.0,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-13,2026-05-25,,,,,Grant Park,,
2026-05-25,ESS,Park Viridian,,Orange County,ESS-park-viridian-2br-992sqft-fairmont-park,2,2.0,992,2959.0,2026-05-25,,True,hard,"Save Up to $2,700 Off Rent!*",dollar_off,2700.0,7.6,,2734.0,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Fairmont Park,,
2026-05-25,ESS,Park Viridian,,Orange County,ESS-park-viridian-2br-972sqft-macarthur-park,2,2.0,972,3017.0,2026-05-25,,True,hard,"Save Up to $2,700 Off Rent!*",dollar_off,2700.0,7.46,,2792.0,https://www.essexapartmenthomes.com/apartments/anaheim/park-viridian/floor-plans-and-pricing,2026-04-19,2026-05-25,,,,,MacArthur Park,,
2026-05-25,ESS,The Barkley,,Orange County,ESS-the-barkley-1br-700sqft-plan-1a,1,1.0,700,2217.0,2026-05-26,,True,hard,"Save Up to $1,600 Off Rent!*",dollar_off,1600.0,6.01,,2083.67,https://www.essexapartmenthomes.com/apartments/anaheim/the-barkley/floor-plans-and-pricing,2026-04-04,2026-05-25,,,,,Plan 1A,,
