scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-07-19,INVH,Phoenix,"7811 S 63rd Dr, Laveen, AZ, 85339",Phoenix,INVH-7811-s-63rd-dr-85339-7026,4,2.5,2373,1765.0,2026-07-19,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/7811-s-63rd-dr-85339-7026,2026-05-09,2026-07-19,AZ,Laveen,,,,,7811-s-63rd-dr-85339-7026
2026-07-19,INVH,Phoenix,"5753 W Siesta Way, Laveen, AZ, 85339",Phoenix,INVH-5753-w-siesta-way-laveen-az-85339,3,2.0,1754,1765.0,2026-08-20,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/5753-w-siesta-way-laveen-az-85339,2026-07-19,2026-07-19,AZ,Laveen,,,,,5753-w-siesta-way-laveen-az-85339
2026-07-19,INVH,Phoenix,"4614 W Valencia Dr, Laveen, AZ, 85339",Phoenix,INVH-4614-w-valencia-dr-85339-2547,4,2.5,2056,1765.0,2026-08-21,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/4614-w-valencia-dr-85339-2547,2026-07-19,2026-07-19,AZ,Laveen,,,,,4614-w-valencia-dr-85339-2547
2026-07-19,INVH,Phoenix,"5552 W Minton Ave, Laveen, AZ, 85339",Phoenix,INVH-5552-w-minton-ave-laveen-az-85339,4,3.0,1949,1765.0,2026-07-21,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/5552-w-minton-ave-laveen-az-85339,2026-07-19,2026-07-19,AZ,Laveen,,,,,5552-w-minton-ave-laveen-az-85339
2026-07-19,INVH,Phoenix,"5432 W Apollo Rd, Laveen, AZ, 85339",Phoenix,INVH-5432-w-apollo-rd-laveen-az-85339,4,2.5,3674,1765.0,2026-08-26,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/5432-w-apollo-rd-laveen-az-85339,2026-07-19,2026-07-19,AZ,Laveen,,,,,5432-w-apollo-rd-laveen-az-85339
2026-07-19,INVH,Phoenix,"5433 W Grove St, Laveen, AZ, 85339",Phoenix,INVH-5433-w-grove-st-laveen-az-85339,4,2.0,1564,1765.0,2026-07-22,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/5433-w-grove-st-laveen-az-85339,2026-06-09,2026-07-19,AZ,Laveen,,,,,5433-w-grove-st-laveen-az-85339
2026-07-19,INVH,Phoenix,"5142 W Fraktur Rd, Laveen, AZ, 85339",Phoenix,INVH-5142-w-fraktur-rd-laveen-az-85339,3,2.0,1317,1765.0,2026-07-19,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/5142-w-fraktur-rd-laveen-az-85339,2026-06-09,2026-07-19,AZ,Laveen,,,,,5142-w-fraktur-rd-laveen-az-85339
2026-07-19,INVH,Phoenix,"46124 W Sheridan Rd, Maricopa, AZ, 85139",Phoenix,INVH-46124-w-sheridan-rd-maricopa-az-85139,3,2.0,1350,1575.0,2026-07-27,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/46124-w-sheridan-rd-maricopa-az-85139,2026-07-19,2026-07-19,AZ,Maricopa,,,,,46124-w-sheridan-rd-maricopa-az-85139
2026-07-19,INVH,Phoenix,"45680 W Tucker Rd, Maricopa, AZ, 85139",Phoenix,INVH-45680-w-tucker-rd-maricopa-az-85139,3,2.5,2636,1575.0,2026-07-19,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/45680-w-tucker-rd-maricopa-az-85139,2026-05-24,2026-07-19,AZ,Maricopa,,,,,45680-w-tucker-rd-maricopa-az-85139
2026-07-19,INVH,Phoenix,"43893 W Cowpath Rd, Maricopa, AZ, 85138",Phoenix,INVH-43893-w-cowpath-rd-85138-1190,3,2.0,1533,1640.0,2026-07-19,24 months,False,,,,,,,,https://www.invitationhomes.com/houses-for-rent/43893-w-cowpath-rd-85138-1190,2026-05-24,2026-07-19,AZ,Maricopa,,,,,43893-w-cowpath-rd-85138-1190
