scrape_date,reit,community,address,market,unit_id,beds,baths,sqft,rent,move_in_date,lease_term,has_concession,concession_hardness,concession_raw,concession_type,concession_value,concession_pct_lease_value,concession_pct_lease_term,effective_monthly_rent,listing_url,first_seen,last_seen,state,city,latitude,longitude,floorplan_name,floor_level,rentcafe_property_id
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-665sqft-15H,1,1.0,665,5465.0,2026-09-19,12,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.66,,5265.0,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-07-19,2026-08-02,,,,,One Bedroom H,15,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-665sqft-22H,1,1.0,665,5506.0,2026-10-03,12,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.63,,5306.0,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-07-19,2026-08-02,,,,,One Bedroom H,22,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-667sqft-02L,1,1.0,667,5212.0,2026-09-08,12,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.84,,5012.0,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-07-19,2026-08-02,,,,,One Bedroom L,2,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-781sqft-05F,1,1.0,781,5995.0,2026-08-03,13,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.08,,5810.38,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-08-02,2026-08-02,,,,,One Bedroom w/Home Office F,5,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-833sqft-22I,1,1.0,833,5597.0,2026-08-21,13,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.3,,5412.38,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-07-19,2026-08-02,,,,,One Bedroom I,22,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-867sqft-02M,1,1.0,867,5697.0,2026-08-07,13,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.24,,5512.38,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-07-19,2026-08-02,,,,,One Bedroom M,2,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-1br-867sqft-17M,1,1.0,867,5712.0,2026-10-31,13,True,hard,Save $2400 off rent!,dollar_off,2400.0,3.23,,5527.38,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-08-02,2026-08-02,,,,,One Bedroom M,17,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-419sqft-23H,0,1.0,419,3735.0,2026-09-04,12,True,hard,Save $2400 off rent!,dollar_off,2400.0,5.35,,3535.0,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-05-23,2026-08-02,,,,,Penthouse H,23,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-545sqft-10U,0,1.0,545,4242.0,2026-08-08,13,True,hard,Save $2400 off rent!,dollar_off,2400.0,4.35,,4057.38,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-08-02,2026-08-02,,,,,Studio w/Alcove U,10,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-545sqft-23U,0,1.0,545,4342.0,2026-08-14,12,True,hard,Save $2400 off rent!,dollar_off,2400.0,4.61,,4142.0,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-06-13,2026-08-02,,,,,Studio w/Alcove U,23,37395
2026-08-02,UDR,10 Hanover Square,,New York,UDR-10-hanover-square-0br-431sqft-19X,0,1.0,431,3783.0,2026-08-03,12,True,hard,Save $2400 off rent!,dollar_off,2400.0,5.29,,3583.0,https://www.udr.com/new-york-city-apartments/lower-manhattan/10-hanover-square/,2026-05-23,2026-08-02,,,,,Studio X,19,37395
